Original_Venture_Name,Year_Foundation,Alternative_Name
Zippy Inc.,2017,Zippy.ai
Blue Jay Finlease Ltd.,2015,ZipLoan
"Cognical, Inc.",2012,Zibby
"Zhuiyi Shenzhen Chaoyi Technology Co., Ltd.",2016,Zhuiyi Technology
"Shenzhen Zhongshunyi Financial Services Co., Ltd.",2015,Zhongshunyi Financial
"Anhui Zhongke Haoyin Technology Co., Ltd.",2019,Zhongke Haoyin
"Beijing Zhitu Yuntian Technology Co., Ltd.",2018,Zhitu Yuntian (c2sec)
"Shanghai Zhisi Information Technology Co., Ltd.",2012,Zhisiyun
"Zhijiu (Xiamen) Robot Technology Co., Ltd.",2013,Zhijiu Robot
Zhagmen.com,2010,Zhagmen
"ZestFinance, Inc.",2009,Zest AI
Worldwide Freight Logistics Limited,2017,Zencargo
"Jiangsu Yunxuetang Network Technology Co., Ltd.",2011,Yunxuetang
"Yunding Network Technology (Beijing)Co.,LTD.",2014,Yunding Technology
"Beijing Yuandudu Technology Co., Ltd.",2017,Yuandudu Technology
Popily Inc.,2015,Yonder
"Zhongyi Yixin (Hangzhou) Technology Co., Ltd.",2000,Yixin Technology
"Suzhou Yinengtong Information Technology Co., Ltd.",2015,Yinengtong
Yields NV,2017,Yields.io
"Beijing Moshanghua Technology Co.,Ltd.",2014,Yi+
Wenba Holding Limited,2013,Xueba100.com
"Xtra, Inc.",2007,Xtra Global
XOR Inc.,2017,XOR.ai
"Xintairuan (Shanghai) Technology Development Co., Ltd.",2016,Xintairuan
"Beijing Xiaobai Shiji Network Technology Co., Ltd.",2015,Xiaobai Shiji
Xena Financial Systems UK Ltd,2017,Xena Exchange
"InsideSales.com, Inc.",2004,XANT.ai
Wix.com Ltd.,2006,Wix
ContextLogic Inc.,2010,Wish
Wisely Cloud Inc.,2017,Wisely
"Shenzhen Youjia Innovation Technology Co., Ltd.",2014,Wingsland
JingChi Inc.,2017,WeRide.ai
"Hangzhou Qiushi Tongchuang Network Technology Co., Ltd.",2013,Weimai
"Zhejiang Whale Network Technology Co., Ltd.",2017,Webuy Group
Warwick Analytical Software Limited,2011,Warwick Analytics
"Wisdom Reputation Technology Co., Ltd.",2014,W&R (Wisdom Reputation)
"Verbify, Inc.",2011,Vurb
Vpon Inc.,2008,Vpon Big Data Group
Old St Labs Limited,2013,Vizibl
"Mayhem Interactive, Inc.",2017,Visor
"Vian Systems, Inc.",2019,Vianai
LifeBEAM Technologies LTD.,2011,Vi
"Verge Analytics, Inc.",2015,Verge Genomics
Qurious,2016,Valued
UrbTranz Technologies Pvt. Ltd.,2016,Vahanalytics
V12,2017,V12 Marketing
"Beijing Unisound Information Technology Co., Ltd.",2012,Unisound
"Shanghai Youluoke Electronic and Technology Co., Ltd.",2009,Ulucu
"TUNGHSU GROUP Co.,LTD",1989,Tunghsu Azure Renewable Energy
214 Technologies Inc.,2014,Trueface
"Trill Financial, Inc.",2014,Trill.AI
"Travelator, Inc.",2016,TravelBank
Onomatics Inc.,2012,TrademarkNow
TNH Digital Health LTDA.,2013,TNH Health
"Beijing Jindi Technology Co., Ltd",2016,Tianyancha
Fintech Next Ltd.,2015,The Floor
Exabre Limited,2004,The Filter
Curious AI Oy,2015,The Curious AI Company
"Tetrachrome, Inc.",2016,Tetra
"Aspole Co., Ltd.",2018,TENTIAL
"Travel Labs, Inc.",2018,Tempore
DataBerries SAS,2014,Teemo
"Techcyte, Inc.",2013,Techtye Europe
Axiom Research Labs Private Limited,2011,Team Indus
Tartan Aerial Sense Tech Private Limited,2015,TartanSense
HEROFi INC.,2014,TARGETABLE
Visual Conception Ltd.,2015,Syte
"Syrius Technology (Shenzhen) Co., Ltd.",2018,Syrius Robotics
"Synapse Financial Technologies, Inc.",2014,SynapseFI
Rammer Technologies Inc,2018,Symbl.ai
Abee Research Labs Private Limited,2017,SwitchOn
Opiniofi Technologies Private Limited,2016,Survaider
