Time:,21.04.2020 00:51:32,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AIapplicationfieldAgriculture,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2019217152,PCT/US2019/029989,30.04.2019,WO/2019/217152,14.11.2019,WO,DIGITAL VISUALIZATION OF PERIODICALLY UPDATED IN-SEASON AGRICULTURAL FERTILITY PRESCRIPTIONS,"In an embodiment, a computer-implemented data processing method comprises: receiving digital input specifying a request to display a map image of a specified agricultural field for a particular day; in response to receiving the input, calculating an interpolated digital image of the specified agricultural field with a plurality of different field properties, by: dividing a digital map of the specified field into a plurality of grids each having a same size and a same area; obtaining, from digital storage, a plurality of data for the different field properties and assigning the data as covariates; grouping the grids into a specified number of clusters based on values of the covariates; pseudo-randomly selecting a specified number of one or more sample values in each of the clusters; evaluating a digital fertility model using the sample values and storing a plurality of output values from the digital fertility model.",A01B 79/00; A01B 79/02; G06F 17/00; G06Q 50/02,THE CLIMATE CORPORATION,"SANGIREDDY, Harish; DZOTSI, Kofikuma; ARRIAZA, Juan Lopez; GATES, John B.","62/670,707 11.05.2018 US; 16/048,062 27.07.2018 US",
WO2020049182,PCT/EP2019/073911,08.09.2019,WO/2020/049182,12.03.2020,WO,COGNITIVE COMPUTING METHODS AND SYSTEMS BASED ON BIOLOGICAL NEURAL NETWORKS,"A Biological Neural Network (BNN) core unit comprising a neural cell culture, an input stimulation unit, an output readout unit may be controlled through its various life cycles to provide data processing functionality. An automation system comprising an environmental and chemical controller unit adapted to operate with the BNN stimulation and readout data interfaces facilitates the monitoring and adaptation of the BNN core unit parameters. Pre-processing and post-processing of the BNN interface signals may further facilitate the training and reinforcement learning by the BNN. Multiple BNN core units may also be assembled together as a stack. The proposed system provides a BNN Operating System as a core component for a wetware server to receive, process and transmit data for different client applications without exposing the BNN core unit components to the client user while requiring significantly less energy than conventional silicon-based hardware and software information processing for high-level cognitive computing tasks.",G06N 3/06; G06N 3/04; G06N 3/12; G06N 5/00,ALPVISION S.A.,"JORDAN, Frédéric; KUTTER, Martin; DELACRETAZ, Yves","62/728,765 08.09.2018 US",
WO2020061193,PCT/US2019/051732,18.09.2019,WO/2020/061193,26.03.2020,WO,METHOD AND SYSTEM FOR EXECUTING MACHINE LEARNING ALGORITHMS,"A computer-implemented data processing method providing an improvement in executing machine learning processes on digital data representing physical properties related to agriculture is described. In an embodiment, the method comprises: receiving, from a computing device, a request to browse machine learning models stored in a digital model repository; retrieving, from the digital model repository and transmitting to the computing device, information about the machine learning models stored in the digital model repository; receiving, from the computing device, a selection, from the machine learning models, of a particular model and receiving particular input for the particular model; using resources available in a model execution infrastructure platform, executing the particular model on the particular input to generate particular outputs; transmitting the particular output to a computer configured on an agricultural machine to control the agricultural machine as the agricultural machine performs agricultural tasks in an agricultural field.",G06N 5/04; G06F 16/9535,THE CLIMATE CORPORATION,"ALVAREZ, Francisco; ALI, Mir; MELCHING, Jeff; HOCHMUTH, Erich","62/734,420 21.09.2018 US",
WO2012047834,PCT/US2011/054689,04.10.2011,WO/2012/047834,12.04.2012,WO,"A SYSTEM AND METHOD OF PROVIDING AGRICULTURAL PEDIGREE FOR AGRICULTURAL PRODUCTS THROUGHOUT PRODUCTION AND DISTRIBUTION AND USE OF THE SAME FOR COMMUNICATION, REAL TIME DECISION MAKING, PREDICTIVE MODELING, RISK SHARING AND SUSTAINABLE AGRICULTURE","A method for establishing an agricultural pedigree for agricultural products comprises the steps of: (a) Providing an open communication network accessible information storage device adapted to receive input of data relating to agricultural product production and distribution from multiple sources; (b) Inputting said data into said information storage device; (c) Storing and said data; and (d) Providing access to said data via the open communication network, wherein the information storage device is configured to be used as at least: (i) A tool for traceability of the agricultural products, (ii) A real time decision making tool, and (iii) A predictive modeling tool.",G06F 19/00,"BAYER CROPSCIENCE LP; KLAVINS, Maris","KLAVINS, Maris","61/389,851 05.10.2010 US",CA-2776577
EP194755451,16189806,21.09.2016,3151169,05.04.2017,EP,METHODS AND SYSTEMS FOR OPTIMIZING HIDDEN MARKOV MODEL BASED LAND CHANGE PREDICTION,"The present disclosure provides a method and a system for optimizing Hidden Markov Model based land change prediction. Firstly, remotely sensed data is pre-processed and classified into a plurality of land use land cover classes (LULC). Then socio-economic driver variables data for a pre-defined interval of time are provided from a database. A Hidden Markov Model (HMM) is defined with LULC as hidden states and socio-economic driver variables data as observations and trained for generating a HMM state transition probability matrix. Again the defined HMM is trained by taking input data from scenario based temporal variables to generate another set of HMM state transition probability matrix. The generated HMM state transition probability matrix is then integrated with a spatio-temporal model to obtain an integrated model for predicting LULC changes to generate at least one prediction image.",G06N 7/00,TATA CONSULTANCY SERVICES LTD,LADHA SHAMSUDDIN NASIRUDDIN; YADAV PIYUSH; DESHPANDE SHAILESH SHANKAR,3721MU2015 30.09.2015 IN,
