Time:,21.04.2020 01:17:19,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AIapplicationfieldEducation,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2019090023,PCT/US2018/058855,02.11.2018,WO/2019/090023,09.05.2019,WO,SYSTEM AND METHOD FOR INTERACTIVE REPRESENTATION LEARNING TRANSFER THROUGH DEEP LEARNING OF FEATURE ONTOLOGIES,"A method for interactive representation learning transfer to a convolutional neural network (CNN) is presented. The method includes obtaining at least first and second input image datasets from first and second imaging modalities. Furthermore, the method includes performing at least one of jointly training a first supervised learning CNN based on labels associated with the first input image dataset and a second supervised learning CNN based on labels associated with the second input image dataset to generate one or more common feature primitives and corresponding mapping functions and jointly training a first unsupervised learning CNN and a second unsupervised learning CNN with the first and second input image dataset respectively to learn compressed representations of the input image datasets, including common feature primitives and corresponding mapping functions and storing the common feature primitives and the corresponding mapping functions in a feature primitive repository.",G06N 3/04; G06N 3/08; G06T 7/00; G06K 9/62,GENERAL ELECTRIC COMPANY,"VAIDYA, Vivek Prabhakar; MULLICK, Rakesh; SHRIRAM, Krishna Seetharam; RANJAN, Sohan Rashmi; ANNANGI, Pavan Kumar V; THIRUVENKADAM, Sheshadri; ALADAHALLI, Chandan Kumar Mallappa; SREEKUMARI, Arathi",201741039221 03.11.2017 IN,
WO2012152290,PCT/EG2011/000011,11.05.2011,WO/2012/152290,15.11.2012,WO,A MOBILE DEVICE FOR LITERACY TEACHING,A mobile device for literacy teaching. The innovation in that invention is the utilization of interactive educational methods. These methods are based on Automatic Speech Recognition and Automatic Handwriting Recognition technologies for to evaluate the sample practice readings and handwritings of the literacy student and give him feedback on his errors and performance progress in a manner similar to the class teacher. This invention stimulates the self learning capabilities of the students which make the device an effective tool when the class teacher is not available.,G09B 5/04; G09B 11/00; G09B 19/06; G10L 15/06; G10L 15/14,"RASHWAN, Mohsen Abdel-Razik Ali; ESSAWY, Sherif Mahdy Abdou; RAAFAT, Hazem Mahmoud Mohamed; ISLAM, Muhammad Ahmed Muneer","RASHWAN, Mohsen Abdel-Razik Ali; ESSAWY, Sherif Mahdy Abdou; RAAFAT, Hazem Mahmoud Mohamed; ISLAM, Muhammad Ahmed Muneer",2011050739 11.05.2011 EG,
WO2019113122,PCT/US2018/063928,04.12.2018,WO/2019/113122,13.06.2019,WO,SYSTEMS AND METHODS FOR IMPROVED MACHINE LEARNING FOR CONVERSATIONS,"Systems and methods for improvements in AI model learning and updating are provided. The model updating may reuse existing business conversations as the training data set. Features within the dataset may be defined and extracted. Models may be selected and parameters for the models defined. Within a distributed computing setting the parameters may be optimized, and the models deployed. The training data may be augmented over time to improve the models. Deep learning models may be employed to improve system accuracy, as can active learning techniques. The models developed and updated may be employed by a response system generally, or may function to enable specific types of AI systems. One such a system may be an AI assistant that is designed to take use cases and objectives, and execute tasks until the objectives are met. Another system capable of leveraging the models includes an automated question answering system utilizing approved answers. Yet another system for utilizing these various classification models is an intent based classification system for action determination. Lastly, it should be noted that any of the above systems may be further enhanced by enabling multiple language analysis.",G06F 15/18,"CONVERSICA, INC.","TERRY, George, Alexis; KOEPF, Werner; JONNALAGADDA, Siddhartha, Reddy; HARRIGER, James, D.; WEBB-PURKIS, William, Dominic; GAINOR, Macgregor, S.; FERGUSON, Collin, C.; SHANKAR, Ravi; SHANKAR, Shashi; MCCANN, Ian; GODFREY, Keith; LONG, Christopher, Allan; KAMINSKI, Brian, Matthew; SANSONE, John; KIRKLAND, Jennifer; GINSTROM, Ryan, Francis; BREDLOW, Caleb, Andrew; SARGENT, Kyle; FORDYCE, Alexander Carmelo, Reid","16/208,478 03.12.2018 US; 16/208,488 03.12.2018 US; 16/208,484 03.12.2018 US; 62/594,415 04.12.2017 US",
WO2019006115,PCT/US2018/039997,28.06.2018,WO/2019/006115,03.01.2019,WO,SYSTEMS AND METHODS FOR EXTRACTING FUNDER INFORMATION FROM TEXT,"Systems and methods of extracting funding information from text are disclosed herein. The method includes receiving a text document, extracting paragraphs from the text document using a natural language processing model or a machine learning model, and classifying, using a machine learning classifier, the paragraphs as having funding information or not having funding information. The method further includes labeling, using a first annotator, potential entities within the paragraphs classified as having funding information, and labeling, using a second annotator, potential entities within the paragraphs classified as having funding information, where the first annotator implements a first named-entity recognition model and the second annotator implements a second named-entity recognition model that is different from the first named-entity recognition model. The method further includes extracting the potential entities from the paragraphs classified as having funding information and determining, using an ensemble mechanism, funding information from the potential entities.",G06K 9/00; G06K 9/46; G06N 99/00,"ELSEVIER, INC.","GREGORY, Michelle; KAYAL, Subhradeep; TSATSARONIS, Georgios; AFZAL, Zubair","16/020,408 27.06.2018 US; 62/527,435 30.06.2017 US",
WO2018120123,PCT/CN2016/113741,30.12.2016,WO/2018/120123,05.07.2018,WO,GOAL NAVIGATION,"A method, apparatus and system for navigating to a goal. A start node and a target node may be determined among a plurality of nodes. Each node is associated with at least one training sample. Each training sample is associated with at least one individual attribute. One or more weights in connection with individual attributes associated with a first node may be calculated based on training samples associated with the first node with a machine learning model. The weights may be configured to navigate the first node to a second node. Information on at least one path navigated from the start node to the target node may be provided based on the weights in connection with the individual attributes associated with at least one node placed on the path.",G06F 17/30,"MICROSOFT TECHNOLOGY LICENSING, LLC; WANG, Dong; XIA, Yunqing; LIU, Xue; YU, Hong","WANG, Dong; XIA, Yunqing; LIU, Xue; YU, Hong",,
