Time:,21.04.2020 01:18:53,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AIapplicationfieldEnergyManagement,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2019028279,PCT/US2018/045051,02.08.2018,WO/2019/028279,07.02.2019,WO,METHODS AND SYSTEMS FOR OPTIMIZING ENGINE SELECTION USING MACHINE LEARNING MODELING,"A system for optimizing selection of transcription engines using a combination of selected machine learning models. The system includes a plurality of preprocessors that generate a plurality of features from a media data set. The system further includes a deep learning neural network model, a gradient boosted machine model and a random forest model used in generating a ranked list of transcription engines. A transcription engine is selected from the ranked list of transcription engines to generate a transcript for the media dataset.",G06N 99/00; G06N 3/04; G06N 5/00; G10L 25/24,"VERITONE, INC.","STEELBERG, Chad; NGUYEN, Peter; RATHS, Cornelius; RIVKIN, Steven N.","62/540,508 02.08.2017 US; 62/633,023 20.02.2018 US; 62/638,745 05.03.2018 US",
WO2019182974,PCT/US2019/022753,18.03.2019,WO/2019/182974,26.09.2019,WO,STEREO DEPTH ESTIMATION USING DEEP NEURAL NETWORKS,"Various examples of the present disclosure include a stereoscopic deep neural network (DNN) that produces accurate and reliable results in real-time. Both LIDAR data (supervised training) and photometric error (unsupervised training) may be used to train the DNN in a semi-supervised manner. The stereoscopic DNN may use an exponential linear unit (ELU) activation function to increase processing speeds, as well as a machine learned argmax function that may include a plurality of convolutional layers having trainable parameters to account for context. The stereoscopic DNN may further include layers having an encoder/decoder architecture, where the encoder portion of the layers may include a combination of three-dimensional convolutional layers followed by two-dimensional convolutional layers.",G06N 3/04; G06N 3/063; G06N 3/08; G01S 17/02; G06T 7/593,NVIDIA CORPORATION,"SMOLYANSKIY, Nikolai; KAMENEV, Alexey; BIRCHFIELD, Stan","62/646,148 21.03.2018 US; 16/356,439 18.03.2019 US",
WO2014166427,PCT/CN2014/075197,11.04.2014,WO/2014/166427,16.10.2014,WO,ENERGY MANAGEMENT SYSTEM,"There is provided an energy management system comprising a server, and one or more network devices communicatively connectable to the server. At least one of the network devices is a power measurement device for connection with an electrical device to collect real-time power data from the electrical device. The server compares the real-time power data with a corresponding power profile of the electrical device to determine whether preset trigger criteria has been met, and initiates a predetermined action when the preset trigger criteria has been met. An associated method of managing energy is also provided.",G06F 17/00,LIRICCO TECHNOLOGIES LTD.,"NG, Mei; LI, Ka Chun","61/810,925 11.04.2013 US",EP-2014783151; US-14784018; CN-201480033230.6
EP131195348,13777647,11.04.2013,2840545,25.02.2015,EP,"ENERGY MANAGEMENT SYSTEM, ENERGY MANAGEMENT METHOD, PROGRAM, SERVER DEVICE, AND CLIENT DEVICE","According to an embodiment, an energy management system includes a client apparatus and a server apparatus capable of communicating with the client apparatus. The server apparatus includes an acquisition unit, an estimation unit, a calculator, and a controller. The acquisition unit acquires, from the client apparatus, data concerning electrical equipment of a customer to which a power grid supplies power. The estimation unit estimates the energy demand of the electrical equipment based on the acquired data. The calculator calculates the operation schedule of the electrical equipment, which can optimize the energy balance of the customer, based on the estimated energy demand. The controller transmits control information to control the electrical equipment based on the calculated operation schedule to the client apparatus.",G06Q 50/06; G05B 13/02; G06Q 10/04; H02J 3/00; H02J 3/14; H02J 3/32; H02J 3/38; H02J 3/46; H02J 13/00,TOSHIBA KK,KATAYAMA KYOSUKE; MURAI MASAHIKO; KUBOTA KAZUTO; TANIMOTO TOMOHIKO; MATSUE KIYOTAKA; YAMAGISHI MASAYUKI,2012092887 16.04.2012 JP; 2013060955 11.04.2013 JP,
WO2019083559,PCT/US2018/018902,21.02.2018,WO/2019/083559,02.05.2019,WO,DEEP CONVOLUTIONAL NEURAL NETWORK WITH SELF-TRANSFER LEARNING,"Systems and techniques for facilitating a deep convolutional neural network with self-transfer learning are presented. In one example, a system includes a machine learning component, a medical imaging diagnosis component and a visualization component. The machine learning component generates learned medical imaging output regarding an anatomical region based on a convolutional neural network that receives medical imaging data. The machine learning component also performs a plurality of sequential downsampling and upsampling of the medical imaging data associated with convolutional layers of the convolutional neural network. The medical imaging diagnosis component determines a classification and an associated localization for a portion of the anatomical region based on the learned medical imaging output associated with the convolutional neural network. The visualization component generates a multi-dimensional visualization associated with the classification and the localization for the portion of the anatomical region.",G06K 9/62; G06T 7/00; G06N 3/04,GENERAL ELECTRIC COMPANY,"ZHANG, Min; AVINASH, Gopal Biligeri","15/792,698 24.10.2017 US",
