Time:,21.04.2020 01:20:56,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AIapplicationfieldEntertainment,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
EP96504597,12779375,28.03.2012,2705489,12.03.2014,EP,SPECIAL REGIONAL ONLINE VIDEO GAME FORUM BASED ON LOCATION,"Methods, systems, and devices are presented for automatically creating a special chat or common video game environment forum and inviting online video game players to the forum based on their common demographics. The determination of common demographics can be generated through clustering algorithms. Players in the same city, players with the same playing techniques, and/or players sharing other common attributes can play as teams or against each other. As players drop out of the forum, the criteria for invitations to the forum are expanded to include other online players.",H04L 12/18; A63F 13/30; G06F 17/30,SONY COMP ENTERTAINMENT US,SANDERS PAUL M,201113100180 03.05.2011 US; 2012030879 28.03.2012 US,
WO2018017467,PCT/US2017/042356,17.07.2017,WO/2018/017467,25.01.2018,WO,"DISTRIBUTED MACHINE LEARNING SYSTEMS, APPARATUS, AND METHODS","A distributed, online machine learning system is presented. Contemplated systems include many private data servers, each having local private data. Researchers can request that relevant private data servers train implementations of machine learning algorithms on their local private data without requiring de-identification of the private data or without exposing the private data to unauthorized computing systems. The private data servers also generate synthetic or proxy data according to the data distributions of the actual data. The servers then use the proxy data to train proxy models. When the proxy models are sufficiently similar to the trained actual models, the proxy data, proxy model parameters, or other learned knowledge can be transmitted to one or more non-private computing devices. The learned knowledge from many private data servers can then be aggregated into one or more trained global models without exposing private data.",G06N 99/00; G06N 5/04,"NANTOMICS, LLC; NANT HOLDINGS IP, LLC","SZETO, Christopher; BENZ, Stephen, Charles; WITCHEY, Nicholas, J.","62/363,697 18.07.2016 US",EP-2017831625; SG-11201900220R; KR-1020197004647; MX-MX/a/2019/000713; AU-2017300259; IL-264281; CA-3031067; JP-2019502045; CN-201780056525.9
WO2012152290,PCT/EG2011/000011,11.05.2011,WO/2012/152290,15.11.2012,WO,A MOBILE DEVICE FOR LITERACY TEACHING,A mobile device for literacy teaching. The innovation in that invention is the utilization of interactive educational methods. These methods are based on Automatic Speech Recognition and Automatic Handwriting Recognition technologies for to evaluate the sample practice readings and handwritings of the literacy student and give him feedback on his errors and performance progress in a manner similar to the class teacher. This invention stimulates the self learning capabilities of the students which make the device an effective tool when the class teacher is not available.,G09B 5/04; G09B 11/00; G09B 19/06; G10L 15/06; G10L 15/14,"RASHWAN, Mohsen Abdel-Razik Ali; ESSAWY, Sherif Mahdy Abdou; RAAFAT, Hazem Mahmoud Mohamed; ISLAM, Muhammad Ahmed Muneer","RASHWAN, Mohsen Abdel-Razik Ali; ESSAWY, Sherif Mahdy Abdou; RAAFAT, Hazem Mahmoud Mohamed; ISLAM, Muhammad Ahmed Muneer",2011050739 11.05.2011 EG,
WO2020069517,PCT/US2019/053857,30.09.2019,WO/2020/069517,02.04.2020,WO,INTELLIGENT TRANSPORTATION SYSTEMS,"Transportation systems have artificial intelligence including neural networks for recognition and classification of objects and behavior including natural language processing and computer vision systems. The transportation systems involve sets of complex chemical processes, mechanical systems, and interactions with behaviors of operators. System-level interactions and behaviors are classified, predicted and optimized using neural networks and other artificial intelligence systems through selective deployment, as well as hybrids and combinations of the artificial intelligence systems, neural networks, expert systems, cognitive systems, genetic algorithms and deep learning.",B60W 30/14,"STRONG FORCE INTELLECTUAL CAPITAL, LLC","CELLA, Charles","62/739,335 30.09.2018 US",
WO2019182868,PCT/US2019/022298,14.03.2019,WO/2019/182868,26.09.2019,WO,AUTOMATICALLY REDUCING USE OF CHEAT SOFTWARE IN AN ONLINE GAME ENVIRONMENT,"Techniques are described for automatically reducing cheating in an interactive execution environment, such as to perform automated operations to detect and stop use of cheat software in an online game environment, and to restrict subsequent access to the online game environment for users who are identified as using cheat software. The techniques may include using deep learning techniques to train one or more models to classify particular types of gameplay actions as being unauthorized if cheat software use is detected, including to determine a likelihood of whether a separate cheat detection decision system would decide that particular gameplay actions are authorized or not authorized if the additional cheat detection decision system assesses those gameplay actions, and then using the trained model(s) and in some cases the additional cheat detection decision system for the cheat software detection and prevention.",A63F 13/75; A63F 13/73; A63F 13/71; A63F 13/79; G06N 3/08; G06N 3/063; G06N 3/02; G06F 21/51,VALVE CORPORATION,"COX, Anthony John; MCDONALD, John; VAN ENGEL, Gabriel; RHOTEN, Matt","15/927,989 21.03.2018 US",
