Time:,21.04.2020 01:27:34,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AIapplicationfieldLawSocialAndBehavioralSciences,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2014100738,PCT/US2013/077260,20.12.2013,WO/2014/100738,26.06.2014,WO,INSTANCE WEIGHTED LEARNING MACHINE LEARNING MODEL,"An instance weighted learning (IWL) machine learning model. In one example embodiment, a method of employing an IWL machine learning model to train a classifier may include determining a quality value that should be associated with each machine learning training instance in a temporal sequence of reinforcement learning machine learning training instances, associating the corresponding determined quality value with each of the machine learning training instances, and training a classifier using each of the machine learning training instances. Each of the machine learning training instances includes a state-action pair and is weighted during the training based on its associated quality value using a weighting factor that weights different quality values differently such that the classifier learns more from a machine learning training instance with a higher quality value than from a machine learning training instance with a lower quality value.",G06F 15/18,"INSIDESALES.COM, INC.","MARTINEZ, Tony, Ramon; ZENG, Xinchuan","13/725,653 21.12.2012 US",JP-2015549832; CA-2896089; AU-2013364041; EP-2013864581
WO2018005489,PCT/US2017/039499,27.06.2017,WO/2018/005489,04.01.2018,WO,DATA QUALITY DETECTION AND COMPENSATION FOR MACHINE LEARNING,"Apparatuses, systems, methods, and computer program products are disclosed for data quality detection and compensation for machine learning. A quality analysis module (202) electronically identifies one or more data quality issues in machine learning training data. A corrective action module (204) modifies training data by performing one or more corrective actions in response to one or more data quality issues. A predictive analytics module (206) creates a machine learning model that includes one or more learned functions based on modified training data.",G06F 3/048; G06F 15/18; G06F 17/00; G06F 17/50; G06N 5/04; G06N 99/00,"PUREPREDICTIVE, INC.","MAUGHAN, Jason; MCFALL, Timothy","62/355,233 27.06.2016 US",EP-2017821072
WO2004030532,PCT/AU2003/001307,03.10.2003,WO/2004/030532,15.04.2004,WO,METHOD AND APPARATUS FOR ASSESSING PSYCHIATRIC OR PHYSICAL DISORDERS,"A method of assessing the psychological or physiological state by analyzing language cues captured from a patient. The language cues may be semantic cues (speech or written text) or visual cues (expression or body language). Key features are extracted from the language cues and compiled into a data file which is submitted to one or more pre-taught machine learning algorithms. The output of the machine learning algorithms are combined to determine the psychological or physiological state of the patient. The method of teaching the machine learning algorithms is also described. In the preferred form there are three machine learning algorithms including a support vector machine, a decision tree learning algorithm and a neural network.",A61B 5/16; G06F 19/00; G10L 17/00,"DIEDERICH, Joachim; THE UNIVERSITY OF QUEENSLAND; YELLOWLEES, Peter","DIEDERICH, Joachim; YELLOWLEES, Peter",2002951811 03.10.2002 AU; 2003901081 10.03.2003 AU,AU-2003265743; EP-2003798834; JP-null; US-10530155; CA-2500834
WO2020069517,PCT/US2019/053857,30.09.2019,WO/2020/069517,02.04.2020,WO,INTELLIGENT TRANSPORTATION SYSTEMS,"Transportation systems have artificial intelligence including neural networks for recognition and classification of objects and behavior including natural language processing and computer vision systems. The transportation systems involve sets of complex chemical processes, mechanical systems, and interactions with behaviors of operators. System-level interactions and behaviors are classified, predicted and optimized using neural networks and other artificial intelligence systems through selective deployment, as well as hybrids and combinations of the artificial intelligence systems, neural networks, expert systems, cognitive systems, genetic algorithms and deep learning.",B60W 30/14,"STRONG FORCE INTELLECTUAL CAPITAL, LLC","CELLA, Charles","62/739,335 30.09.2018 US",
WO2014031683,PCT/US2013/055856,20.08.2013,WO/2014/031683,27.02.2014,WO,HIERARCHICAL BASED SEQUENCING MACHINE LEARNING MODEL,"A hierarchical based sequencing (HBS) machine learning model. In one example embodiment, a method of employing an HBS machine learning model to predict multiple interdependent output components of an MOD output decision may include determining an order for multiple interdependent output components of an MOD output decision. The method may also include sequentially training a classifier for each component in the selected order to predict the component based on an input and based on any previous predicted component(s).",G06F 15/18; G06F 17/00,"INSIDESALES.COM, INC.","MARTINEZ, Tony, Ramon; ZENG, Xinchuan; MORRIS, Richard, Glenn","13/590,000 20.08.2012 US",JP-2015528604; AU-2013305922; CA-2882699; EP-2013831372
WO2014075108,PCT/US2013/069762,12.11.2013,WO/2014/075108,15.05.2014,WO,FORECASTING SYSTEM USING MACHINE LEARNING AND ENSEMBLE METHODS,"Techniques for determining forecast information for a resource using learning algorithms are disclosed. The techniques can include an ensemble of machine learning algorithms. The techniques can also use latent states to generate training data. The techniques can identify actions for managing the resource based on the forecast information. The resource can include energy usage in buildings, distribution facilities, and resources such as Electric Delivery Vehicles. The resource can also include forecasting package volume for businesses.",G06N 5/02,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,"ANDERSON, Roger, N.; BOULANGER, Albert; WU, Leon, L.; BHANDARI, Viabhav; SARKER, Somnath; GAGNEJA, Ashish","61/724,714 09.11.2012 US; 61/755,885 23.01.2013 US",
WO2014031685,PCT/US2013/055859,20.08.2013,WO/2014/031685,27.02.2014,WO,MULTIPLE OUTPUT RELAXATION MACHINE LEARNING MODEL,"A multiple output relaxation (MOR) machine learning model. In one example embodiment, a method for employing an MOR machine learning model to predict multiple interdependent output components of a multiple output dependency (MOD) output decision may include training a classifier for each of multiple interdependent output components of an MOD output decision to predict the component based on an input and based on all of the other components. The method may also include initializing each possible value for each of the components to a predetermined output value. The method may further include running relaxation iterations on each of the classifiers to update the output value of each possible value for each of the components until a relaxation state reaches an equilibrium or a maximum number of relaxation iterations is reached. The method may also include retrieving an optimal component from each of the classifiers.",G06F 15/18,"INSIDESALES.COM, INC.","MARTINEZ, Tony, Ramon; ZENG, Xinchuan","13/590,028 20.08.2012 US",CA-2882701; JP-2015528605; EP-2013831802; AU-2013305924
WO2019006115,PCT/US2018/039997,28.06.2018,WO/2019/006115,03.01.2019,WO,SYSTEMS AND METHODS FOR EXTRACTING FUNDER INFORMATION FROM TEXT,"Systems and methods of extracting funding information from text are disclosed herein. The method includes receiving a text document, extracting paragraphs from the text document using a natural language processing model or a machine learning model, and classifying, using a machine learning classifier, the paragraphs as having funding information or not having funding information. The method further includes labeling, using a first annotator, potential entities within the paragraphs classified as having funding information, and labeling, using a second annotator, potential entities within the paragraphs classified as having funding information, where the first annotator implements a first named-entity recognition model and the second annotator implements a second named-entity recognition model that is different from the first named-entity recognition model. The method further includes extracting the potential entities from the paragraphs classified as having funding information and determining, using an ensemble mechanism, funding information from the potential entities.",G06K 9/00; G06K 9/46; G06N 99/00,"ELSEVIER, INC.","GREGORY, Michelle; KAYAL, Subhradeep; TSATSARONIS, Georgios; AFZAL, Zubair","16/020,408 27.06.2018 US; 62/527,435 30.06.2017 US",
WO2020056060,PCT/US2019/050697,11.09.2019,WO/2020/056060,19.03.2020,WO,MULTI-STAGE MACHINE-LEARNING MODELS TO CONTROL PATH-DEPENDENT PROCESSES,"Provided is a process, including: obtaining a first training dataset of subject-entity records; training a first machine-learning model on the first training dataset; forming virtual subject-entity records by appending members of a set of candidate action sequences to time-series of at least some of the subject-entity records; forming a second training dataset by labeling the virtual subject-entity records with predictions of the first machine-learning model; and training a second machine-learning model on the second training dataset.",G06N 3/08; G06N 3/04,CEREBRI AI INC.,"SILBERMAN, Gabriel M.; BRIANÇON, Alain; KLOSE, Gregory; WEGAN, Michael; HARPER, Lee; KRAEMER, Andrew; PRAKASH, Arun","16/127,933 11.09.2018 US",
EP194755451,16189806,21.09.2016,3151169,05.04.2017,EP,METHODS AND SYSTEMS FOR OPTIMIZING HIDDEN MARKOV MODEL BASED LAND CHANGE PREDICTION,"The present disclosure provides a method and a system for optimizing Hidden Markov Model based land change prediction. Firstly, remotely sensed data is pre-processed and classified into a plurality of land use land cover classes (LULC). Then socio-economic driver variables data for a pre-defined interval of time are provided from a database. A Hidden Markov Model (HMM) is defined with LULC as hidden states and socio-economic driver variables data as observations and trained for generating a HMM state transition probability matrix. Again the defined HMM is trained by taking input data from scenario based temporal variables to generate another set of HMM state transition probability matrix. The generated HMM state transition probability matrix is then integrated with a spatio-temporal model to obtain an integrated model for predicting LULC changes to generate at least one prediction image.",G06N 7/00,TATA CONSULTANCY SERVICES LTD,LADHA SHAMSUDDIN NASIRUDDIN; YADAV PIYUSH; DESHPANDE SHAILESH SHANKAR,3721MU2015 30.09.2015 IN,
WO2011156001,PCT/US2011/001051,07.06.2011,WO/2011/156001,15.12.2011,WO,"VERSATILE VIDEO INTERPRETATION,VISUALIZATION, AND MANAGEMENT SYSTEM","A process and device for detecting colon cancer by classifying and annotating clinical features in video data containing colonoscopic features by applying a probabilistic analysis to intra-frame and inter-frame relationships between colonoscopic features in spatially and temporally neighboring portions of video frames, and classifying and annotating as clinical features any of the colonoscopic features that satisfy the probabilistic analysis as clinical features. Preferably the probabilistic analysis is Hidden Markove Model analysis, and the process is carried out by a computer trained using semi supervised learning from labeled and unlabeled examples of clinical features in video containing colonoscopic features.",G06K 9/00; A61B 1/06,"STI MEDICAL SYSTEMS, LLC; PARK, Sun, Young; SARGENT, Dustin; GUSTAFSSON, Ulf, Peter; LI, Wenjing; WOLTERS, Rolf; FLEISCHER, Stephen","PARK, Sun, Young; SARGENT, Dustin; GUSTAFSSON, Ulf, Peter; LI, Wenjing; WOLTERS, Rolf; FLEISCHER, Stephen","61/397,169 07.06.2010 US",
WO2018194812,PCT/US2018/025096,29.03.2018,WO/2018/194812,25.10.2018,WO,HYBRID APPROACH TO APPROXIMATE STRING MATCHING USING MACHINE LEARNING,"Systems, apparatuses, and methods are provided for identifying a corresponding string stored in memory based on an incomplete input string. A system can analyze and produce phonetic and distance metrics for a plurality of strings stored in memory by comparing the plurality of strings to an incomplete input string. These similarity metrics can be used as the input to a machine learning model, which can quickly and accurately provide a classification. This classification can be used to identify a string stored in memory that corresponds to the incomplete input string.",G06F 17/30; G06N 99/00,VISA INTERNATIONAL SERVICE ASSOCIATION,"SINGH, Pranjal; BANERJEE, Soumyajyoti","15/493,833 21.04.2017 US",EP-2018787710; CA-3059414
WO2019099805,PCT/US2018/061487,16.11.2018,WO/2019/099805,23.05.2019,WO,MACHINE-LEANING MODELS BASED ON NON-LOCAL NEURAL NETWORKS,"In one embodiment, a method includes training a baseline machine-learning model based on a neural network comprising a plurality of stages, wherein each stage comprises a plurality of neural blocks, accessing a plurality of training samples comprising: a plurality of content objects, respectively, determining one or more non-local operations, wherein each non-local operation is based on one or more pairwise functions and one or more unary functions, generating one or more non-local blocks based, on the plurality of training samples and the one or more non-local operations, determining a stage from the plurality of stages of the neural network, and training a non-local machine-learning model by inserting each of the one or more non-local blocks in between at least two of the plurality of neural blocks in the determined stage of the neural network.",G06N 3/08; G06N 3/04,"FACEBOOK, INC.","HE, Kaiming; GIRSHICK, Ross; WANG, Xiaolong","62/587,884 17.11.2017 US; 16/192,649 15.11.2018 US",
WO2015148302,PCT/US2015/021740,20.03.2015,WO/2015/148302,01.10.2015,WO,USING MACHINE LEARNING TO PREDICT BEHAVIOR BASED ON LOCAL CONDITIONS,"Using machine learning to predict behavior based on local conditions. In one example embodiment, a method for using machine learning to predict behavior based on local conditions may include identifying a lead, identifying a target behavior for the lead, identifying a locality associated with the lead, identifying a current local condition of the locality, and employing a machine learning classifier to generate a prediction of a likelihood of the lead exhibiting the target behavior. In this example embodiment, the machine learning classifier may base the prediction on the target behavior, the locality, and the current local condition.",G06F 15/18,"INSIDESALES.COM, INC.","ZENG, Xinchuan; ELKINGTON, David; BERRY, Jeffrey","61/969,828 25.03.2014 US; 14/530,248 31.10.2014 US",
WO2018071579,PCT/US2017/056196,11.10.2017,WO/2018/071579,19.04.2018,WO,INTEGRATED DISEASE MANAGEMENT SYSTEM,"An integrated disease management system provides patients with simple, quick, and readily available counseling regarding a healthy diabetic lifestyle. The system can include an interactive engine with predictive analytics and machine learning to provide a customized experience for a user. The system can be configured to transmit data to a remote server to perform analysis of received data (e.g., disease management data), to provide feedback to the user (e.g., customized feedback with curated content based on a user's data and interface interactions), and send all or a portion of the data and/or curated content to another user device or remote health management access point (e.g., as cloud storage) where the information can be accessed by healthcare stakeholder.",G06Q 50/22; G06Q 50/24; G06F 19/00; G06F 17/30; A61G 12/00; A61B 5/00,"BECTON, DICKINSON AND COMPANY","HOAR, Michael; MCCLURE, Douglas; SALTIEL-BERZIN, Rita; LIEBOWITZ, Edward","62/407,367 12.10.2016 US; 62/545,889 15.08.2017 US",CN-201780063056.3; CA-3039682; JP-2019519646; EP-2017860326
