Time:,21.04.2020 10:40:33,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AIapplicationfieldMilitary,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2018017467,PCT/US2017/042356,17.07.2017,WO/2018/017467,25.01.2018,WO,"DISTRIBUTED MACHINE LEARNING SYSTEMS, APPARATUS, AND METHODS","A distributed, online machine learning system is presented. Contemplated systems include many private data servers, each having local private data. Researchers can request that relevant private data servers train implementations of machine learning algorithms on their local private data without requiring de-identification of the private data or without exposing the private data to unauthorized computing systems. The private data servers also generate synthetic or proxy data according to the data distributions of the actual data. The servers then use the proxy data to train proxy models. When the proxy models are sufficiently similar to the trained actual models, the proxy data, proxy model parameters, or other learned knowledge can be transmitted to one or more non-private computing devices. The learned knowledge from many private data servers can then be aggregated into one or more trained global models without exposing private data.",G06N 99/00; G06N 5/04,"NANTOMICS, LLC; NANT HOLDINGS IP, LLC","SZETO, Christopher; BENZ, Stephen, Charles; WITCHEY, Nicholas, J.","62/363,697 18.07.2016 US",EP-2017831625; SG-11201900220R; KR-1020197004647; MX-MX/a/2019/000713; AU-2017300259; IL-264281; CA-3031067; JP-2019502045; CN-201780056525.9
WO2018226492,PCT/US2018/035275,31.05.2018,WO/2018/226492,13.12.2018,WO,ASYNCHRONOUS AGENTS WITH LEARNING COACHES AND STRUCTURALLY MODIFYING DEEP NEURAL NETWORKS WITHOUT PERFORMANCE DEGRADATION,"Methods and computer systems improve a trained base deep neural network by structurally changing the base deep neural network to create an updated deep neural network, such that the updated deep neural network has no degradation in performance relative to the base deep neural network on the training data. The updated deep neural network is subsequently training. Also, an asynchronous agent for use in a machine learning system comprises a second machine learning system ML2 that is to be trained to perform some machine learning task. The asynchronous agent further comprises a learning coach LC and an optional data selector machine learning system DS. The purpose of the data selection machine learning system DS is to make the second stage machine learning system ML2 more efficient in its learning (by selecting a set of training data that is smaller but sufficient) and/or more effective (by selecting a set of training data that is focused on an important task). The learning coach LC is a machine learning system that assists the learning of the DS and ML2. Multiple asynchronous agents could also be in communication with each others, each trained and grown asynchronously under the guidance of their respective learning coaches to perform different tasks.",G06N 3/02; G06N 3/08; G06F 15/18; G06F 17/30,D5AI LLC,"BAKER, James K.","62/515,142 05.06.2017 US",EP-2018813951
WO2017136802,PCT/US2017/016637,06.02.2017,WO/2017/136802,10.08.2017,WO,ACCELERATING DEEP NEURAL NETWORK TRAINING WITH INCONSISTENT STOCHASTIC GRADIENT DESCENT,Aspects of the present disclosure describe techniques for training a convolutional neural network using an inconsistent stochastic gradient descent (ISGD) algorithm. Training effort for training batches used by the ISGD algorithm are dynamically adjusted according to a determined loss for a given training batch which are classified into two sub states - well-trained or under-trained. The ISGD algorithm provides more iterations for under-trained batches while reducing iterations for well-trained ones.,G06N 3/08; G06N 3/04; G06N 99/00,"NEC LABORATORIES AMERICA, INC.","WANG, Linnan; YANG, Yi; MIN, Renqiang; CHAKRADHAR, Srimat","62/291,554 05.02.2016 US; 15/423,360 02.02.2017 US",DE-112017000670; JP-2018540057
WO2015120243,PCT/US2015/014769,06.02.2015,WO/2015/120243,13.08.2015,WO,APPLICATION EXECUTION CONTROL UTILIZING ENSEMBLE MACHINE LEARNING FOR DISCERNMENT,"Described are techniques to enable computers to efficiently determine if they should run a program based on an immediate (i.e., real-time, etc.) analysis of the program. Such an approach leverages highly trained ensemble machine learning algorithms to create a real-time discernment on a combination of static and dynamic features collected from the program, the computer's current environment, and external factors. Related apparatus, systems, techniques and articles are also described.",G06N 99/00; G06F 21/12; G06F 21/51,CYLANCE INC.,"PERMEH, Ryan; SOEDER, Derek, A.; CHISHOLM, Glenn; RUSSELL, Braden; GOLOMB, Gary; WOLFF, Matthew; MCCLURE, Stuart","61/937,379 07.02.2014 US",AU-2015213797; EP-2015708931; JP-2016550628; CA-2938580
WO2014204970,PCT/US2014/042754,17.06.2014,WO/2014/204970,24.12.2014,WO,DATA INTELLIGENCE USING MACHINE LEARNING,"Apparatuses, systems, methods, and computer program products are presented for performing data analytics using machine learning 222. An unsupervised learning module 208 is configured to assemble an unstructured data set into multiple versions of an organized data set. A supervised learning module 206 is configured to generate one or more machine learning ensembles 222 based on each version of multiple versions of an organized data set and to determine which machine learning ensemble 222 exhibits a highest predictive performance.",G06F 17/27; G06N 5/02,"PUREPREDICTIVE, INC.","PHILLIPPS, Kelly D.; WELLMAN, Richard W.; RAHMAN, Sardar Monzurur; PHILLIPS, Matthew B.","61/836,135 17.06.2013 US; 14/266,119 30.04.2014 US",
