Time:,21.04.2020 10:43:13,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AIapplicationfieldNetworks,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2016137848,PCT/US2016/018820,20.02.2016,WO/2016/137848,01.09.2016,WO,"INTERNET OF THINGS BASED DETERMINATION OF MACHINE RELIABILITY AND AUTOMATED MAINTAINENACE, REPAIR AND OPERATION (MRO) LOGS","A computer implemented method and system for determining reliability of a machine includes receiving one of a machine data from one or more locations through an internet of things (IOT) based machine wearable sensor network. The method further includes storing the data in a distributed computer database communicatively coupled to an enterprise resource planning (ERP) system and extracting, through a computer server, one or more entity information from the data to compare against a pre-defined baseline. Further, mapping, though a big data machine learning engine, the extracted one or more entity information into a multi-classification model. The method includes indicating, through a machine learning engine coupled to a predictive analytics engine, on a user interface a set of analytical predictions for machine maintenance, repair and operation.",H04L 12/24,"PROPHECY SENSORS, LLC","PAL, Biplab","14/696,402 25.04.2015 US; 14/628,322 23.02.2015 US",
WO2019236061,PCT/US2018/036012,05.06.2018,WO/2019/236061,12.12.2019,WO,METHOD AND SYSTEM FOR DISAGGREGATING ENERGY PROFILE FOR ONE OR MORE APPLIANCES INSTALLED IN A NON-SMART METER HOME,"The present invention is generally directed to systems and methods for disaggregating an energy profile for one or more appliances installed in a non-smart meter home. Methods may be implemented by one or more processors, and steps may include: retrieving energy consumption data, and a plurality of attributes of a non-smart meter home, retrieving energy consumption data, appliance-level energy consumption data, and a plurality of attributes of a predefined set of smart meter homes, matching the energy consumption data and the attributes of the non-smart meter home with the predefined set to identify a set of peer homes; estimating the appliance disaggregation of the non-smart meter home based on the retrieved data of the identified peer homes, and forecasting and projecting at least one of electricity bill, mid-cycle consumption, end-of-cycle consumption, disaggregation for non- smart homes, and/or combination thereof.",G05F 1/66; G05B 13/02,BIDGELY INC.,"GUPTA, Abhay; GARUD, Vivek; PAREKH, Pratik; AGGARWAL, Rohit; SARAIYA, Shishir",,
WO2014031683,PCT/US2013/055856,20.08.2013,WO/2014/031683,27.02.2014,WO,HIERARCHICAL BASED SEQUENCING MACHINE LEARNING MODEL,"A hierarchical based sequencing (HBS) machine learning model. In one example embodiment, a method of employing an HBS machine learning model to predict multiple interdependent output components of an MOD output decision may include determining an order for multiple interdependent output components of an MOD output decision. The method may also include sequentially training a classifier for each component in the selected order to predict the component based on an input and based on any previous predicted component(s).",G06F 15/18; G06F 17/00,"INSIDESALES.COM, INC.","MARTINEZ, Tony, Ramon; ZENG, Xinchuan; MORRIS, Richard, Glenn","13/590,000 20.08.2012 US",JP-2015528604; AU-2013305922; CA-2882699; EP-2013831372
EP219398184,17001949,29.11.2017,3327616,30.05.2018,EP,OBJECT CLASSIFICATION IN IMAGE DATA USING MACHINE LEARNING MODELS,"Combined color and depth data for a field of view is received. Thereafter, using at least one bounding polygon algorithm, at least one proposed bounding polygon is defined for the field of view. It can then be determined, using a binary classifier having at least one machine learning model trained using a plurality of images of known objects, whether each proposed bounding polygon encapsulates an object. The image data within each bounding polygon that is determined to encapsulate an object can then be provided to a first object classifier having at least one machine learning model trained using a plurality of images of known objects, to classify the object encapsulated within the respective bounding polygon. Further, the image data within each bounding polygon that is determined to encapsulate an object is provided to a second object classifier having at least one machine learning model trained using a plurality of images of known objects, to classify the object encapsulated within the respective bounding polygon. A final classification for each bounding polygon is then determined based on the output of the first classifier machine learning model and the output of the second classifier machine learning model.",G06K 9/00,SAP SE,FAROOQI WAQAS AHMAD; LIPPS JONAS; SCHMIDT ECKEHARD; FRICKE THOMAS; VERZANO NEMRUDE,201615363835 29.11.2016 US,
WO2014100738,PCT/US2013/077260,20.12.2013,WO/2014/100738,26.06.2014,WO,INSTANCE WEIGHTED LEARNING MACHINE LEARNING MODEL,"An instance weighted learning (IWL) machine learning model. In one example embodiment, a method of employing an IWL machine learning model to train a classifier may include determining a quality value that should be associated with each machine learning training instance in a temporal sequence of reinforcement learning machine learning training instances, associating the corresponding determined quality value with each of the machine learning training instances, and training a classifier using each of the machine learning training instances. Each of the machine learning training instances includes a state-action pair and is weighted during the training based on its associated quality value using a weighting factor that weights different quality values differently such that the classifier learns more from a machine learning training instance with a higher quality value than from a machine learning training instance with a lower quality value.",G06F 15/18,"INSIDESALES.COM, INC.","MARTINEZ, Tony, Ramon; ZENG, Xinchuan","13/725,653 21.12.2012 US",JP-2015549832; CA-2896089; AU-2013364041; EP-2013864581
