Time:,20.04.2020 23:16:00,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AIfunctionalapplicationsComputerVisionAugmentedReality,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
EP219398184,17001949,29.11.2017,3327616,30.05.2018,EP,OBJECT CLASSIFICATION IN IMAGE DATA USING MACHINE LEARNING MODELS,"Combined color and depth data for a field of view is received. Thereafter, using at least one bounding polygon algorithm, at least one proposed bounding polygon is defined for the field of view. It can then be determined, using a binary classifier having at least one machine learning model trained using a plurality of images of known objects, whether each proposed bounding polygon encapsulates an object. The image data within each bounding polygon that is determined to encapsulate an object can then be provided to a first object classifier having at least one machine learning model trained using a plurality of images of known objects, to classify the object encapsulated within the respective bounding polygon. Further, the image data within each bounding polygon that is determined to encapsulate an object is provided to a second object classifier having at least one machine learning model trained using a plurality of images of known objects, to classify the object encapsulated within the respective bounding polygon. A final classification for each bounding polygon is then determined based on the output of the first classifier machine learning model and the output of the second classifier machine learning model.",G06K 9/00,SAP SE,FAROOQI WAQAS AHMAD; LIPPS JONAS; SCHMIDT ECKEHARD; FRICKE THOMAS; VERZANO NEMRUDE,201615363835 29.11.2016 US,
WO2020069517,PCT/US2019/053857,30.09.2019,WO/2020/069517,02.04.2020,WO,INTELLIGENT TRANSPORTATION SYSTEMS,"Transportation systems have artificial intelligence including neural networks for recognition and classification of objects and behavior including natural language processing and computer vision systems. The transportation systems involve sets of complex chemical processes, mechanical systems, and interactions with behaviors of operators. System-level interactions and behaviors are classified, predicted and optimized using neural networks and other artificial intelligence systems through selective deployment, as well as hybrids and combinations of the artificial intelligence systems, neural networks, expert systems, cognitive systems, genetic algorithms and deep learning.",B60W 30/14,"STRONG FORCE INTELLECTUAL CAPITAL, LLC","CELLA, Charles","62/739,335 30.09.2018 US",
WO2019099305,PCT/US2018/060158,09.11.2018,WO/2019/099305,23.05.2019,WO,META-LEARNING FOR MULTI-TASK LEARNING FOR NEURAL NETWORKS,"Methods and systems for meta-learning are described for automating learning of child tasks with a single neural network. The order in which tasks are learned by the neural network can affect performance of the network, and the meta-learning approach can use a task-level curriculum for multi-task training. The task-level curriculum can be learned by monitoring a trajectory of loss functions during training. The meta-learning approach can learn to adapt task loss balancing weights in the course of training to get improved performance on multiple tasks on real world datasets. Advantageously, learning to dynamically balance weights among different task losses can lead to superior performance over the use of static weights determined by expensive random searches or heuristics. Embodiments of the meta-learning approach can be used for computer vision tasks or natural language processing tasks, and the trained neural networks can be used by augmented or virtual reality devices.",G06N 3/02; G06N 20/00,"MAGIC LEAP, INC.","RABINOVICH, Andrew; BADRINARAYANAN, Vijay; RAJENDRAN, Srivignesh; LEE, Chen-Yu","62/586,154 14.11.2017 US",
WO2019182974,PCT/US2019/022753,18.03.2019,WO/2019/182974,26.09.2019,WO,STEREO DEPTH ESTIMATION USING DEEP NEURAL NETWORKS,"Various examples of the present disclosure include a stereoscopic deep neural network (DNN) that produces accurate and reliable results in real-time. Both LIDAR data (supervised training) and photometric error (unsupervised training) may be used to train the DNN in a semi-supervised manner. The stereoscopic DNN may use an exponential linear unit (ELU) activation function to increase processing speeds, as well as a machine learned argmax function that may include a plurality of convolutional layers having trainable parameters to account for context. The stereoscopic DNN may further include layers having an encoder/decoder architecture, where the encoder portion of the layers may include a combination of three-dimensional convolutional layers followed by two-dimensional convolutional layers.",G06N 3/04; G06N 3/063; G06N 3/08; G01S 17/02; G06T 7/593,NVIDIA CORPORATION,"SMOLYANSKIY, Nikolai; KAMENEV, Alexey; BIRCHFIELD, Stan","62/646,148 21.03.2018 US; 16/356,439 18.03.2019 US",
WO2020033898,PCT/US2019/046011,09.08.2019,WO/2020/033898,13.02.2020,WO,"SYSTEMS AND METHODS FOR PROVIDING FLEXIBLE, MULTI-CAPACITY MODELS FOR USE OF DEEP NEURAL NETWORKS IN MOBILE DEVICES","Systems and methods are disclosed which allow mobile devices, and other resource constrained applications, to more efficiently and effectively utilize deep learning neural networks using only (or primarily) local resources. These systems and methods take the dynamics of runtime resources into account to enable resource-aware, multi-tenant on-device deep learning for artificial intelligence functions for use in tasks like mobile vision systems. The multi-capacity framework enables deep learning models to offer flexible resource-accuracy trade-offs and other similar balancing of performance and resources consumed. At runtime, various systems disclosed herein may dynamically select the optimal resource-accuracy trade-off for each deep learning model to fit the model's resource demand to the system's available runtime resources and the needs of the task being performed by the model. In doing so, systems and methods disclosed herein can efficiently utilize the limited resources in mobile systems to maximize performance of multiple concurrently running neural network-based applications.",G06F 13/28; G06N 3/04; G06N 3/08; G06N 7/02; G16H 50/20; G16H 50/50; G16H 50/70,BOARD OF TRUSTEES OF MICHIGAN STATE UNIVERSITY,"ZHANG, Mi; FANG, Biyi; ZENG, Xiao","62/716,812 09.08.2018 US",
