Time:,21.04.2020 00:05:26,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AIfunctionalapplicationsComputerVisionSceneUnderstandingAndVisionForRobotics,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2019126323,PCT/US2018/066501,19.12.2018,WO/2019/126323,27.06.2019,WO,ROBOT INTERACTION WITH OBJECTS BASED ON SEMANTIC INFORMATION ASSOCIATED WITH EMBEDDING SPACES,"Techniques described herein relate to using reduced-dimensionality embeddings generated from robot sensor data to identify predetermined semantic labels that guide robot interaction with objects. In various implementations, obtaining, from one or more sensors of a robot, sensor data that includes data indicative of an object observed in an environment in which the robot operates. The sensor data may be processed utilizing a first trained machine learning model to generate a first embedded feature vector that maps the data indicative of the object to an embedding space. Nearest neighbor(s) of the first embedded feature vector may be identified in the embedding space. Semantic label(s) may be identified based on the nearest neighbor(s). A given grasp option may be selected from enumerated grasp options previously associated with the semantic label(s). The robot may be operated to interact with the object based on the pose and using the given grasp option.",B25J 9/16,X DEVELOPMENT LLC,"NAGARAJAN, Umashankar","15/851,622 21.12.2017 US",
WO2020069379,PCT/US2019/053554,27.09.2019,WO/2020/069379,02.04.2020,WO,TRAINING A DEEP NEURAL NETWORK MODEL TO GENERATE RICH OBJECT-CENTRIC EMBEDDINGS OF ROBOTIC VISION DATA,"Training a machine learning model (e.g., a neural network model such as a convolutional neural network (CNN) model) so that, when trained, the model can be utilized in processing vision data (e.g., from a vision component of a robot), that captures an object, to generate a rich object-centric embedding for the vision data. The generated embedding can enable differentiation of even subtle variations of attributes of the object captured by the vision data.",G06K 9/00; G06K 9/62; G06K 9/72,GOOGLE LLC,"PIRK, Soeren; BAI, Yunfei; SERMANET, Pierre; KHANSARI ZADEH, Seyed Mohammad; LYNCH, Harrison","62/737,794 27.09.2018 US",
WO2019113074,PCT/US2018/063851,04.12.2018,WO/2019/113074,13.06.2019,WO,LEARNING AND APPLYING EMPIRICAL KNOWLEDGE OF ENVIRONMENTS BY ROBOTS,"Techniques described herein relate to generating a posteriori knowledge about where objects are typically located within environments to improve object location. In various implementations, output from vision sensor(s) of a robot may include visual frame(s) that capture at least a portion of an environment in which a robot operates/will operate. The visual frame(s) may be applied as input across a machine learning model to generate output that identifies potential location(s) of an object of interest. The robot's position/pose may be altered based on the output to relocate one or more of the vision sensors. One or more subsequent visual frames that capture at least a not-previously-captured portion of the environment may be applied as input across the machine learning model to generate subsequent output identifying the object of interest. The robot may perform task(s) that relate to the object of interest.",B25J 9/16; G05B 13/02; G06N 3/02; G06N 3/08,X DEVELOPMENT LLC,"GREENBERG, Alexa","15/832,705 05.12.2017 US",
WO2019241680,PCT/US2019/037264,14.06.2019,WO/2019/241680,19.12.2019,WO,DEEP REINFORCEMENT LEARNING FOR ROBOTIC MANIPULATION,"Using large-scale reinforcement learning to train a policy model that can be utilized by a robot in performing a robotic task in which the robot interacts with one or more environmental objects. In various implementations, off-policy deep reinforcement learning is used to train the policy model, and the off-policy deep reinforcement learning is based on self-supervised data collection. The policy model can be a neural network model. Implementations of the reinforcement learning utilized in training the neural network model utilize a continuous-action variant of Q-learning. Through techniques disclosed herein, implementations can learn policies that generalize effectively to previously unseen objects, previously unseen environments, etc.",B25J 9/16,GOOGLE LLC,"KALASHNIKOV, Dmitry; IRPAN, Alexander; PASTOR SAMPEDRO, Peter; IBARZ, Julian; HERZOG, Alexander; JANG, Eric; QUILLEN, Deirdre; HOLLY, Ethan; LEVINE, Sergey","62/685,838 15.06.2018 US",
WO2019055848,PCT/US2018/051175,14.09.2018,WO/2019/055848,21.03.2019,WO,MACHINE LEARNING METHODS AND APPARATUS FOR ROBOTIC MANIPULATION AND THAT UTILIZE MULTI-TASK DOMAIN ADAPTATION,"Training a machine learning model that, once trained, is used in performance of robotic grasping and/or other manipulation task(s) by a robot. The model can be trained using simulated training examples that are based on simulated data that is based on simulated robot(s) attempting simulated manipulations of various simulated objects. At least portions of the model can also be trained based on real training examples that are based on data from real-world physical robots attempting manipulations of various objects. The simulated training examples can be utilized to train the model to predict an output that can be utilized in a particular task – and the real training examples used to adapt at least a portion of the model to the real-world domain can be tailored to a distinct task. In some implementations, domain-adversarial similarity losses are determined during training, and utilized to regularize at least portion(s) of the model.",B25J 9/16,X DEVELOPMENT LLC,"BAI, Yunfei; FANG, Kuan; HINTERSTOISSER, Stefan; KALAKRISHNAN, Mrinal","62/559,279 15.09.2017 US; 15/913,212 06.03.2018 US",EP-2018779999
