Time:,21.04.2020 00:08:23,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AIfunctionalapplicationsControlMethods,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2020014712,PCT/US2019/041892,15.07.2019,WO/2020/014712,16.01.2020,WO,DIGITAL ADVERTISING PLATFORM WITH DEMAND PATH OPTIMIZATION,A digital advertising system includes at least one processor configured to execute a plurality of functional modules including an analytics module to receive and analyze client attributes associated with a website visitor and a requested website to define an analytics event. The analytics module ingests and enriches data within the analytics event and provides it to a machine learning module that generates prediction models for potential bids. A management platform receives the bidding prediction and generates candidate configs. An optimization module receives the candidate configs and applies weights and additional features to select a config and generate an optimized script for the selected config. A deployment module receives the optimized script and delivers the script to the website visitor.,G05B 13/02; G06Q 30/02; G06Q 90/00,"PUBWISE, LLLP","JOHNSTON, Stephen F.","62/697,976 13.07.2018 US",
WO2019071384,PCT/CN2017/105377,09.10.2017,WO/2019/071384,18.04.2019,WO,"INTELLIGENT SYSTEMS AND METHODS FOR PROCESS AND ASSET HEALTH DIAGNOSIS, ANOMOLY DETECTION AND CONTROL IN WASTEWATER TREATMENT PLANTS OR DRINKING WATER PLANTS","Described herein are systems and methods of analyzing data acquired from a water plant, both historical and in real-time, making determinations about process and asset health diagnosis and anomaly detection using advanced techniques, and controlling the plant and/or providing alerts based on such determinations.",G01N 33/18; G06F 17/30,"BL TECHNOLOGIES, INC.","LU, Su; XIA, Zijun; WAN, Zhaoyang; WANG, Yu; BI, Xijing; WANG, Guoliang; TANG, Chuanyou; ZHU, Zhiping; MA, Wenchao; DONG, Qin; WANG, Sijing; LI, Yisong; LING, Jiajia",,CA-3049807; CN-201780078171.8; EP-2017928507
WO2018205922,PCT/CN2018/085987,08.05.2018,WO/2018/205922,15.11.2018,WO,METHODS AND SYSTEMS FOR PULMONARY FUNCTION TEST BASED ON DIAGNOSTIC MEDICAL IMAGING AND MACHINE LEARNING,"Described herein are methods pertaining to perform the pulmonary function test based on diagnostic imaging and machine learning. In an implementation, a set of diagnostic thoracic images are acquired from some imaging device at one or more time phase points in a succession during respiration of a subject; left and right lung are segmented from the images and each lung is segmented into a plurality of regions of interest; the condition of each region of interest is classified into one specific category; a set of features are extracted from the images, reconstructed regions and their categories; and the pulmonary function indicators are derived using machine learning models from these features.",G06T 7/00,SUZHOU COMPLEXIS MEDICAL INC.,"ZHOU, Yin; LIU, Hui; ZHU, Taofeng; ZHU, Meng; HUI, Zhouguang",PCT/CN2017/083431 08.05.2017 CN,
EP235780262,17305746,19.06.2017,3418821,26.12.2018,EP,METHOD AND DEVICE FOR CONFIGURING A DATA TRANSMISSION SYSTEM,"Embodiments relate to a method for configuring a data transmission system (1), executed by a configuration device (5), wherein the data transmission system (1) comprises at least one transmitter (22), at least one receiver (31), and a communication channel (4) between the transmitter and the receiver, the method comprising: 
- training (S1) a machine learning model (6) of the data transmission system (1), wherein the machine learning model (6) specifies at least a transmitter model (7), a channel model (8), and a receiver model (9) including a receiver neural network (10, 11), 
- configuring (S2) the transmitter and the receiver based on the trained machine learning model (6), then: 
- obtaining (S3) training data specifying a set of messages sent by the transmitter and the corresponding signals received by the receiver, 
- training (S4) the receiver model (9) based on the obtained training data, and 
- configuring (S5) the receiver based on the trained receiver model (9).",G05B 13/04,NOKIA TECHNOLOGIES OY,HOYDIS JAKOB; CAMMERER SEBASTIAN; DÖRNER SEBASTIAN; TEN BRINK STEPHAN,17305746 19.06.2017 EP,
WO2018234084,PCT/EP2018/065422,12.06.2018,WO/2018/234084,27.12.2018,WO,METHOD AND DEVICE FOR CONFIGURING A DATA TRANSMISSION SYSTEM,"Embodiments relate to a method for configuring a data transmission system (1), executed by a configuration device (5), wherein the data transmission system (1) comprises at least one transmitter (22), at least one receiver (31), and a communication channel (4) between the transmitter and the receiver, the method comprising: - training (S1) a machine learning model (6) of the data transmission system (1), wherein the machine learning model (6) specifies at least a transmitter model (7), a channel model (8), and a receiver model (9) including a receiver neural network (10, 1), - configuring (S2) the transmitter and the receiver based on the trained machine learning model (6), then: - obtaining (S3) training data specifying a set of messages sent by the transmitter and the corresponding signals received by the receiver, - training (S4) the receiver model (9) based on the obtained training data, and - configuring (S5) the receiver based on the trained receiver model (9).",G05B 13/04,NOKIA TECHNOLOGIES OY,"HOYDIS, Jakob; CAMMERER, Sebastian; DÖRNER, Sebastian; TEN BRINK, Stephan",17305746.4 19.06.2017 EP,
