Time:,21.04.2020 00:10:45,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AIfunctionalapplicationsDistributedArtificialIntelligence,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2018226492,PCT/US2018/035275,31.05.2018,WO/2018/226492,13.12.2018,WO,ASYNCHRONOUS AGENTS WITH LEARNING COACHES AND STRUCTURALLY MODIFYING DEEP NEURAL NETWORKS WITHOUT PERFORMANCE DEGRADATION,"Methods and computer systems improve a trained base deep neural network by structurally changing the base deep neural network to create an updated deep neural network, such that the updated deep neural network has no degradation in performance relative to the base deep neural network on the training data. The updated deep neural network is subsequently training. Also, an asynchronous agent for use in a machine learning system comprises a second machine learning system ML2 that is to be trained to perform some machine learning task. The asynchronous agent further comprises a learning coach LC and an optional data selector machine learning system DS. The purpose of the data selection machine learning system DS is to make the second stage machine learning system ML2 more efficient in its learning (by selecting a set of training data that is smaller but sufficient) and/or more effective (by selecting a set of training data that is focused on an important task). The learning coach LC is a machine learning system that assists the learning of the DS and ML2. Multiple asynchronous agents could also be in communication with each others, each trained and grown asynchronously under the guidance of their respective learning coaches to perform different tasks.",G06N 3/02; G06N 3/08; G06F 15/18; G06F 17/30,D5AI LLC,"BAKER, James K.","62/515,142 05.06.2017 US",EP-2018813951
WO2020069517,PCT/US2019/053857,30.09.2019,WO/2020/069517,02.04.2020,WO,INTELLIGENT TRANSPORTATION SYSTEMS,"Transportation systems have artificial intelligence including neural networks for recognition and classification of objects and behavior including natural language processing and computer vision systems. The transportation systems involve sets of complex chemical processes, mechanical systems, and interactions with behaviors of operators. System-level interactions and behaviors are classified, predicted and optimized using neural networks and other artificial intelligence systems through selective deployment, as well as hybrids and combinations of the artificial intelligence systems, neural networks, expert systems, cognitive systems, genetic algorithms and deep learning.",B60W 30/14,"STRONG FORCE INTELLECTUAL CAPITAL, LLC","CELLA, Charles","62/739,335 30.09.2018 US",
WO2004018158,PCT/US2003/026764,21.08.2003,WO/2004/018158,04.03.2004,WO,ORGANIZING GROUPS OF SELF-CONFIGURABLE MOBILE ROBOTIC AGENTS,"A system of self-organizing mobile robotic agents (MRAs) (6) in a multi robotic system (MRS) (2). MRAs cooperate, learn and interact with the environment. The system uses various AI technologies including genetic algorithms, genetic programming and evolving artificial neural networks to develop emergent dynamic behaviors. The collective behaviors of autonomous intelligent robotic agents are applied to numerous applications. The system uses hybrid control architectures. The system also develops dynamic coalitions of groups of autonomous MRAs (2) for formation and reformation in order to perform complex tasks.",B64C 39/02; F41H 13/00; G05D 1/02; G05D 1/10,"SOLOMON, Neal","SOLOMON, Neal","60/404,945 21.08.2002 US; 60/404,946 21.08.2002 US",JP-2004531235; EP-2003793423
EP14502209,05019965,14.09.2005,1638042,22.03.2006,EP,Mobile hybrid software router,"A hybrid router for dynamical control systems is described. The mobile hybrid software router (MHSR) combines distinctive computational and mathematical techniques, including evolutionary computation (EC), probabilistic simulations (PS), machine learning and artificial neural networks (A-NNs), in order to solve unique problems encountered in an unknown environment in real time. Embodied in intelligent mobile software agents (IMSAs), the MHSR operates within a multi-agent system (MAS) to continually optimize system operation. The MHSR is applied to several major complex system categories. In one embodiment of the system, the MHSR is implemented in hardware, including continuously programmable field programmable gate arrays (CP-FPGAs), for perpetually reconfigurable evolvable hardware operation. Whether in application-specific or multi-functional mode, the MHSR is useful to groups of agents in intelligent systems for adaptation to uncertain environments in order to perform self-organization capabilities.",G06N 3/08; G06N 5/00,SOLOMON NEAL E,SOLOMON NEAL E,05019965 14.09.2005 EP,
WO2019018533,PCT/US2018/042701,18.07.2018,WO/2019/018533,24.01.2019,WO,NEURO-BAYESIAN ARCHITECTURE FOR IMPLEMENTING ARTIFICIAL GENERAL INTELLIGENCE,"The present disclosure envisages a processor architecture designed tor artificial general intelligence operations. The engine for Neuro-Bayesian teaming (eN-BLe) further includes a hierarchical Neuro Bayesian Network module, a reinforcement learning module, a supervised learning, module, and a planning, imagination, and simulation module, for planning, imagination, and decision making under uncertainty. The engine for Neuro-Bayesian learning is communicably coupled to a user application and receives input data from the user application. The hierarchical Neuro-Bayesian Network (H-NBN) acts as a probabilistic internal model of an application or unknown environment. The H-NBN is capable of probabilistic and Bayesian inference, prediction, and unsupervised learning. Thereafter, the outputs of the H-NBN are provided to supervised NBNs for classification or regression of input states. Additionally, the output of the H-NBN is provided to the reinforcement learning module, which in turn comprises Value-NBNs (V-NBNs) and Policy-NBNs (P-NBNs), to compute expected reward and select optimal actions under uncertainty.",G06E 1/00,NEUBAY INC,"RAO, Rajesh Perampalli Nekkar; KATHIRISETTI, Satish; DURAIRAJ, Ramesh","62/534,040 18.07.2017 US",
WO2019129915,PCT/FI2017/050953,29.12.2017,WO/2019/129915,04.07.2019,WO,INTELLIGENT DEFENSE AND FILTRATION PLATFORM FOR NETWORK TRAFFIC,"Systems and methods for detecting and preventing cyber-attacks on communication networks provide a hybrid anomaly detection module (HADM) that uses a combination of linear algorithms and learning algorithms. The linear algorithms filter and extract distinctive attributes and features of the cyber-attacks and the learning algorithms use these attributes and features to identify new types of cyber-attacks. The learning algorithms, which may be algorithms that employ Artificial Neural Networks (ANN), Genetic Algorithm (GA), Extreme Learning Machines (ELM), Self-Organizing Map (SOM), Multi-Layer Perceptron (MLP), or Swarm intelligence (SI)and the like, have better detection accuracy when they are used along with linear algorithms, such as algorithms that employ Decision Tree,Support Vector Machine,or Fuzzy Ruleand the like. The use of linear algorithms in conjunction with learning algorithms allows the HADM to achieve improved cyber-attack detection over existing solutions.",H04L 29/06; G06N 99/00; G06N 3/08; G06K 9/62; G06N 3/02,NOKIA SOLUTIONS AND NETWORKS OY,"MONSHIZADEH, Mehrnoosh; HÄTÖNEN, Kimmo; KHATRI, Vikramajeet",,
WO2020049182,PCT/EP2019/073911,08.09.2019,WO/2020/049182,12.03.2020,WO,COGNITIVE COMPUTING METHODS AND SYSTEMS BASED ON BIOLOGICAL NEURAL NETWORKS,"A Biological Neural Network (BNN) core unit comprising a neural cell culture, an input stimulation unit, an output readout unit may be controlled through its various life cycles to provide data processing functionality. An automation system comprising an environmental and chemical controller unit adapted to operate with the BNN stimulation and readout data interfaces facilitates the monitoring and adaptation of the BNN core unit parameters. Pre-processing and post-processing of the BNN interface signals may further facilitate the training and reinforcement learning by the BNN. Multiple BNN core units may also be assembled together as a stack. The proposed system provides a BNN Operating System as a core component for a wetware server to receive, process and transmit data for different client applications without exposing the BNN core unit components to the client user while requiring significantly less energy than conventional silicon-based hardware and software information processing for high-level cognitive computing tasks.",G06N 3/06; G06N 3/04; G06N 3/12; G06N 5/00,ALPVISION S.A.,"JORDAN, Frédéric; KUTTER, Martin; DELACRETAZ, Yves","62/728,765 08.09.2018 US",
WO2020002124,PCT/EP2019/066338,20.06.2019,WO/2020/002124,02.01.2020,WO,METHOD OF OPERATING A POWER DISTRIBUTION SYSTEM,"The invention relates to a method of operating a node of a power distribution system in an optimised manner so as to minimise transmission losses on an external power bus. A power generator (15) feeds in electrical energy via an inverter (17) capable of carrying out Volt/VAR control under the command of an optimiser (23) associated with a supervised learning model such as a support vector machine. This optimisation takes place in two distinct training phases, one in which the supervised learning model is trained, another in which optimal control parameters for the inverter are obtained.",H02J 3/16; G05B 13/02; G05B 13/04; H02J 3/38,CSEM CENTRE SUISSE D'ELECTRONIQUE ET DE MICROTECHNIQUE SA - RECHERCHE ET DÉVELOPPEMENT,"MARTIN, William",18179730.9 26.06.2018 EP,
WO2017153445,PCT/EP2017/055384,08.03.2017,WO/2017/153445,14.09.2017,WO,CONTENT-BASED MEDICAL IMAGING RENDERING BASED ON MACHINE LEARNING,"An artificial intelligence agent is machine trained (14) and used (34) to provide physically-based rendering settings. By using deep learning (16, 36) and/or other machine training (14), settings of multiple rendering parameters may be provided (40) for consistent imaging even in physically-based rendering (42).",G06T 15/08; G06T 19/20; G06T 5/00; G06N 3/04; G06K 9/62,SIEMENS HEALTHCARE GMBH,"COMANICIU, Dorin; ENGEL, Klaus; GEORGESCU, Bogdan; MANSI, Tommaso; MIAO, Shun; PETKOV, Kaloian; YU, Daphne","62/306,407 10.03.2016 US; 15/191,043 23.06.2016 US",EP-2017711584; CN-201780016345.8
WO2018164716,PCT/US2017/053243,25.09.2017,WO/2018/164716,13.09.2018,WO,PROCESSOR FOR IMPLEMENTING REINFORCEMENT LEARNING OPERATIONS,"A reinforcement learning processor specifically configured to execute reinforcement learning operations by the way of implementing an application-specific instruction set is envisaged. The application-specific instruction set incorporates 'Single Instruction Multiple Agents (SiMA)' instructions. SiMA type instructions are specifically designed to be implemented simultaneously on a plurality of reinforcement learning agents which interact with corresponding reinforcement learning environments. The SiMA type instructions are specifically configured to receive either a reinforcement learning agent ID or a reinforcement learning environment ID as the operand. The reinforcement learning processor uses neural network data paths to communicate with a neural network, which in turn uses the actions, state-value functions, Q-values and reward values generated by the reinforcement learning processor to approximate an optimal state-value function as well as an optimal reward function.",G06N 99/00,ALPHAICS CORPORATION,"NAGARAJA, Nagendra","15/455,126 09.03.2017 US",
WO2018184193,PCT/CN2017/079680,07.04.2017,WO/2018/184193,11.10.2018,WO,ADVANCED ARTIFICIAL INTELLIGENCE AGENT FOR MODELING PHYSICAL INTERACTIONS,"Described herein are advanced artificial intelligence agents for modeling physical interactions. An apparatus to provide an active artificial intelligence (AI) agent includes at least one database to store physical interaction data and compute cluster coupled to the at least one database. The compute cluster automatically obtains physical interaction data from a data collection module without manual interaction, stores the physical interaction data in the at least one database, and automatically trains diverse sets of machine learning program units to simulate physical interactions with each individual program unit having a different model based on the applied physical interaction data.",G06F 17/30,"INTEL CORPORATION; YAO, Anbang; CAI, Dongqi; WANG, Libin; XU, Lin; HU, Ping; WANG, Shandong; CHENG, Wenhua; GUO, Yiwen; YANG, Liu; HOU, Yuqing; SU, Zhou","YAO, Anbang; CAI, Dongqi; WANG, Libin; XU, Lin; HU, Ping; WANG, Shandong; CHENG, Wenhua; GUO, Yiwen; YANG, Liu; HOU, Yuqing; SU, Zhou",,EP-2017904807; CN-201780088086.X
WO2019098573,PCT/KR2018/013061,31.10.2018,WO/2019/098573,23.05.2019,WO,ELECTRONIC DEVICE AND METHOD FOR CHANGING CHATBOT,"An artificial intelligence (AI) system which utilizes machine learning algorithm such as deep learning and application is provided. The artificial intelligence (AI) system includes a controlling method of an electronic device for determining a chatbot using an artificial intelligence learning model includes receiving a voice uttered by a user, processing the voice and acquiring text information corresponding to the voice, and displaying the text information on a chat screen, determining a chatbot for providing a response message regarding the voice by inputting the acquired text information and chat history information regarding the chat screen to a model which is trained to determine the chatbot by inputting text information and chat history information, transmitting the acquired text information and the chat history information regarding the chat screen to a server for providing the determined chatbot, and receiving a response message from the server and displaying the response message on the chat screen.",G06Q 50/30; G06N 99/00,"SAMSUNG ELECTRONICS CO., LTD.","YUN, Ji Hwan; RYU, Won Ho; CHOI, Won Jong",10-2017-0154939 20.11.2017 KR,EP-2018879732
WO2014149827,PCT/US2014/021098,06.03.2014,WO/2014/149827,25.09.2014,WO,ARTIFICIAL NEURAL NETWORK INTERFACE AND METHODS OF TRAINING THE SAME FOR VARIOUS USE CASES,"An Artificial Neural Network Interface (ANNI) is disclosed along with use cases for the same. The ANNI utilizes one or more decision trees and/or probabilistic/combinatoric analysis to determine optimal responses to current conditions. The ANNI is also enabled to learn new conditions that are accepted as normal and, in response thereto, update the decision tree(s).",G06F 15/18,REMTCS INC.,"XAYPANYA, Tommy; MALINOWSKI, Richard, E.","61/794,430 15.03.2013 US; 61/794,547 15.03.2013 US; 61/794,472 15.03.2013 US; 61/794,505 15.03.2013 US; 61/897,745 30.10.2013 US; 61/891,598 16.10.2013 US; 61/901,269 07.11.2013 US",
WO2007147166,PCT/US2007/071488,18.06.2007,WO/2007/147166,21.12.2007,WO,CONSILENCE OF DATA-MINING,"The present invention relates to an integrated framework providing dynamic discovery of knowledge (106), construction of predictive models (105), and decision support services (107). The framework can efficiently exploit dynamically changing data from distributed sources, and is scaleable over local and distributed processor environments. A priori background knowledge (101) is included to gain learning efficiency and to apply logical constraints to the learned models. Extended graphical models are generated by single or iterative uses of the framework, supporting a concentration of the most useful model components (105), and the development of multiple layers of model abstraction. Constructed virtual models can act as proxies for the data they represent, and can be used to build subsequent models on data that is not typically available as an integrated body. The system exploits information about cross-domain models to find information unifying relationships.",G05B 13/02; G06F 17/00; G06N 7/00; G06N 7/08,"QUANTUM LEAP RESEARCH, INC.; VAIDYANATHAN, Akhileswar Ganesh; FAULKNER, Eli T.; PERRY, Benjamin B.; ANGELINE, Peter J.; KALRA, Gunjan; KALLURKAR, Srikanth V.; SHEPHERD, David C.; HOLNESS, Gary F.; JOHNSON, Apperson H.","VAIDYANATHAN, Akhileswar Ganesh; FAULKNER, Eli T.; PERRY, Benjamin B.; ANGELINE, Peter J.; KALRA, Gunjan; KALLURKAR, Srikanth V.; SHEPHERD, David C.; HOLNESS, Gary F.; JOHNSON, Apperson H.","60/814,425 16.06.2006 US; 60/892,846 03.03.2007 US",
