Time:,21.04.2020 00:12:15,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AIfunctionalapplicationsKnowledgeRepresentationAndReasoning,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2019028279,PCT/US2018/045051,02.08.2018,WO/2019/028279,07.02.2019,WO,METHODS AND SYSTEMS FOR OPTIMIZING ENGINE SELECTION USING MACHINE LEARNING MODELING,"A system for optimizing selection of transcription engines using a combination of selected machine learning models. The system includes a plurality of preprocessors that generate a plurality of features from a media data set. The system further includes a deep learning neural network model, a gradient boosted machine model and a random forest model used in generating a ranked list of transcription engines. A transcription engine is selected from the ranked list of transcription engines to generate a transcript for the media dataset.",G06N 99/00; G06N 3/04; G06N 5/00; G10L 25/24,"VERITONE, INC.","STEELBERG, Chad; NGUYEN, Peter; RATHS, Cornelius; RIVKIN, Steven N.","62/540,508 02.08.2017 US; 62/633,023 20.02.2018 US; 62/638,745 05.03.2018 US",
WO2019113122,PCT/US2018/063928,04.12.2018,WO/2019/113122,13.06.2019,WO,SYSTEMS AND METHODS FOR IMPROVED MACHINE LEARNING FOR CONVERSATIONS,"Systems and methods for improvements in AI model learning and updating are provided. The model updating may reuse existing business conversations as the training data set. Features within the dataset may be defined and extracted. Models may be selected and parameters for the models defined. Within a distributed computing setting the parameters may be optimized, and the models deployed. The training data may be augmented over time to improve the models. Deep learning models may be employed to improve system accuracy, as can active learning techniques. The models developed and updated may be employed by a response system generally, or may function to enable specific types of AI systems. One such a system may be an AI assistant that is designed to take use cases and objectives, and execute tasks until the objectives are met. Another system capable of leveraging the models includes an automated question answering system utilizing approved answers. Yet another system for utilizing these various classification models is an intent based classification system for action determination. Lastly, it should be noted that any of the above systems may be further enhanced by enabling multiple language analysis.",G06F 15/18,"CONVERSICA, INC.","TERRY, George, Alexis; KOEPF, Werner; JONNALAGADDA, Siddhartha, Reddy; HARRIGER, James, D.; WEBB-PURKIS, William, Dominic; GAINOR, Macgregor, S.; FERGUSON, Collin, C.; SHANKAR, Ravi; SHANKAR, Shashi; MCCANN, Ian; GODFREY, Keith; LONG, Christopher, Allan; KAMINSKI, Brian, Matthew; SANSONE, John; KIRKLAND, Jennifer; GINSTROM, Ryan, Francis; BREDLOW, Caleb, Andrew; SARGENT, Kyle; FORDYCE, Alexander Carmelo, Reid","16/208,478 03.12.2018 US; 16/208,488 03.12.2018 US; 16/208,484 03.12.2018 US; 62/594,415 04.12.2017 US",
WO2018017467,PCT/US2017/042356,17.07.2017,WO/2018/017467,25.01.2018,WO,"DISTRIBUTED MACHINE LEARNING SYSTEMS, APPARATUS, AND METHODS","A distributed, online machine learning system is presented. Contemplated systems include many private data servers, each having local private data. Researchers can request that relevant private data servers train implementations of machine learning algorithms on their local private data without requiring de-identification of the private data or without exposing the private data to unauthorized computing systems. The private data servers also generate synthetic or proxy data according to the data distributions of the actual data. The servers then use the proxy data to train proxy models. When the proxy models are sufficiently similar to the trained actual models, the proxy data, proxy model parameters, or other learned knowledge can be transmitted to one or more non-private computing devices. The learned knowledge from many private data servers can then be aggregated into one or more trained global models without exposing private data.",G06N 99/00; G06N 5/04,"NANTOMICS, LLC; NANT HOLDINGS IP, LLC","SZETO, Christopher; BENZ, Stephen, Charles; WITCHEY, Nicholas, J.","62/363,697 18.07.2016 US",EP-2017831625; SG-11201900220R; KR-1020197004647; MX-MX/a/2019/000713; AU-2017300259; IL-264281; CA-3031067; JP-2019502045; CN-201780056525.9
WO2019143538,PCT/US2019/013414,14.01.2019,WO/2019/143538,25.07.2019,WO,QUESTION AND ANSWER PAIR GENERATION USING MACHINE LEARNING,"An interactive question and answer (Q&A) service provides pairs of questions and corresponding answers related to the content of a web page. The service includes pre-configured Q&A pairs derived from a deep learning framework that includes a series of neural networks trained through joint and transfer learning to generate questions for a given text passage. In addition, pre-configured Q&A pairs are generated from historical web access patterns and sources related to the content of the web page.",G06N 3/04; G06N 5/04; G06N 3/08,"MICROSOFT TECHNOLOGY LICENSING, LLC","BAJAJ, Payal; BOLAND, Gearard; GUPTA, Anshul; JIN, Matthew Glenn; NORIEGA DE ARMAS, Eduardo Enrique; SHAVER, Jason; SUNDARESAN, Neelakantan; ZILOUCHIAN MOGHADDAM, Roshanak","62/619,804 21.01.2018 US; 16/101,520 13.08.2018 US",
WO2018005489,PCT/US2017/039499,27.06.2017,WO/2018/005489,04.01.2018,WO,DATA QUALITY DETECTION AND COMPENSATION FOR MACHINE LEARNING,"Apparatuses, systems, methods, and computer program products are disclosed for data quality detection and compensation for machine learning. A quality analysis module (202) electronically identifies one or more data quality issues in machine learning training data. A corrective action module (204) modifies training data by performing one or more corrective actions in response to one or more data quality issues. A predictive analytics module (206) creates a machine learning model that includes one or more learned functions based on modified training data.",G06F 3/048; G06F 15/18; G06F 17/00; G06F 17/50; G06N 5/04; G06N 99/00,"PUREPREDICTIVE, INC.","MAUGHAN, Jason; MCFALL, Timothy","62/355,233 27.06.2016 US",EP-2017821072
