Time:,21.04.2020 00:16:50,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AIfunctionalapplicationsNaturalLanguageProcessingInformationExtraction,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2012011940,PCT/US2011/001250,16.07.2011,WO/2012/011940,26.01.2012,WO,GENERATING PREDICTIVE MODELS ON SUPPLEMENTAL WORKBOOK DATA,"A method and system that generate a predictive model on supplemental workbook data are disclosed. A computer is used to provide a spreadsheet environment comprising data. Supplemental data is defined and stored in a non- worksheet format in the spreadsheet environment. A predictive analytic is performed on the supplemental data. A scalable predictive model is generated in the non-worksheet format. In this way, a greater number of users can create successful predictive analysis projects by providing various tools to create simple and accurate predictive models without requiring extensive training or specific knowledge of the methodologies that are currently required.",G06E 1/00,"PREDIXION SOFTWARE, INC.; MACLENNAN, James, C.","MACLENNAN, James, C.; CRIVAT, Ioan, Bogdan","61/399,866 19.07.2010 US",
WO2008017991,PCT/IB2007/053048,02.08.2007,WO/2008/017991,14.02.2008,WO,METHODS AND APPARATUS TO INTEGRATE SYSTEMATIC DATA SCALING INTO GENETIC ALGORITHM-BASED FEATURE SUBSET SELECTION,"Methods and apparatus for training a system for developing a process of data mining, false positive reduction, computer-aided detection, computer-aided diagnosis and artificial intelligence are provided. A method includes choosing a training set from a set of training cases using systematic data scaling and creating a classifier based on the training set using a classification method. The classifier yields fewer false positives. The method is suitable for use with a variety of data mining techniques including support vector machines, neural networks and decision trees.",G06N 3/12; G06F 19/00,"KONINKLIJKE PHILIPS ELECTRONICS, N.V.; ZHAO, Luyin; BOROCZKY, Lilla; LEE, Kwok Pun","ZHAO, Luyin; BOROCZKY, Lilla; LEE, Kwok Pun","60/822,098 11.08.2006 US",CN-200780029838.1; IN-1271/CHENP/2009; US-12377245; EP-2007805289; JP-2009523398; RU-2009108639
WO2018089574,PCT/US2017/060766,09.11.2017,WO/2018/089574,17.05.2018,WO,PREDICTIVE ANALYTIC METHODS AND SYSTEMS,"Apparatus and associated methods relate to developing a predictive analytic model based on data records partitioned as a function of at least one relationship between parts and folds, assigning more than one part to test each fold, and assigning at least one part to test more than one fold; and evaluating the predictive analytic model based on more than one prediction determined for each observation in each test data record as a function of a predictive analytic model not trained on the test data record. In an illustrative example, the relationship between parts and folds may exclude some of the training data in common, with the same degree of overlap in the data between each pair of folds. Various examples may advantageously produce models built on each pair of folds having nearly equal pairwise-correlation of their predictions with models built on any other pair of folds.",G06F 17/10; G06K 9/62; G06F 15/18; G06N 99/00,"MINITAB, INC.","STEINBERG, Dan; CARDELL, Nicholas","62/421,215 11.11.2016 US",
WO2006007633,PCT/AU2005/001037,18.07.2005,WO/2006/007633,26.01.2006,WO,DATA MINING UNLEARNABLE DATA SETS,"This invention concerns data mining, that is the extraction of information, from “unlearnable” data sets. In particular it concerns apparatus and a method for this purpose. The invention involves creating a finite training sample from the data set (14). Then training (50) a learning device (32) using a supervised learning algorithm to predict labels for each item of the training sample. Then processing other data from the data set with the trained learning device to predict labels and determining whether the predicted labels are better (learnable) or worse (anti-learnable) than random guessing (52). And, using a reverser (34) to apply negative weighting to the predicted labels if it is worse (anti-learnable) (54).",G06K 9/00; G06F 17/00,"NATIONAL ICT AUSTRALIA LIMITED; KOWALCZYK, Adam; SMOLA, Alex; SOON ONG, Cheng; CHAPELLE, Olivier","KOWALCZYK, Adam; SMOLA, Alex; SOON ONG, Cheng; CHAPELLE, Olivier",2004903944 16.07.2004 AU,AU-2005263171; US-11572193
EP189846279,16160845,17.03.2016,3107009,21.12.2016,EP,SELF-LEARNING BASED CRAWLING AND RULE-BASED DATA MINING FOR AUTOMATIC INFORMATION EXTRACTION,"Methods and Systems for automatic information extraction by performing self-learning crawling and rule-based data mining is provided. The method determines existence of crawl policy within input information and performs at least one of front-end crawling, assisted crawling and recursive crawling. Downloaded data set is pre-processed to remove noisy data and subjected to classification rules and decision tree based data mining to extract meaningful information. Performing crawling techniques leads to smaller relevant datasets pertaining to a specific domain from multi-dimensional datasets available in online and offline sources.",G06F 17/30,TATA CONSULTANCY SERVICES LTD,A V ARUN KUMAR; RATH HEMANT KUMAR; NADAF SHAMEEMRAJ M; SIMHA ANANTHA,2345MU2015 19.06.2015 IN,
WO2019036127,PCT/US2018/041068,06.07.2018,WO/2019/036127,21.02.2019,WO,FRAMEWORK FOR RAPID ADDITIVE DESIGN WITH GENERATIVE TECHNIQUES,"According to some embodiments, a system may include a design experience data store containing electronic records associated with prior industrial asset item designs. A deep learning model platform, coupled to the design experience data store, may include a communication port to receive constraint and load information from a designer device. The deep learning platform may further include a computer processor adapted to automatically and generatively create boundaries and geometries, using a deep learning model associated with an additive manufacturing process, for an industrial asset item based on the prior industrial asset item designs and the received constraint and load information. According to some embodiments, the deep learning model computer processor is further to receive design adjustments from the designer device. The received design adjustments might be for example, used to execute an optimization process and/or be fed back to continually re-train the deep learning model.",G06N 3/08; B29C 64/386; B33Y 50/00,GENERAL ELECTRIC COMPANY,"SUBRAMANIYAN, Arun Karthi; BARUA, Ananda; ERNO, Daniel","15/678,653 16.08.2017 US",EP-2018846975
WO2018212711,PCT/SG2018/050234,15.05.2018,WO/2018/212711,22.11.2018,WO,PREDICTIVE ANALYSIS METHODS AND SYSTEMS,"Methods and systems for predictive analysis are disclosed, A predictive analysis method comprises: receiving a set of predictor variables as an input feature vector comprising a plurality of features; projecting each feature of the feature vector onto a dense vector representation to obtain a set of embedding vectors representing the input feature vector in an embedding space; converting the set of embedding vectors into a bi-interaction pooling vector that encodes second-order interactions between features of the feature vector in the embedding space; inputting the bi-interaction pooling vector into a hidden layer stack, the hidden layer stack comprising at least one hidden layer of neural network nodes; and transforming an output vector of the hidden layer stack into a prediction score.",G06N 3/02; G06F 15/18; G06N 7/00,NATIONAL UNIVERSITY OF SINGAPORE,"HE, Xiangnan; CHUA, Tat-Seng",10201704120Q 19.05.2017 SG,
EP163438991,14462007,30.10.2014,3016001,04.05.2016,EP,"Data mining method and apparatus, and computer program product for carrying out the method","A distributed data mining method to be carried out in user equipments (110A,110B) connected to a peer-to-peer communication network (120) is disclosed, wherein each of said user equipments has a common programming platform. The method comprises the steps of: 
a) in the user equipments (110A, 11 B), providing and storing a data mining frame application (130) in the form of a code running on a device-specific platform, and a trainable data mining algorithm (132) produced on a programming language common to all user equipments, 
b) in a first user equipment (110A), running the data mining algorithm (132) to process user data temporarily or permanently stored in the first user equipment, 
c) based on the result of the data mining processing, modifying the data structures and/or the input parameter set of the data mining algorithm (132) of the first user equipment (110A) through training, 
d) at least a part of the modified input parameter set and/or the modified data structures of the data mining algorithm (132) of the first user equipment (110A) is forwarded as a training information from the first user equipment (110A) by means of peer-to-peer propagation to at least one second user equipment (110B) connected to the communication network (120), and 
e) in at least one second user equipment (110B), modifying the input parameter set and/or the data structures of the data mining algorithm (132) running on the respective second user equipment (110B) by using the training information received from the first user equipment (110A).",G06F 17/30; G06K 9/62; G06N 99/00,SZEGEDI TUDOMÁNYEGYETEM; BUDAPESTI MUSZAKI ÉS GAZDASÁGTUDOMÁNYI EGYETEM,EKLER PÉTER; CHARAF HASSAN; FORSTNER BERTALAN; LENGYEL LÁSZLÓ; BÉLÁDI RÓBERT; BILICZKI VILMOS; GYIMÓTHY TIBOR; IVÁNYI SZILÁRD; SZÜCS VILMOS; VÉGH ÁDÁM; RAK ZOLTÁN; JELASITY MÁRK,14462007 30.10.2014 EP,
