Time:,08.05.2020 10:09:33,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AIfunctionalapplicationsNaturalLanguageProcessingMachineTranslation,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2018226492,PCT/US2018/035275,31.05.2018,WO/2018/226492,13.12.2018,WO,ASYNCHRONOUS AGENTS WITH LEARNING COACHES AND STRUCTURALLY MODIFYING DEEP NEURAL NETWORKS WITHOUT PERFORMANCE DEGRADATION,"Methods and computer systems improve a trained base deep neural network by structurally changing the base deep neural network to create an updated deep neural network, such that the updated deep neural network has no degradation in performance relative to the base deep neural network on the training data. The updated deep neural network is subsequently training. Also, an asynchronous agent for use in a machine learning system comprises a second machine learning system ML2 that is to be trained to perform some machine learning task. The asynchronous agent further comprises a learning coach LC and an optional data selector machine learning system DS. The purpose of the data selection machine learning system DS is to make the second stage machine learning system ML2 more efficient in its learning (by selecting a set of training data that is smaller but sufficient) and/or more effective (by selecting a set of training data that is focused on an important task). The learning coach LC is a machine learning system that assists the learning of the DS and ML2. Multiple asynchronous agents could also be in communication with each others, each trained and grown asynchronously under the guidance of their respective learning coaches to perform different tasks.",G06N 3/02; G06N 3/08; G06F 15/18; G06F 17/30,D5AI LLC,"BAKER, James K.","62/515,142 05.06.2017 US",EP-2018813951
WO2018212710,PCT/SG2018/050233,15.05.2018,WO/2018/212710,22.11.2018,WO,PREDICTIVE ANALYSIS METHODS AND SYSTEMS,"Methods and systems for predictive analysis are disclosed, A predictive analysis method comprises: receiving a set of predictor variables as an input feature vector comprising a plurality of features; projecting each feature of the input feature vector onto a dense vector representation to obtain a set of embedding vectors presenting the input feature vector in an embedding space; calculating a set of interacted vectors, each interacted vector being an element-wise product of two embedding vectors of the set of embedding vectors; performing a weight sum over the interacted vectors, the weighted sum being weighted by a plurality of attention scores each corresponding to an interaction between a pair of features of the feature vector; and projecting the weighed sum to obtain a prediction score.",G06F 15/18; G06N 7/00; G06N 3/02,NATIONAL UNIVERSITY OF SINGAPORE,"HE, Xiangnan; ZHANG, Hanwang; CHUA, Tat-Seng",10201704115T 19.05.2017 SG,
WO2018213763,PCT/US2018/033487,18.05.2018,WO/2018/213763,22.11.2018,WO,NATURAL LANGUAGE PROCESSING USING CONTEXT-SPECIFIC WORD VECTORS,"A system is provided for natural language processing. In some embodiments, the system includes an encoder for generating context-specific word vectors for at least one input sequence of words. The encoder is pre-trained using training data for performing a first natural language processing task. A neural network performs a second natural language processing task on the at least one input sequence of words using the context-specific word vectors. The first natural language process task is different from the second natural language processing task and the neural network is separately trained from the encoder. In some embodiments, the first natural processing task can be machine translation, and the second natural processing task can be one of sentiment analysis, question classification, entailment classification, and question answering.",G06N 3/04; G06F 17/28,"SALESFORCE.COM, INC.","MCCANN, Bryan; XIONG, Caiming; SOCHER, Richard","62/508,977 19.05.2017 US; 62/536,959 25.07.2017 US; 15/982,841 17.05.2018 US",CN-201880033016.9; CA-3062891; DE-112018002601
WO2017117412,PCT/US2016/069257,29.12.2016,WO/2017/117412,06.07.2017,WO,SYSTEM AND METHOD FOR NEURAL NETWORK BASED FEATURE EXTRACTION FOR ACOUSTIC MODEL DEVELOPMENT,"A system and method are presented for neural network based feature extraction for acoustic model development. A neural network may be used to extract acoustic features from raw MFCCs or the spectrum, which are then used for training acoustic models for speech recognition systems. Feature extraction may be performed by optimizing a cost function used in linear discriminant analysis. General non-linear functions generated by the neural network are used for feature extraction. The transformation may be performed using a cost function from linear discriminant analysis methods which perform linear operations on the MFCCs and generate lower dimensional features for speech recognition. The extracted acoustic features may then be used for training acoustic models for speech recognition systems.",G10L 15/06; G06F 17/27; G06F 17/28; G06N 99/00; G09B 19/04; G10L 13/08,"INTERACTIVE INTELLIGENCE GROUP, INC.","CHELUVARAJA, Srinath; IYER, Ananth Nagaraja","14/985,560 31.12.2015 US",
WO2018175972,PCT/US2018/024155,23.03.2018,WO/2018/175972,27.09.2018,WO,DEVICE PLACEMENT OPTIMIZATION WITH REINFORCEMENT LEARNING,"A method for determining a placement for machine learning model operations across multiple hardware devices is described. The method includes receiving data specifying a machine learning model to be placed for distributed processing on multiple hardware devices; generating, from the data, a sequence of operation embeddings, each operation embedding in the sequence characterizing respective operations necessary to perform the processing of the machine learning model; processing the sequence of operation embeddings using a placement recurrent neural network in accordance with first values of a plurality network parameters of the placement recurrent neural network to generate a network output that defines a placement of the operations characterized by the operation embeddings in the sequence across the plurality of devices; and scheduling the machine learning model for processing by the multiple hardware devices by placing the operations on the multiple devices according to the placement defined by the network output.",G06N 3/10; G06N 3/08; G06N 3/04,GOOGLE LLC,"BENGIO, Samuel; NOROUZI, Mohammad; STEINER, Benoit; DEAN, Jeffrey Adgate; PHAM, Hieu Hy; MIRHOSEINI, Azalia; LE, Quoc V.; KUMAR, Naveen; ZHOU, Yuefeng; LARSEN, Rasmus Munk","62/476,618 24.03.2017 US",KR-1020197026115; EP-2018716863; JP-2019552038; CN-201880011282.1
WO2019099805,PCT/US2018/061487,16.11.2018,WO/2019/099805,23.05.2019,WO,MACHINE-LEANING MODELS BASED ON NON-LOCAL NEURAL NETWORKS,"In one embodiment, a method includes training a baseline machine-learning model based on a neural network comprising a plurality of stages, wherein each stage comprises a plurality of neural blocks, accessing a plurality of training samples comprising: a plurality of content objects, respectively, determining one or more non-local operations, wherein each non-local operation is based on one or more pairwise functions and one or more unary functions, generating one or more non-local blocks based, on the plurality of training samples and the one or more non-local operations, determining a stage from the plurality of stages of the neural network, and training a non-local machine-learning model by inserting each of the one or more non-local blocks in between at least two of the plurality of neural blocks in the determined stage of the neural network.",G06N 3/08; G06N 3/04,"FACEBOOK, INC.","HE, Kaiming; GIRSHICK, Ross; WANG, Xiaolong","62/587,884 17.11.2017 US; 16/192,649 15.11.2018 US",
EP291472780,18207992,23.11.2018,3627398,25.03.2020,EP,"METHOD, SYSTEM, AND COMPUTER PROGRAM FOR ARTIFICIAL INTELLIGENCE ANSWER",Provided is an artificial intelligence (Al) answering system including a user question receiver configured to receive a user question from a user terminal; a first question extender configured to generate a question template by analyzing the user question and determine whether the user question and the generated question template match; a second question extender configured to generate a similar question template by using a natural language processing and a deep learning model when the user question and the generated question template do not match; a training data builder configured to generate training data for training the second question extender by using an neural machine translation (NMT) engine; and a question answering unit configured to transmit a user question result derived through the first question extender or the second question extender to the user terminal.,G06N 3/04; G06N 3/08; G06N 5/04,42 MARU INC,KIM DONG HWAN,20180112488 19.09.2018 KR,
WO2020006495,PCT/US2019/039955,28.06.2019,WO/2020/006495,02.01.2020,WO,DEEP LEARNING-BASED DIAGNOSIS AND REFERRAL OF DISEASES AND DISORDERS USING NATURAL LANGUAGE PROCESSING,Disclosed herein are methods and systems for Artificial Intelligence (AI)-based methods for performing medical diagnosis of diseases and conditions. An automated natural language processing (NLP) system performs deep learning techniques to extract clinically relevant information from electronic health records (EHRs). This framework provides a high diagnostic accuracy that demonstrates a successful AI-based method for systematic disease diagnosis and management.,G06F 17/28; G16H 50/70,AI TECHNOLOGIES INC.; THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,"ZHANG, Kang; LI, Zhihuan; ZHENG, Lianghong","62/692,572 29.06.2018 US; 62/749,612 23.10.2018 US; 62/783,962 21.12.2018 US",
WO2018213841,PCT/US2018/033734,21.05.2018,WO/2018/213841,22.11.2018,WO,MULTI-TASK MULTI-MODAL MACHINE LEARNING MODEL,"Methods, systems, and apparatus, including computer programs encoded on computer storage media for training a machine learning model to perform multiple machine learning tasks from multiple machine learning domains. One system includes a machine learning model that includes multiple input modality neural networks corresponding to respective different modalities and being configured to map received data inputs of the corresponding modality to mapped data inputs from a unified representation space; an encoder neural network configured to process mapped data inputs from the unified representation space to generate respective encoder data outputs; a decoder neural network configured to process encoder data outputs to generate respective decoder data outputs from the unified representation space; and multiple output modality neural networks corresponding to respective different modalities and being configured to map decoder data outputs to data outputs of the corresponding modality.",G06N 3/04; G06N 3/08,GOOGLE LLC,"SHAZEER, Noam M.; GOMEZ, Aidan Nicholas; KAISER, Lukasz Mieczyslaw; USZKOREIT, Jakob D.; JONES, Llion Owen; PARMAR, Niki J.; VASWANI, Ashish Teku","62/509,016 19.05.2017 US",CN-201880028587.3; EP-2018737050
WO2019118455,PCT/US2018/064944,11.12.2018,WO/2019/118455,20.06.2019,WO,SYSTEM AND METHOD FOR THE DETECTION AND REPORTING OF OCCUPATIONAL SAFETY INCIDENTS,"A system and a method for the detection and reporting of occupational safety incidents are disclosed. The system receives a set of digital records corresponding to reported occupational safety incidents. The system converts each of the digital records from the set of digital records into a common digital format. The system deconstructs the uniform text structure of each digital recorded by a natural language processing module to lemmatize words, remove punctuation, and remove stop words. The system creates a feature vector based on the received deconstructed uniform text structure. The system inputs each feature vector to an ensemble machine learning data model, returning a determination of a possible class or characteristic of occupational safety incident. The system applies a threshold based on a probability to the determination of a possible class. The system submits a subset of the reported occupational safety incidents to a third party system.",G06F 17/20; G06F 17/21; G06F 17/27; G06F 17/28; G06N 20/20,"WALMART APOLLO, LLC","FERGUSON, David; BEYENE, Saba; TALLURI, Srinivas; DAVIS, Christopher","62/596,991 11.12.2017 US",
WO2019018332,PCT/US2018/042377,17.07.2018,WO/2019/018332,24.01.2019,WO,HIERARCHICAL DEVICE PLACEMENT WITH REINFORCEMENT LEARNING,"A method for determining a placement for machine learning model operations across multiple hardware devices includes receiving data specifying machine learning operations, and determining a placement that assigns each of the operations specified by the data to a respective device from the multiple hardware devices. Determining the placement includes: generating, from the data, a respective operation embedding for each of the operations; grouping the operations into multiple operation groups, comprising processing each of the respective operation embeddings using a grouper neural network having multiple grouper parameters, in which the grouper neural network is configured to, for each of the operations, process the operation embedding for the operation in accordance with first values of the grouper parameters to generate a grouper output that assigns the operation to an operation group from the multiple operation groups; and assigning each of the operation groups to a respective device from the multiple hardware devices.",G06N 3/04; G06N 3/08; G06F 9/50,GOOGLE LLC,"STEINER, Benoit; GOLDIE, Anna Darling; DEAN, Jeffrey Adgate; PHAM, Hieu Hy; MIRHOSEINI, Azalia; LE, Quoc V.","62/535,790 21.07.2017 US",CN-201880022767.0; EP-2018749968
WO2018093926,PCT/US2017/061839,15.11.2017,WO/2018/093926,24.05.2018,WO,SEMI-SUPERVISED TRAINING OF NEURAL NETWORKS,"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for training a neural network. One of the methods includes obtaining a batch of labeled training items and a batch of unlabeled training items; processing the labeled training items and the unlabeled training items using the neural network and in accordance with current values of the network parameters to generate respective embeddings; determining a plurality of similarity values, each similarity value measuring a similarity between the embedding for a respective labeled training item and the embedding for a respective unlabeled training item; determining a respective roundtrip path probability for each of a plurality of roundtrip paths; and performing an iteration of a neural network training procedure to determine a first value update to the current values of the network parameters that decreases roundtrip path probabilities for incorrect roundtrip paths.",G06N 3/08; G06N 3/04,GOOGLE LLC,"HAEUSSER, Philip; MORDVINTSEV, Alexander","62/422,550 15.11.2016 US",CN-201780070359.8
WO2018098442,PCT/US2017/063301,27.11.2017,WO/2018/098442,31.05.2018,WO,GENERATING STRUCTURED TEXT CONTENT USING SPEECH RECOGNITION MODELS,"Methods, systems, and apparatus, including computer programs encoded on computer storage media, to generate structured text content using speech recognition models, based on an input acoustic sequence representing one or more utterances. One method includes obtaining an input acoustic sequence, the input acoustic sequence representing one or more utterances; processing the input acoustic sequence using a speech recognition model to generate a transcription of the input acoustic sequence, wherein the speech recognition model comprises a domain-specific language model; and providing the generated transcription of the input acoustic sequence as input to a domain-specific predictive model to generate structured text content that is derived from the transcription of the input acoustic sequence.",G10L 15/26; G10L 15/18; G06F 17/24; G06F 17/28,GOOGLE LLC,"CO, Christopher S.; JAITLY, Navdeep; PENG, Lily Hao Yi; CHOU, Katherine Irene; SANKAR, Ananth","15/362,643 28.11.2016 US",CN-201780073503.3; EP-2017811802
WO2019022779,PCT/US2017/049300,30.08.2017,WO/2019/022779,31.01.2019,WO,SYSTEM AND METHOD FOR PREDICTING AND SUMMARIZING MEDICAL EVENTS FROM ELECTRONIC HEALTH RECORDS,"A system for predicting and summarizing medical events from electronic health records includes a computer memory storing aggregated electronic health records from a multitude of patients of diverse age, health conditions, and demographics including medications, laboratory values, diagnoses, vital signs, and medical notes. The aggregated electronic health records are converted into a single standardized data structure format and ordered arrangement per patient, e.g., into a chronological order. A computer (or computer system) executes one or more deep learning models trained on the aggregated health records to predict one or more future clinical events and summarize pertinent past medical events related to the predicted events on an input electronic health record of a patient having the standardized data structure format and ordered into a chronological order. An electronic device configured with a healthcare provider-facing interface displays the predicted one or more future clinical events and the pertinent past medical events of the patient.",A61B 5/00; G06F 19/00; H04L 29/08,GOOGLE LLC,"CHEN, Kai; SUNDBERG, Patrik; MOSSIN, Alexander; HAJAJ, Nissan; LITSCH, Kurt; WEXLER, James; ZHANG, Yi; ZHANG, Kun; MARCUS, Jacob; OREN, Eyal; YEE, Hector; DEAN, Jeffrey; HARDT, Michaela; IRVINE, Benjamin; WILSON, James; DAI, Andrew; LIU, Peter; SUN, Xiaomi; LE, Quoc; LIU, Xiaobing; RAJKOMAR, Alvin; CORRADO, Gregory; FLORES, Gerardo; CUI, Yingwei; DUGGAN, Gavin","62/538,112 28.07.2017 US",KR-1020197035368; EP-2017919282; CN-201780091414.1
WO2020046807,PCT/US2019/048125,26.08.2019,WO/2020/046807,05.03.2020,WO,CROSS-LINGUAL CLASSIFICATION USING MULTILINGUAL NEURAL MACHINE TRANSLATION,"Training and/or using a multilingual classification neural network model to perform a natural language processing classification task, where the model reuses an encoder portion of a multilingual neural machine translation model. In a variety of implementations, a client device can generate a natural language data stream from a spoken input from a user. The natural language data stream can be applied as input to an encoder portion of the multilingual classification model. The output generated by the encoder portion can be applied as input to a classifier portion of the multilingual classification model. The classifier portion can generate a predicted classification label of the natural language data stream. In many implementations, an output can be generated based on the predicted classification label, and a client device can present the output.",G06N 3/04; G06N 3/08; G06F 17/28,GOOGLE LLC,"JOHNSON PREMKUMAR, Melvin Jose; ERIGUCHI, Akiko; FIRAT, Orhan","62/725,245 30.08.2018 US",
WO2019098573,PCT/KR2018/013061,31.10.2018,WO/2019/098573,23.05.2019,WO,ELECTRONIC DEVICE AND METHOD FOR CHANGING CHATBOT,"An artificial intelligence (AI) system which utilizes machine learning algorithm such as deep learning and application is provided. The artificial intelligence (AI) system includes a controlling method of an electronic device for determining a chatbot using an artificial intelligence learning model includes receiving a voice uttered by a user, processing the voice and acquiring text information corresponding to the voice, and displaying the text information on a chat screen, determining a chatbot for providing a response message regarding the voice by inputting the acquired text information and chat history information regarding the chat screen to a model which is trained to determine the chatbot by inputting text information and chat history information, transmitting the acquired text information and the chat history information regarding the chat screen to a server for providing the determined chatbot, and receiving a response message from the server and displaying the response message on the chat screen.",G06Q 50/30; G06N 99/00,"SAMSUNG ELECTRONICS CO., LTD.","YUN, Ji Hwan; RYU, Won Ho; CHOI, Won Jong",10-2017-0154939 20.11.2017 KR,EP-2018879732
WO2019033381,PCT/CN2017/097979,18.08.2017,WO/2019/033381,21.02.2019,WO,EFFICIENT NEURAL NETWORKS WITH ELABORATE MATRIX STRUCTURES IN MACHINE LEARNING ENVIRONMENTS,"A mechanism is described for facilitating efficient neural networks with elaborate matrix structures in machine learning environments. A method of embodiments, as described herein, includes facilitating selection of one or more paths associated with one or more matrix structures for a neural network associated with deep learning processes performed by a processor of a computing device. The method further includes training the neural network based on the one or more paths and the corresponding one or more matrix structure to facilitate customization of the deep learning processes.",G06N 3/02; G06N 3/08,"INTEL CORPORATION; CHEN, Yurong; LI, Jianguo; NI, Renkun","CHEN, Yurong; LI, Jianguo; NI, Renkun",,
WO2018153806,PCT/EP2018/054000,19.02.2018,WO/2018/153806,30.08.2018,WO,TRAINING MACHINE LEARNING MODELS,"Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for training a machine learning model. In one aspect, a method includes receiving training data for training the machine learning model on a plurality of tasks, where each task includes multiple batches of training data. A task is selected in accordance with a current task selection policy. A batch of training data is selected from the selected task. The machine learning model is trained on the selected batch of training data to determine updated values of the model parameters. A learning progress measure that represents a progress of the training of the machine learning model as a result of training the machine learning model on the selected batch of training data is determined. The current task selection policy is updated using the learning progress measure.",G06N 3/08; G06N 3/04,DEEPMIND TECHNOLOGIES LIMITED,"GENDRON-BELLEMARE, Marc; MENICK, Jacob Lee; GRAVES, Alexander Benjamin; KAVUKCUOGLU, Koray; MUNOS, Remi","62/463,540 24.02.2017 US",CN-201880013612.0; EP-2018705928
WO2018191344,PCT/US2018/027040,11.04.2018,WO/2018/191344,18.10.2018,WO,NEURAL MACHINE TRANSLATION WITH LATENT TREE ATTENTION,"We introduce an attentional neural machine translation model for the task of machine translation that accomplishes the longstanding goal of natural language processing to take advantage of the hierarchical structure of language without a priori annotation. The model comprises a recurrent neural network grammar (RNNG) encoder with a novel attentional RNNG decoder and applies policy gradient reinforcement learning to induce unsupervised tree structures on both the source sequence and target sequence. When trained on character-level datasets with no explicit segmentation or parse annotation, the model learns a plausible segmentation and shallow parse, obtaining performance close to an attentional baseline.",G06N 3/04,"SALESFORCE.COM, INC.","BRADBURY, James","62/485,856 14.04.2017 US; 15/901,722 21.02.2018 US",CN-201880024708.7; EP-2018720934; JP-2019555607
WO2018085577,PCT/US2017/059776,02.11.2017,WO/2018/085577,11.05.2018,WO,IMPLICIT BRIDGING OF MACHINE LEARNING TASKS,"Methods, systems, and apparatus, including computer programs encoded on computer storage media for performing machine learning tasks. One method includes receiving (i) a model input, and (ii) data identifying a first machine learning task to be performed on the model input to generate a first type of model output for the model input; augmenting the model input with an identifier for the first machine learning task to generate an augmented model input; and processing the augmented model input using a machine learning model. An exemplary system applying implicit bridging for machine learning tasks, as described in this specification, trains a machine learning model to perform certain types of machine learning tasks without requiring that explicit training data for the certain types of machine learning tasks to be used during training.",G06N 3/04; G06F 17/28; G06N 3/063,GOOGLE LLC,"CHEN, Zhifeng; SCHUSTER, Michael; JOHNSON PREMKUMAR, Melvin Jose; WU, Yonghui; LE, Quoc V.; KRIKUN, Maxim; BRANTS, Thorsten","62/418,098 04.11.2016 US; 15/394,708 29.12.2016 US",KR-1020197015572; EP-2017800671; JP-2019522923; CN-201780068195.5
WO2019040173,PCT/US2018/038683,21.06.2018,WO/2019/040173,28.02.2019,WO,COMPRESSION OF WORD EMBEDDINGS FOR NATURAL LANGUAGE PROCESSING SYSTEMS,"Described herein are systems and methods that provide a natural language processing system (NLPS) that employs compressed word embeddings. An auto-encoder that includes encoder circuitry and decoder circuitry can be used to produce the compressed word embeddings. The decoder circuitry is trained to decompress the word embeddings with reduced or minimal differences between the original uncompressed word embeddings and the corresponding decompressed word embeddings. One or more parameters of the trained decoder circuitry are transferred to the NLPS, where the NLPS is then trained using the compressed word embeddings to improve the correctness of the responses or actions determined by the NLPS.",G06F 17/27; G06N 5/00; G06K 9/00; G10L 15/00,"MICROSOFT TECHNOLOGY LICENSING, LLC","LIN, Xihui; MCNAMARA, Andrew James; SULEMAN, Kaheer","15/685,929 24.08.2017 US",
