Time:,21.04.2020 00:24:13,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AIfunctionalapplicationsNaturalLanguageProcessingMorphology,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
EP291472780,18207992,23.11.2018,3627398,25.03.2020,EP,"METHOD, SYSTEM, AND COMPUTER PROGRAM FOR ARTIFICIAL INTELLIGENCE ANSWER",Provided is an artificial intelligence (Al) answering system including a user question receiver configured to receive a user question from a user terminal; a first question extender configured to generate a question template by analyzing the user question and determine whether the user question and the generated question template match; a second question extender configured to generate a similar question template by using a natural language processing and a deep learning model when the user question and the generated question template do not match; a training data builder configured to generate training data for training the second question extender by using an neural machine translation (NMT) engine; and a question answering unit configured to transmit a user question result derived through the first question extender or the second question extender to the user terminal.,G06N 3/04; G06N 3/08; G06N 5/04,42 MARU INC,KIM DONG HWAN,20180112488 19.09.2018 KR,
EP232545764,18167469,16.04.2018,3396592,31.10.2018,EP,"IMAGE ANALYSIS METHOD, APPARATUS, AND PROGRAM, AND METHOD OF PRODUCING DEEP LEARNING ALGORITHM",An image analysis method according one or more embodiments may analyze a form of a cell using a deep learning algorithm with a structure of a neural network. The image analysis method may include: generating data for analysis from an image for analysis in which an analysis target cell is captured; inputting the data for analysis into the deep learning algorithm; and generating data indicating a form of the analysis target cell using the deep learning algorithm.,G06K 9/00,SYSMEX CORP,SASAGAWA YOSHINORI; MIYAMOTO YOSHIAKI; HAKAMADA KAZUMI; GOTOH KENGO; SEKIGUCHI YOSUKE,2017088743 27.04.2017 JP,
WO2020014477,PCT/US2019/041395,11.07.2019,WO/2020/014477,16.01.2020,WO,"METHODS, SYSTEMS, AND COMPUTER READABLE MEDIA FOR IMAGE ANALYSIS WITH DEEP LEARNING TO PREDICT BREAST CANCER CLASSES","A method for image analysis using deep learning to predict breast cancer classes, includes receiving a test image. The method further includes generating test image instances from the test image. The method further includes inputting the test image instances into a convolutional neural network (CNN), which extracts features from each of the test image instances. The method further includes applying an instance support vector machine (SVM) to the features to predict breast cancer classes for each of the instances. The method further includes aggregating outputs from the instance SVM to predict breast cancer classes for the test image.",G16H 50/70; G16H 50/20; G16H 30/40; A61B 5/00,THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL; CITY OF HOPE,"PEROU, Charles, Maurice; COUTURE, Heather Dunlop; WILLIAMS, Lindsay Almquist; NYANTE, Sarah; MARRON, James Stephen; TROESTER, Melissa; NIETHAMMER, Marc; GERADTS, Joseph; BUTLER, Ebonee","62/696,464 11.07.2018 US; 62/757,746 08.11.2018 US",
EP14820148,07103560,06.03.2007,1843324,10.10.2007,EP,Speech signal pre-processing system and method of extracting characteristic information of speech signal,"A speech signal pre-processing system and a method of extracting characteristic information of a speech signal. To do this, it is determined whether characteristic information of an input speech signal is extracted using harmonic peaks. According to the determination result, a speech signal frame or characteristic frequency regions derived according to a morphological analysis result is (are) input to a speech signal characteristic information extractor for extracting speech signal characteristic information requested by a speech signal processing system in a next stage. The speech signal characteristic information extractor selected by a controller receives the speech signal frame or the characteristic frequency regions derived according to a morphological analysis result and extracts the speech signal characteristic information requested by the speech signal processing system.",G10L 25/30; G10L 25/93,SAMSUNG ELECTRONICS CO LTD,KIM HYUN-SOO,20060031144 05.04.2006 KR,
WO1997040453,PCT/US1996/010283,14.06.1996,WO/1997/040453,30.10.1997,WO,AUTOMATED NATURAL LANGUAGE PROCESSING,An automated natural language translation system takes source natural language text (preferably in Japanese) and translates them into a target natural language (preferably English). The system also allows an operator to re-translate automatically selected portions of the source text. The system includes an improvement directed to transforming kanas in the source text into alphabetic letters of the target language which allows the presence of a word or phrase boundary to be recognized in the middle of a kana. The system also includes an improvement involving performing concurrently on the source text both a morphological analysis and a syntactic analysis.,G06F 17/28,"LANGUAGE ENGINEERING CORPORATION; AKERS, Glenn, A.; KUNO, Susumu","AKERS, Glenn, A.; KUNO, Susumu",PCT/US96/05567 23.04.1996 US,US-09171185
