Time:,21.04.2020 00:26:58,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AIfunctionalapplicationsNaturalLanguageProcessingNaturalLanguageGeneration,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2019099805,PCT/US2018/061487,16.11.2018,WO/2019/099805,23.05.2019,WO,MACHINE-LEANING MODELS BASED ON NON-LOCAL NEURAL NETWORKS,"In one embodiment, a method includes training a baseline machine-learning model based on a neural network comprising a plurality of stages, wherein each stage comprises a plurality of neural blocks, accessing a plurality of training samples comprising: a plurality of content objects, respectively, determining one or more non-local operations, wherein each non-local operation is based on one or more pairwise functions and one or more unary functions, generating one or more non-local blocks based, on the plurality of training samples and the one or more non-local operations, determining a stage from the plurality of stages of the neural network, and training a non-local machine-learning model by inserting each of the one or more non-local blocks in between at least two of the plurality of neural blocks in the determined stage of the neural network.",G06N 3/08; G06N 3/04,"FACEBOOK, INC.","HE, Kaiming; GIRSHICK, Ross; WANG, Xiaolong","62/587,884 17.11.2017 US; 16/192,649 15.11.2018 US",
WO2020060151,PCT/KR2019/011991,17.09.2019,WO/2020/060151,26.03.2020,WO,SYSTEM AND METHOD FOR PROVIDING VOICE ASSISTANT SERVICE,"Provided are an artificial intelligence (AI) system that utilizes a machine learning algorithm such as deep learning, etc., and an application of the AI system. A method performed by a device for providing a voice assistant service through a voice assistant program includes: receiving, from an external device, a character specialized model for the voice assistant program; receiving a user voice input including a request for a response of the voice assistant program and a word indicating a character; determining the character specialized model according to the word indicating the character.",G10L 21/003; G10L 15/14; G06F 16/60; G10L 13/033; G10L 21/013,"SAMSUNG ELECTRONICS CO., LTD.","HWANG, Inchul; KANG, Dohee; KIM, Seungyoun; MA, Dongchul; PARK, Minkyu; YI, Daegeun; CHA, Dohun",10-2018-0112378 19.09.2018 KR; 10-2019-0062589 28.05.2019 KR,
WO2019040173,PCT/US2018/038683,21.06.2018,WO/2019/040173,28.02.2019,WO,COMPRESSION OF WORD EMBEDDINGS FOR NATURAL LANGUAGE PROCESSING SYSTEMS,"Described herein are systems and methods that provide a natural language processing system (NLPS) that employs compressed word embeddings. An auto-encoder that includes encoder circuitry and decoder circuitry can be used to produce the compressed word embeddings. The decoder circuitry is trained to decompress the word embeddings with reduced or minimal differences between the original uncompressed word embeddings and the corresponding decompressed word embeddings. One or more parameters of the trained decoder circuitry are transferred to the NLPS, where the NLPS is then trained using the compressed word embeddings to improve the correctness of the responses or actions determined by the NLPS.",G06F 17/27; G06N 5/00; G06K 9/00; G10L 15/00,"MICROSOFT TECHNOLOGY LICENSING, LLC","LIN, Xihui; MCNAMARA, Andrew James; SULEMAN, Kaheer","15/685,929 24.08.2017 US",
WO2019113648,PCT/AU2018/051340,14.12.2018,WO/2019/113648,20.06.2019,WO,"USER CUSTOMISED SEARCH ENGINE USING MACHINE LEARNING, NATURAL LANGUAGE PROCESSING AND READABILITY ANALYSIS","A computer implemented method, computerised system and computer readable recording medium are disclosed. In one aspect, the computer implemented method comprises steps of: generating an index of electronic objects, comprising steps of: performing, upon each electronic object, natural language processing, using a natural language processor, and readability analysis, using a readability analyser, to generate natural language processing data and a readability score for the respective object; and storing in the index, for each electronic object, electronic object data indicative of the electronic object and associated meta-data indicative of the natural language processing data and the readability score; receiving, from a user operating a user processing system, a request to perform a search of the index, wherein the request has associated therewith input data; performing, upon the input data, natural language processing, using the natural language processor to generate natural language processing data and a readability range for the input data; searching, using a search engine, the index based upon the readability range and the natural language processing data for the input data, to determine a plurality of correlated electronic objects; generating, using a ranking engine, a ranked list of the plurality of correlated electronic objects based on a correlation level for each of the plurality of electronic objects and a machine learned rating generated by a machine learned rating prediction system trained according to a profile associated with the user, the profile being indicative of natural language processing data generated, by the natural language processor, based on previous search requests received from the user and performed by the search engine; and transferring, to the user processing system, search results indicative of at least a portion of the ranked list of the plurality of correlated electronic objects.",G06F 16/332; G06F 16/33; G06F 16/9032; G06F 17/27,INQUISITIVE PTY LIMITED,"POWER, Timothy; TOMES, Luke; LANE, Mitchell",2017905009 14.12.2017 AU,
EP291472897,19197962,18.09.2019,3627502,25.03.2020,EP,SYSTEM AND METHOD FOR PROVIDING VOICE ASSISTANT SERVICE,"Provided are an artificial intelligence (Al) system that utilizes a machine learning algorithm such as deep learning, etc., and an application of the Al system. A method performed by a device for providing a voice assistant service through a voice assistant program includes: receiving, from an external device, a character specialized model for the voice assistant program; receiving a user voice input including a request for a response of the voice assistant program and a word indicating a character; determining the character specialized model according to the word indicating the character; generating a response message to the request for the response of the voice assistant program, using the character specialized model; and outputting the generated response message.",G10L 15/22,SAMSUNG ELECTRONICS CO LTD,HWANG INCHUL; KANG DOHEE; KIM SEUNGYOUN; MA DONGCHUL; PARK MINKYU; YI DAEGEUN; CHA DOHUN,20180112378 19.09.2018 KR; 20190062589 28.05.2019 KR,
