Time:,21.04.2020 00:30:14,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AIfunctionalapplicationsNaturalLanguageProcessingNaturalLanguageProcessingGeneral,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2019028279,PCT/US2018/045051,02.08.2018,WO/2019/028279,07.02.2019,WO,METHODS AND SYSTEMS FOR OPTIMIZING ENGINE SELECTION USING MACHINE LEARNING MODELING,"A system for optimizing selection of transcription engines using a combination of selected machine learning models. The system includes a plurality of preprocessors that generate a plurality of features from a media data set. The system further includes a deep learning neural network model, a gradient boosted machine model and a random forest model used in generating a ranked list of transcription engines. A transcription engine is selected from the ranked list of transcription engines to generate a transcript for the media dataset.",G06N 99/00; G06N 3/04; G06N 5/00; G10L 25/24,"VERITONE, INC.","STEELBERG, Chad; NGUYEN, Peter; RATHS, Cornelius; RIVKIN, Steven N.","62/540,508 02.08.2017 US; 62/633,023 20.02.2018 US; 62/638,745 05.03.2018 US",
WO2019118455,PCT/US2018/064944,11.12.2018,WO/2019/118455,20.06.2019,WO,SYSTEM AND METHOD FOR THE DETECTION AND REPORTING OF OCCUPATIONAL SAFETY INCIDENTS,"A system and a method for the detection and reporting of occupational safety incidents are disclosed. The system receives a set of digital records corresponding to reported occupational safety incidents. The system converts each of the digital records from the set of digital records into a common digital format. The system deconstructs the uniform text structure of each digital recorded by a natural language processing module to lemmatize words, remove punctuation, and remove stop words. The system creates a feature vector based on the received deconstructed uniform text structure. The system inputs each feature vector to an ensemble machine learning data model, returning a determination of a possible class or characteristic of occupational safety incident. The system applies a threshold based on a probability to the determination of a possible class. The system submits a subset of the reported occupational safety incidents to a third party system.",G06F 17/20; G06F 17/21; G06F 17/27; G06F 17/28; G06N 20/20,"WALMART APOLLO, LLC","FERGUSON, David; BEYENE, Saba; TALLURI, Srinivas; DAVIS, Christopher","62/596,991 11.12.2017 US",
EP239447873,17190976,13.09.2017,3457332,20.03.2019,EP,NATURAL LANGUAGE PROCESSING,"A system for natural language processing is disclosed. The system comprises a pattern-matching stage (22) that is operative to receive NLP data (10) that encodes natural language and to test the NLP data against a set of patterns to generate a set of injection data that includes IDs belonging to matching patterns. In addition, it comprises a neural network stage (14) that has: an input layer (36) operative to receive the NLP data and the injection data; an output layer (46); and a plurality of hidden layers (42) operative to receive and process data from the input layer and deliver it to the output layer. It has been found that the two systems when used in combination provide high-quality of categorisation without the need for such extensive training data as would be required by a system that operates using a neural network only.",G06N 3/04; G06F 17/27,CREATIVE VIRTUAL LTD,VOSS OLAF,17190976 13.09.2017 EP,
WO2020006495,PCT/US2019/039955,28.06.2019,WO/2020/006495,02.01.2020,WO,DEEP LEARNING-BASED DIAGNOSIS AND REFERRAL OF DISEASES AND DISORDERS USING NATURAL LANGUAGE PROCESSING,Disclosed herein are methods and systems for Artificial Intelligence (AI)-based methods for performing medical diagnosis of diseases and conditions. An automated natural language processing (NLP) system performs deep learning techniques to extract clinically relevant information from electronic health records (EHRs). This framework provides a high diagnostic accuracy that demonstrates a successful AI-based method for systematic disease diagnosis and management.,G06F 17/28; G16H 50/70,AI TECHNOLOGIES INC.; THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,"ZHANG, Kang; LI, Zhihuan; ZHENG, Lianghong","62/692,572 29.06.2018 US; 62/749,612 23.10.2018 US; 62/783,962 21.12.2018 US",
WO2019036127,PCT/US2018/041068,06.07.2018,WO/2019/036127,21.02.2019,WO,FRAMEWORK FOR RAPID ADDITIVE DESIGN WITH GENERATIVE TECHNIQUES,"According to some embodiments, a system may include a design experience data store containing electronic records associated with prior industrial asset item designs. A deep learning model platform, coupled to the design experience data store, may include a communication port to receive constraint and load information from a designer device. The deep learning platform may further include a computer processor adapted to automatically and generatively create boundaries and geometries, using a deep learning model associated with an additive manufacturing process, for an industrial asset item based on the prior industrial asset item designs and the received constraint and load information. According to some embodiments, the deep learning model computer processor is further to receive design adjustments from the designer device. The received design adjustments might be for example, used to execute an optimization process and/or be fed back to continually re-train the deep learning model.",G06N 3/08; B29C 64/386; B33Y 50/00,GENERAL ELECTRIC COMPANY,"SUBRAMANIYAN, Arun Karthi; BARUA, Ananda; ERNO, Daniel","15/678,653 16.08.2017 US",EP-2018846975
WO2018017467,PCT/US2017/042356,17.07.2017,WO/2018/017467,25.01.2018,WO,"DISTRIBUTED MACHINE LEARNING SYSTEMS, APPARATUS, AND METHODS","A distributed, online machine learning system is presented. Contemplated systems include many private data servers, each having local private data. Researchers can request that relevant private data servers train implementations of machine learning algorithms on their local private data without requiring de-identification of the private data or without exposing the private data to unauthorized computing systems. The private data servers also generate synthetic or proxy data according to the data distributions of the actual data. The servers then use the proxy data to train proxy models. When the proxy models are sufficiently similar to the trained actual models, the proxy data, proxy model parameters, or other learned knowledge can be transmitted to one or more non-private computing devices. The learned knowledge from many private data servers can then be aggregated into one or more trained global models without exposing private data.",G06N 99/00; G06N 5/04,"NANTOMICS, LLC; NANT HOLDINGS IP, LLC","SZETO, Christopher; BENZ, Stephen, Charles; WITCHEY, Nicholas, J.","62/363,697 18.07.2016 US",EP-2017831625; SG-11201900220R; KR-1020197004647; MX-MX/a/2019/000713; AU-2017300259; IL-264281; CA-3031067; JP-2019502045; CN-201780056525.9
WO2019006115,PCT/US2018/039997,28.06.2018,WO/2019/006115,03.01.2019,WO,SYSTEMS AND METHODS FOR EXTRACTING FUNDER INFORMATION FROM TEXT,"Systems and methods of extracting funding information from text are disclosed herein. The method includes receiving a text document, extracting paragraphs from the text document using a natural language processing model or a machine learning model, and classifying, using a machine learning classifier, the paragraphs as having funding information or not having funding information. The method further includes labeling, using a first annotator, potential entities within the paragraphs classified as having funding information, and labeling, using a second annotator, potential entities within the paragraphs classified as having funding information, where the first annotator implements a first named-entity recognition model and the second annotator implements a second named-entity recognition model that is different from the first named-entity recognition model. The method further includes extracting the potential entities from the paragraphs classified as having funding information and determining, using an ensemble mechanism, funding information from the potential entities.",G06K 9/00; G06K 9/46; G06N 99/00,"ELSEVIER, INC.","GREGORY, Michelle; KAYAL, Subhradeep; TSATSARONIS, Georgios; AFZAL, Zubair","16/020,408 27.06.2018 US; 62/527,435 30.06.2017 US",
WO2019113122,PCT/US2018/063928,04.12.2018,WO/2019/113122,13.06.2019,WO,SYSTEMS AND METHODS FOR IMPROVED MACHINE LEARNING FOR CONVERSATIONS,"Systems and methods for improvements in AI model learning and updating are provided. The model updating may reuse existing business conversations as the training data set. Features within the dataset may be defined and extracted. Models may be selected and parameters for the models defined. Within a distributed computing setting the parameters may be optimized, and the models deployed. The training data may be augmented over time to improve the models. Deep learning models may be employed to improve system accuracy, as can active learning techniques. The models developed and updated may be employed by a response system generally, or may function to enable specific types of AI systems. One such a system may be an AI assistant that is designed to take use cases and objectives, and execute tasks until the objectives are met. Another system capable of leveraging the models includes an automated question answering system utilizing approved answers. Yet another system for utilizing these various classification models is an intent based classification system for action determination. Lastly, it should be noted that any of the above systems may be further enhanced by enabling multiple language analysis.",G06F 15/18,"CONVERSICA, INC.","TERRY, George, Alexis; KOEPF, Werner; JONNALAGADDA, Siddhartha, Reddy; HARRIGER, James, D.; WEBB-PURKIS, William, Dominic; GAINOR, Macgregor, S.; FERGUSON, Collin, C.; SHANKAR, Ravi; SHANKAR, Shashi; MCCANN, Ian; GODFREY, Keith; LONG, Christopher, Allan; KAMINSKI, Brian, Matthew; SANSONE, John; KIRKLAND, Jennifer; GINSTROM, Ryan, Francis; BREDLOW, Caleb, Andrew; SARGENT, Kyle; FORDYCE, Alexander Carmelo, Reid","16/208,478 03.12.2018 US; 16/208,488 03.12.2018 US; 16/208,484 03.12.2018 US; 62/594,415 04.12.2017 US",
WO2020069517,PCT/US2019/053857,30.09.2019,WO/2020/069517,02.04.2020,WO,INTELLIGENT TRANSPORTATION SYSTEMS,"Transportation systems have artificial intelligence including neural networks for recognition and classification of objects and behavior including natural language processing and computer vision systems. The transportation systems involve sets of complex chemical processes, mechanical systems, and interactions with behaviors of operators. System-level interactions and behaviors are classified, predicted and optimized using neural networks and other artificial intelligence systems through selective deployment, as well as hybrids and combinations of the artificial intelligence systems, neural networks, expert systems, cognitive systems, genetic algorithms and deep learning.",B60W 30/14,"STRONG FORCE INTELLECTUAL CAPITAL, LLC","CELLA, Charles","62/739,335 30.09.2018 US",
