Time:,21.04.2020 00:31:35,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AIfunctionalapplicationsNaturalLanguageProcessingSemantics,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2020013760,PCT/SG2019/050324,29.06.2019,WO/2020/013760,16.01.2020,WO,ANNOTATION SYSTEM FOR A NEURAL NETWORK,An annotation system for a neural network and a method thereof are disclosed in the present application. The annotation system comprises a memory and a processor operatively coupled to the memory. The memory is configured for storing instructions to cause the process to receive information comprising a first set of unlabeled instances from at least one source; set a learning target of the information; select a second set of unlabeled instances from the first set of unlabeled instances by executing a software algorithm; and annotate the second set of unlabeled instances for generating labeled data. The software algorithm increases an efficiency of annotation in training neural networks for deep-learning-based video analysis by combining semi-supervised learning and transfer learning via a data augmentation method. The software algorithm can increase the efficiency of annotation by reducing an amount of annotation by an order of one magnitude.,G06N 3/08; G06N 3/02; G06F 17/24,XJERA LABS PTE. LTD.,"DING, Lu; ZHANG, JunWu; CHU, XinQi",10201805864P 07.07.2018 SG,SG-11201908315V
WO2017016063,PCT/CN2015/091009,29.09.2015,WO/2017/016063,02.02.2017,WO,"ANOMALY DETECTION APPARATUS, METHOD, AND COMPUTER PROGRAM USING A PROBABILISTIC LATENT SEMANTIC ANALYSIS","An anomaly detection apparatus, method, and computer program product are provided using a probabilistic latent semantic analysis (PLSA). In use, data is received, and a PLSA is performed, based on the data. Further, one or more anomalies are detected in the data, based on the PLSA. Still yet, information identifying the one or more anomalies is stored and/or displayed.",G06F 17/27,"HUAWEI TECHNOLOGIES CO., LTD.","GOPALAKRISHNAN, Nandu; HU, Yirui","14/811,750 28.07.2015 US",
WO2014126657,PCT/US2014/010576,08.01.2014,WO/2014/126657,21.08.2014,WO,LATENT SEMANTIC ANALYSIS FOR APPLICATION IN A QUESTION ANSWER SYSTEM,"A system and method that improves obtaining similarity measure between concepts based on Latent Semantic Analysis by taking onto account graph structure derived from the knowledge bases by using a vector propagation algorithm, in the context domain, such as a medical domain. Concepts contained in a corpus of documents are expressed in a graph wherein each node is a concept and edges between node express relation between concepts weighted by the number of semantic relations determined from the corpus. A vector of neighbors is created and assigned to each concept, thereby providing an improved similarity measure between documents, i.e., corpus and query against corpus.",G06F 19/12,INTERNATIONAL BUSINESS MACHINES CORPORATION,"GLIOZZO, Alfio M.","13/765,323 12.02.2013 US",
WO2015160544,PCT/US2015/024417,06.04.2015,WO/2015/160544,22.10.2015,WO,CONTEXT-SENSITIVE SEARCH USING A DEEP LEARNING MODEL,"A search engine is described herein for providing search results based on a context in which a query has been submitted, as expressed by context information. The search engine operates by ranking a plurality of documents based on a consideration of the query, and based, in part, on a context concept vector and a plurality of document concept vectors, both generated using a deep learning model (such as a deep neural network). The context concept vector is formed by a projection of the context information into a semantic space using the deep learning model. Each document concept vector is formed by a projection of document information, associated with a particular document, into the same semantic space using the deep learning model. The ranking operates by favoring documents that are relevant to the context within the semantic space, and disfavoring documents that are not relevant to the context.",G06F 17/30,"MICROSOFT TECHNOLOGY LICENSING, LLC","GUO, Chenlei; GAO, Jianfeng; WANG, Ye-Yi; DENG, Li; HE, Xiaodong","14/252,703 14.04.2014 US",EP-2015719915
WO2018162945,PCT/IB2017/051276,05.03.2017,WO/2018/162945,13.09.2018,WO,INVESTMENT ANALYSIS USING EVENT DETECTION ON ALTERNATIVE DATA,"This research project represents a very unique way of performing investment analysis. The idea is to identify different types of market, financial, geo-political, social and economic events that could help identify the reasons behind speculations that lead to stock market fluctuations. The proposed framework is broken down into 3 phases. The first phase is responsible for data extraction from e-newspapers likes the economic times and business insider using information extraction techniques of web scraping, crawling and harvesting. It then involves knowledge representation and reasoning using methods like bag-of-words and TF-IDFs to store semantic data. The second phase is responsible for event detection using Topic Modeling algorithms like Latent Semantic Analysis (LSA) & Latent Dirichlet Allocation (LDA) and Entity Extraction and Chunking methods like Name Entity Recognition (NER). It then involves correlation and causation analytics to identify trends among events and stock markets by focusing on company portfolios. The third phase is real time visualization using interactive graphs that demonstrates the effects of trending events on stock markets.",G06Q 40/06; G06F 17/30,"SANYAL, Aniket","SANYAL, Aniket",PCT/IB2017/050317 05.03.2017 IB,
