Time:,21.04.2020 00:38:01,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AIfunctionalapplicationsPredictiveAnalytics,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2018089574,PCT/US2017/060766,09.11.2017,WO/2018/089574,17.05.2018,WO,PREDICTIVE ANALYTIC METHODS AND SYSTEMS,"Apparatus and associated methods relate to developing a predictive analytic model based on data records partitioned as a function of at least one relationship between parts and folds, assigning more than one part to test each fold, and assigning at least one part to test more than one fold; and evaluating the predictive analytic model based on more than one prediction determined for each observation in each test data record as a function of a predictive analytic model not trained on the test data record. In an illustrative example, the relationship between parts and folds may exclude some of the training data in common, with the same degree of overlap in the data between each pair of folds. Various examples may advantageously produce models built on each pair of folds having nearly equal pairwise-correlation of their predictions with models built on any other pair of folds.",G06F 17/10; G06K 9/62; G06F 15/18; G06N 99/00,"MINITAB, INC.","STEINBERG, Dan; CARDELL, Nicholas","62/421,215 11.11.2016 US",
WO2012011940,PCT/US2011/001250,16.07.2011,WO/2012/011940,26.01.2012,WO,GENERATING PREDICTIVE MODELS ON SUPPLEMENTAL WORKBOOK DATA,"A method and system that generate a predictive model on supplemental workbook data are disclosed. A computer is used to provide a spreadsheet environment comprising data. Supplemental data is defined and stored in a non- worksheet format in the spreadsheet environment. A predictive analytic is performed on the supplemental data. A scalable predictive model is generated in the non-worksheet format. In this way, a greater number of users can create successful predictive analysis projects by providing various tools to create simple and accurate predictive models without requiring extensive training or specific knowledge of the methodologies that are currently required.",G06E 1/00,"PREDIXION SOFTWARE, INC.; MACLENNAN, James, C.","MACLENNAN, James, C.; CRIVAT, Ioan, Bogdan","61/399,866 19.07.2010 US",
WO2018212711,PCT/SG2018/050234,15.05.2018,WO/2018/212711,22.11.2018,WO,PREDICTIVE ANALYSIS METHODS AND SYSTEMS,"Methods and systems for predictive analysis are disclosed, A predictive analysis method comprises: receiving a set of predictor variables as an input feature vector comprising a plurality of features; projecting each feature of the feature vector onto a dense vector representation to obtain a set of embedding vectors representing the input feature vector in an embedding space; converting the set of embedding vectors into a bi-interaction pooling vector that encodes second-order interactions between features of the feature vector in the embedding space; inputting the bi-interaction pooling vector into a hidden layer stack, the hidden layer stack comprising at least one hidden layer of neural network nodes; and transforming an output vector of the hidden layer stack into a prediction score.",G06N 3/02; G06F 15/18; G06N 7/00,NATIONAL UNIVERSITY OF SINGAPORE,"HE, Xiangnan; CHUA, Tat-Seng",10201704120Q 19.05.2017 SG,
WO2020014712,PCT/US2019/041892,15.07.2019,WO/2020/014712,16.01.2020,WO,DIGITAL ADVERTISING PLATFORM WITH DEMAND PATH OPTIMIZATION,A digital advertising system includes at least one processor configured to execute a plurality of functional modules including an analytics module to receive and analyze client attributes associated with a website visitor and a requested website to define an analytics event. The analytics module ingests and enriches data within the analytics event and provides it to a machine learning module that generates prediction models for potential bids. A management platform receives the bidding prediction and generates candidate configs. An optimization module receives the candidate configs and applies weights and additional features to select a config and generate an optimized script for the selected config. A deployment module receives the optimized script and delivers the script to the website visitor.,G05B 13/02; G06Q 30/02; G06Q 90/00,"PUBWISE, LLLP","JOHNSTON, Stephen F.","62/697,976 13.07.2018 US",
WO2018212710,PCT/SG2018/050233,15.05.2018,WO/2018/212710,22.11.2018,WO,PREDICTIVE ANALYSIS METHODS AND SYSTEMS,"Methods and systems for predictive analysis are disclosed, A predictive analysis method comprises: receiving a set of predictor variables as an input feature vector comprising a plurality of features; projecting each feature of the input feature vector onto a dense vector representation to obtain a set of embedding vectors presenting the input feature vector in an embedding space; calculating a set of interacted vectors, each interacted vector being an element-wise product of two embedding vectors of the set of embedding vectors; performing a weight sum over the interacted vectors, the weighted sum being weighted by a plurality of attention scores each corresponding to an interaction between a pair of features of the feature vector; and projecting the weighed sum to obtain a prediction score.",G06F 15/18; G06N 7/00; G06N 3/02,NATIONAL UNIVERSITY OF SINGAPORE,"HE, Xiangnan; ZHANG, Hanwang; CHUA, Tat-Seng",10201704115T 19.05.2017 SG,
WO2018005489,PCT/US2017/039499,27.06.2017,WO/2018/005489,04.01.2018,WO,DATA QUALITY DETECTION AND COMPENSATION FOR MACHINE LEARNING,"Apparatuses, systems, methods, and computer program products are disclosed for data quality detection and compensation for machine learning. A quality analysis module (202) electronically identifies one or more data quality issues in machine learning training data. A corrective action module (204) modifies training data by performing one or more corrective actions in response to one or more data quality issues. A predictive analytics module (206) creates a machine learning model that includes one or more learned functions based on modified training data.",G06F 3/048; G06F 15/18; G06F 17/00; G06F 17/50; G06N 5/04; G06N 99/00,"PUREPREDICTIVE, INC.","MAUGHAN, Jason; MCFALL, Timothy","62/355,233 27.06.2016 US",EP-2017821072
WO2019028279,PCT/US2018/045051,02.08.2018,WO/2019/028279,07.02.2019,WO,METHODS AND SYSTEMS FOR OPTIMIZING ENGINE SELECTION USING MACHINE LEARNING MODELING,"A system for optimizing selection of transcription engines using a combination of selected machine learning models. The system includes a plurality of preprocessors that generate a plurality of features from a media data set. The system further includes a deep learning neural network model, a gradient boosted machine model and a random forest model used in generating a ranked list of transcription engines. A transcription engine is selected from the ranked list of transcription engines to generate a transcript for the media dataset.",G06N 99/00; G06N 3/04; G06N 5/00; G10L 25/24,"VERITONE, INC.","STEELBERG, Chad; NGUYEN, Peter; RATHS, Cornelius; RIVKIN, Steven N.","62/540,508 02.08.2017 US; 62/633,023 20.02.2018 US; 62/638,745 05.03.2018 US",
WO2015106038,PCT/US2015/010703,08.01.2015,WO/2015/106038,16.07.2015,WO,A DATA CENTER INFRASTRUCTURE MANAGEMENT (DCIM) SYSTEM COMPRISING PREDICTIVE ANALYTICS,"A Data Center Infrastructure Management (DCIM) system comprising predictive analytics and methods for collecting data, analyzing data, optimizing infrastructure efficiency and automating management of data center infrastructure systems and components is disclosed. The DCIM system comprising predictive analytics may generally comprise a DCIM appliance or server, data collection hardware, database hardware, software for collecting data from a plurality of infrastructure systems, infrastructure components and wireless sensors, presentation client software, reporting software and an intelligent predictive analytics engine. The intelligent predictive analytics engine may be employed to identify infrastructure optimization actions enabling the DCIM system software or DCIM element controller to enact changes to the operational state of data center infrastructure systems or components to sustain optimal data center infrastructure efficiency. The DCIM system comprising predictive analytics may continuously collect and analyze infrastructure system, infrastructure components and environmental data.",G06F 7/02; G06F 9/06; G06F 9/44; G06N 7/06; F24F 3/048,"NAUTILUS DATA TECHNOLOGIES, INC.","KEKAI, Daniel Kawaa; MAGCALE, Arnold Castillo","61/925,531 09.01.2014 US; 14/591,572 07.01.2015 US",
WO2008033100,PCT/SG2007/000293,06.09.2007,WO/2008/033100,20.03.2008,WO,METHOD OF PREDICTING PROTEIN ALLERGENICITY USING A SUPPORT VECTOR MACHINE,"A method for predicting the allergenicity of a protein using a non-linear prediction model based on an algorithm such as a probabilistic function, artificial neural network, hidden Markov model, multiple regression or Bayesian network, and in particular a support vector machine. The method comprises a learning phase where a data set of allergenic proteins is used to train the prediction model, and a prediction phase where the allergenicity of a protein is determined using the trained prediction model. In one embodiment the support vector machine is trained by creating a hyperplane separating and classifying the training examples according to a kernel function, where a third degree polynomial kerne function was optimal.",G06N 7/08; G06F 19/24; G06N 3/02; G06N 3/08; G06N 99/00; G06F 19/16; G06F 19/18,"AGENCY FOR SCIENCE, TECHNOLOGY AND RESEARCH; TONG, Joo Chuan; ZHANG, Zong Hong","TONG, Joo Chuan; ZHANG, Zong Hong","60/843,509 11.09.2006 US",
