Time:,21.04.2020 00:39:24,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AIfunctionalapplicationsRobotics,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2020023518,PCT/US2019/043051,23.07.2019,WO/2020/023518,30.01.2020,WO,A METHOD OF REAL TIME VEHICLE RECOGNITION WITH NEUROMORPHIC COMPUTING NETWORK FOR AUTONOMOUS DRIVING,"Described is a system for online vehicle recognition in an autonomous driving environment. Using a learning network comprising an unsupervised learning component and a supervised learning component, images of moving vehicles extracted from videos captured in the autonomous driving environment are learned and classified. Vehicle feature data is extracted from input moving vehicle images. The extracted vehicle feature data is clustered into different vehicle classes using the unsupervised learning component. Vehicle class labels for the different vehicle classes are generated using the supervised learning component. Based on a vehicle class label for a moving vehicle in the autonomous driving environment, the system selects an action to be performed by the autonomous vehicle, and causes the selected action to be performed by the autonomous vehicle in the autonomous driving environment.",B60W 30/14; B60W 40/02; G06N 3/08,"HRL LABORATORIES, LLC","JIANG, Qin; CHO, Youngkwan; STEPP, Nigel D.; SKORHEIM, Steven W.; DE SAPIO, Vincent; PILLY, Praveen K.; RUGGERO, Scorcioni","62/702,042 23.07.2018 US",
WO2020069517,PCT/US2019/053857,30.09.2019,WO/2020/069517,02.04.2020,WO,INTELLIGENT TRANSPORTATION SYSTEMS,"Transportation systems have artificial intelligence including neural networks for recognition and classification of objects and behavior including natural language processing and computer vision systems. The transportation systems involve sets of complex chemical processes, mechanical systems, and interactions with behaviors of operators. System-level interactions and behaviors are classified, predicted and optimized using neural networks and other artificial intelligence systems through selective deployment, as well as hybrids and combinations of the artificial intelligence systems, neural networks, expert systems, cognitive systems, genetic algorithms and deep learning.",B60W 30/14,"STRONG FORCE INTELLECTUAL CAPITAL, LLC","CELLA, Charles","62/739,335 30.09.2018 US",
WO2019133081,PCT/US2018/050868,13.09.2018,WO/2019/133081,04.07.2019,WO,SHARING LEARNED INFORMATION AMONG ROBOTS,"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for sharing learned information among robots. In some implementations, a robot obtains sensor data indicating characteristics of an object. The robot determines a classification for the object and generates an embedding for the object using a machine learning model stored by the robot. The robot stores the generated embedding and data indicating the classification for the object. The robot sends the generated embedding and the data indicating the classification to a server system. The robot receives, from the server system, an embedding generated by a second robot and a corresponding classification. The robot stores the received embedding and the corresponding classification in the local cache of the robot. The robot may then use the information in the cache to identify objects.",B25J 9/00; B25J 9/16,X DEVELOPMENT LLC,"RAJKUMAR, Nareshkumar; LEGER, Patrick; HUDSON, Nicolas; SHANKAR, Krishna; HESSMER, Rainer","15/855,329 27.12.2017 US",
WO2019241680,PCT/US2019/037264,14.06.2019,WO/2019/241680,19.12.2019,WO,DEEP REINFORCEMENT LEARNING FOR ROBOTIC MANIPULATION,"Using large-scale reinforcement learning to train a policy model that can be utilized by a robot in performing a robotic task in which the robot interacts with one or more environmental objects. In various implementations, off-policy deep reinforcement learning is used to train the policy model, and the off-policy deep reinforcement learning is based on self-supervised data collection. The policy model can be a neural network model. Implementations of the reinforcement learning utilized in training the neural network model utilize a continuous-action variant of Q-learning. Through techniques disclosed herein, implementations can learn policies that generalize effectively to previously unseen objects, previously unseen environments, etc.",B25J 9/16,GOOGLE LLC,"KALASHNIKOV, Dmitry; IRPAN, Alexander; PASTOR SAMPEDRO, Peter; IBARZ, Julian; HERZOG, Alexander; JANG, Eric; QUILLEN, Deirdre; HOLLY, Ethan; LEVINE, Sergey","62/685,838 15.06.2018 US",
WO2019055848,PCT/US2018/051175,14.09.2018,WO/2019/055848,21.03.2019,WO,MACHINE LEARNING METHODS AND APPARATUS FOR ROBOTIC MANIPULATION AND THAT UTILIZE MULTI-TASK DOMAIN ADAPTATION,"Training a machine learning model that, once trained, is used in performance of robotic grasping and/or other manipulation task(s) by a robot. The model can be trained using simulated training examples that are based on simulated data that is based on simulated robot(s) attempting simulated manipulations of various simulated objects. At least portions of the model can also be trained based on real training examples that are based on data from real-world physical robots attempting manipulations of various objects. The simulated training examples can be utilized to train the model to predict an output that can be utilized in a particular task – and the real training examples used to adapt at least a portion of the model to the real-world domain can be tailored to a distinct task. In some implementations, domain-adversarial similarity losses are determined during training, and utilized to regularize at least portion(s) of the model.",B25J 9/16,X DEVELOPMENT LLC,"BAI, Yunfei; FANG, Kuan; HINTERSTOISSER, Stefan; KALAKRISHNAN, Mrinal","62/559,279 15.09.2017 US; 15/913,212 06.03.2018 US",EP-2018779999
