Time:,20.04.2020 21:55:45,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AItechniqueFuzzyLogic,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO1994022074,PCT/US1994/003249,24.03.1994,WO/1994/022074,29.09.1994,WO,FUZZY LOGIC DESIGN GENERATOR USING A NEURAL NETWORK TO GENERATE FUZZY LOGIC RULES AND MEMBERSHIP FUNCTIONS FOR USE IN INTELLIGENT SYSTEMS,"A fuzzy logic design generator for providing a fuzzy logic design for an intelligent controller in a plant control system includes an artificial neural network for generating fuzzy logic rules and membership functions data. These fuzzy logic rules and membership functions data can be stored for use in a fuzzy logic system for neural network based fuzzy antecedent processing, rule evaluation and defuzzification, thereby avoiding heuristics associated with conventional fuzzy logic algorithms. The neural network, used as a fuzzy rule generator to generate fuzzy logic rules and membership functions for the system's plant controller, is a multilayered feed-forward neural network based upon a modified version of a back-propagation neural network and learns the system behavior in accordance with input and output data and then maps the acquired knowledge into a new non-heuristic fuzzy logic system. Interlayer weights of the neural network are mapped into fuzzy logic rules and membership functions. Antecedent processing is performed according to a weighted product of the antecedents. One layer of the neural network is used for performing rule evaluation and defuzzification.",G06N 3/04; G06N 7/04,NATIONAL SEMICONDUCTOR CORPORATION,"KHAN, Emdadur, R.","08/036,634 24.03.1993 US",
EP222893400,18157284,05.12.2014,3340570,27.06.2018,EP,PROFILING CYBER THREATS DETECTED IN A TARGET ENVIRONMENT AND AUTOMATICALLY GENERATING ONE OR MORE RULE BASES FOR AN EXPERT SYSTEM USABLE TO PROFILE CYBER THREATS DETECTED IN A TARGET ENVIRONMENT,"A method of automatically generating one or more rule bases for an expert system usable to profile cyber threats detected in a target environment, comprising the steps of: for each alert of a training set of alerts triggered by a potential cyber threat detected by an SIEM: retrieving captured packet data related to the alert; and extracting training threat data pertaining to a set of attributes from captured packet data triggering the alert; generating a predictive model of the level of risk posed by an alert based on attribute values for that alert by analysing the captured training threat data pertaining to the set of attributes; and generating a set of fuzzy rules based on the predictive model, said rules being usable at run time in a fuzzy logic engine to evaluate data pertaining to one or more of the extracted attributes of a detected cyber threat to determine values for one or more output variables indicative of a level of an aspect of risk attributable to the detected cyber threat.",H04L 29/06; G06F 21/55; G06F 21/57; G06N 5/04; G06N 7/02,CYBERLYTIC LTD,LAIDLAW STUART; ST JOHN HAROLD; HILLICK MARK,14196460 05.12.2014 EP; 201321565 06.12.2013 GB,
WO2020033898,PCT/US2019/046011,09.08.2019,WO/2020/033898,13.02.2020,WO,"SYSTEMS AND METHODS FOR PROVIDING FLEXIBLE, MULTI-CAPACITY MODELS FOR USE OF DEEP NEURAL NETWORKS IN MOBILE DEVICES","Systems and methods are disclosed which allow mobile devices, and other resource constrained applications, to more efficiently and effectively utilize deep learning neural networks using only (or primarily) local resources. These systems and methods take the dynamics of runtime resources into account to enable resource-aware, multi-tenant on-device deep learning for artificial intelligence functions for use in tasks like mobile vision systems. The multi-capacity framework enables deep learning models to offer flexible resource-accuracy trade-offs and other similar balancing of performance and resources consumed. At runtime, various systems disclosed herein may dynamically select the optimal resource-accuracy trade-off for each deep learning model to fit the model's resource demand to the system's available runtime resources and the needs of the task being performed by the model. In doing so, systems and methods disclosed herein can efficiently utilize the limited resources in mobile systems to maximize performance of multiple concurrently running neural network-based applications.",G06F 13/28; G06N 3/04; G06N 3/08; G06N 7/02; G16H 50/20; G16H 50/50; G16H 50/70,BOARD OF TRUSTEES OF MICHIGAN STATE UNIVERSITY,"ZHANG, Mi; FANG, Biyi; ZENG, Xiao","62/716,812 09.08.2018 US",
WO2003044687,PCT/US2002/036533,15.11.2002,WO/2003/044687,30.05.2003,WO,PAUSIBLE NEURAL NETWORK WITH SUPERVISED AND UNSUPERVISED CLUSTER ANALYSIS,"A plausible neural network (PLANN) is an artificial neural network with weight connection given by mutual information, which has the capability and learning, and yet retains many characteristics of a biological neural network. The learning algorithm (300, 301, 302, 304, 306, 308) is based on statistical estimation, which is faster than the gradient decent approach currently used. The network after training becomes a fuzzy/belief network; the inference and weight are exchangeable, and as a result, knowledge extraction becomes simple. PLANN performs associative memory, supervised, semi-supervised, unsupervised learning and function/relation approximation in a single network architecture. This network architecture can easily be implemented by analog VLSI circuit design.",G06N 3/04,"CHEN, Yuan Yan; CHEN, Joseph","CHEN, Yuan Yan; CHEN, Joseph","60/331,476 16.11.2001 US",MX-PA/a/2004/004542; AU-2002356946; JP-2003546255; CA-2467401; CN-02825108.3; EP-2002803620
WO2013010051,PCT/US2012/046580,13.07.2012,WO/2013/010051,17.01.2013,WO,DETECTION AND CLASSIFICATION OF PROCESS FLAWS USING FUZZY LOGIC,"A fuzzy logic controller for a distributed control system that monitors a large electrical machine in order to detect and identify faults. Variables to be monitored by the fuzzy logic controller include oil pressure, oil temperature, and other critical variables that are used under classical logic to trip the electrical machine offline. After the input and output membership functions are identified, and a rule set is defined, the fuzzy logic controller fuzzifies the monitored variables to the input membership functions, determines an antecedent truth value, and implicates the antecedent truth value onto the output membership function, establishing a fuzzy output set. Where multiple output fuzzy sets are to be combined, they are amalgamated. The output fuzzy set or amalgamated combined output fuzzy set is then converted to a crisp value.",G06N 5/04; G06N 3/04; G06N 7/02,"SAUDI ARABIAN OIL COMPANY; ALMUBARAK, Yousef, Husain","ALMUBARAK, Yousef, Husain","61/507,822 14.07.2011 US",EP-2012747951; JP-2014520349; CA-2839026
WO2009155415,PCT/US2009/047790,18.06.2009,WO/2009/155415,23.12.2009,WO,"TRAINING AND REHABILITATION SYSTEM, AND ASSOCIATED METHOD AND COMPUTER PROGRAM PRODUCT","A method of behavioral training is provided, wherein psychophysical reactions of an exemplary specimen are transformed into computable statements, associated with a perception process, using fuzzy logic. The computable statements are incorporated into an expert system, and the expert system of the perception process combined with a neural network corresponding to a perception model, so as to form a behavioral system. A stimuli is introduced to the behavioral system and an exemplary response elicited therefrom. An untrained specimen, also introduced to the stimuli, is induced to mimic the exemplary response so as to train the untrained specimen to display the psychophysical reactions of the exemplary specimen. A rehabilitation method, as well as associated methods, systems, and computer program products, are also provided.",G06N 3/04; G06N 7/02,"RESEARCH TRIANGLE INSTITUTE; SIMONI, Diglio, A.","SIMONI, Diglio, A.","61/074,379 20.06.2008 US",
