Time:,20.04.2020 21:57:26,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AItechniqueLogicProgramming,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
EP12612986,94115116,26.09.1994,0646878,05.04.1995,EP,Method for converting an existing expert system into one utilizing one or more neural networks.,"A technique for converting an existing expert system into one incorporating one or more neural networks (FIG. 12) includes the steps of separating (21, FIG. 3) the knowledge base and inference engine of the existing expert system, identifying (23) the external and internal inputs and outputs, identifying (27) subsystems from the inputs and outputs, using (33) a neural network for each subsystem, training (37) each neural network to learn the production rules of its associated subsystem, and computing (39) exact or interpolated outputs from a given set of inputs. Each neural network utilizes a training algorithm which does not require repetitive training and which yields a global minimum to each given set of inputs. <IMAGE>",G06F 15/80; G06F 15/18; G06F 9/44; G06N 3/00; G06N 3/04; G06N 5/04,MOTOROLA INC,WANG SHAY-PING THOMAS,12982393 30.09.1993 US,
WO2020014712,PCT/US2019/041892,15.07.2019,WO/2020/014712,16.01.2020,WO,DIGITAL ADVERTISING PLATFORM WITH DEMAND PATH OPTIMIZATION,A digital advertising system includes at least one processor configured to execute a plurality of functional modules including an analytics module to receive and analyze client attributes associated with a website visitor and a requested website to define an analytics event. The analytics module ingests and enriches data within the analytics event and provides it to a machine learning module that generates prediction models for potential bids. A management platform receives the bidding prediction and generates candidate configs. An optimization module receives the candidate configs and applies weights and additional features to select a config and generate an optimized script for the selected config. A deployment module receives the optimized script and delivers the script to the website visitor.,G05B 13/02; G06Q 30/02; G06Q 90/00,"PUBWISE, LLLP","JOHNSTON, Stephen F.","62/697,976 13.07.2018 US",
WO2020069517,PCT/US2019/053857,30.09.2019,WO/2020/069517,02.04.2020,WO,INTELLIGENT TRANSPORTATION SYSTEMS,"Transportation systems have artificial intelligence including neural networks for recognition and classification of objects and behavior including natural language processing and computer vision systems. The transportation systems involve sets of complex chemical processes, mechanical systems, and interactions with behaviors of operators. System-level interactions and behaviors are classified, predicted and optimized using neural networks and other artificial intelligence systems through selective deployment, as well as hybrids and combinations of the artificial intelligence systems, neural networks, expert systems, cognitive systems, genetic algorithms and deep learning.",B60W 30/14,"STRONG FORCE INTELLECTUAL CAPITAL, LLC","CELLA, Charles","62/739,335 30.09.2018 US",
WO1992002863,PCT/US1991/005257,25.07.1991,WO/1992/002863,20.02.1992,WO,NEURAL NETWORK/EXPERT SYSTEM PROCESS CONTROL SYSTEM AND METHOD,"A neural network/expert system process control system and method combines the decision-making capabilities of expert systems with the predictive capabilities of neural networks for improved process control. Neural networks provide predictions of measurements which are difficult to make, or supervisory or regulatory control changes which are difficult to implement using classical control techniques. Expert systems make decisions automatically based on knowledge which is well-known and can be expressed in rules or other knowledge representation forms. Sensor and laboratory data is effectively used. In one approach, the output data from the neural network can be used by the controller in controlling the process, and the expert system can make a decision using sensor or lab data to control the controller(s). In another approach, the output data of the neural network can be used by the expert system in making its decision, and control of the process carried out using lab or sensor data. In another approach, the output data can be used both to control the process and to make decisions.",G05B 13/02; G06N 3/04,E.I. DU PONT DE NEMOURS AND COMPANY,"SKEIRIK, Richard, D.","562,327 03.08.1990 US",EP-1991917194; CA-2066739
WO1990002375,PCT/US1989/003528,16.08.1989,WO/1990/002375,08.03.1990,WO,EXPERT SYSTEM FOR DIAGNOSING FAULTS,The present invention is directed to an expert system (24) for diagnosing faults. The system comprises a knowledge base (32) containing information regarding a conceptual model of the equipment under diagnosis and information indicating normal operation of the equipment. The system also comprises an inference engine (28) for generating a set of symptom diagnostic rules from the information contained within the knowledge base in conjunction with user-generated inputs.,G06F 11/25,HUGHES AIRCRAFT COMPANY,"KIM, Sachol, E.","234,434 19.08.1988 US",EP-1989910024
EP12191156,90125477,24.12.1990,0438779,31.07.1991,EP,VARIABLE EXPERT SYSTEM,"The present invention relates to a knowledge engineering system or an expert system in which several different rule systems are stored. One of the rule systems is selected for a given processing by an inference engine based on a key factor. In its preferred embodiment, the present invention also envisions using a batch mode as a data input to the expert system. <IMAGE>",G06F 9/44; G06N 5/04,INTERNATIONAL BUSINESS MACHINES CORPORATION,"CHIRICO, NEIL FRANCIS",46853890 23.01.1990 US,
EP11965693,89104158,09.03.1989,0334113,27.09.1989,EP,EXPERT SYSTEM INFERENCE ENGINE,"An expert system includes a knowledge base manager which is fact-based, as opposed to rule-based; i.e., a semantic network with tangled hierarchies. The system includes an inference engine which is capable of providing solutions to indeterminate problems with a high degree of confidence. ""Entities"" (e.g., propositions, facts and ideas) are understood in eight different ways depending on the context of entity relationships. Each such relationship may be characterized anywhere along a spectrum from stong to weak. The knowledge base is designed so that entities and relationships are easily modified. The analysis performed may be at any of various levels of detail. The system can accept data as keyed input as well as from independently executed programs. Results developed by the inference engine are presented in various levels of detail in terms of relative degree of agreement of divergence from anticipated conclusions and the inference engine's degree of confidence in the results.",G06F 9/44; G06N 5/02; G06N 5/04,INTERNATIONAL BUSINESS MACHINES CORPORATION,"TYLER, IRWIN",17348988 25.03.1988 US,
