Time:,20.04.2020 21:53:18,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AItechniqueMachineLearningBioInspiredApproaches,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2008035276,PCT/IB2007/053750,17.09.2007,WO/2008/035276,27.03.2008,WO,METHODS FOR FEATURE SELECTION USING CLASSIFIER ENSEMBLE BASED GENETIC ALGORITHMS,"Methods for performing genetic algorithm-based feature selection are provided herein. In certain embodiments, the methods include steps of applying multiple data splitting patterns to a learning data set to build multiple classifiers to obtain at least one classification result; integrating the at least one classification result from the multiple classifiers to obtain an integrated accuracy result; and outputting the integrated accuracy result to a genetic algorithm as a fitness value for a candidate feature subset, in which genetic algorithm-based feature selection is performed.",G06N 3/12; G06F 19/00; G06K 9/00,"KONINKLIJKE PHILIPS ELECTRONICS N.V.; ZHAO, Luyin; BOROCZKY, Lilla; AGNIHOTRI, Lalitha A.; LEE, Michael C.C.","ZHAO, Luyin; BOROCZKY, Lilla; AGNIHOTRI, Lalitha A.; LEE, Michael C.C.","60/826,593 22.09.2006 US; 60/884,288 10.01.2007 US",US-12441956; EP-2007826411; CN-200780034729.9; IN-2053/CHENP/2009; RU-2009115198; JP-2009528832
WO2020014712,PCT/US2019/041892,15.07.2019,WO/2020/014712,16.01.2020,WO,DIGITAL ADVERTISING PLATFORM WITH DEMAND PATH OPTIMIZATION,A digital advertising system includes at least one processor configured to execute a plurality of functional modules including an analytics module to receive and analyze client attributes associated with a website visitor and a requested website to define an analytics event. The analytics module ingests and enriches data within the analytics event and provides it to a machine learning module that generates prediction models for potential bids. A management platform receives the bidding prediction and generates candidate configs. An optimization module receives the candidate configs and applies weights and additional features to select a config and generate an optimized script for the selected config. A deployment module receives the optimized script and delivers the script to the website visitor.,G05B 13/02; G06Q 30/02; G06Q 90/00,"PUBWISE, LLLP","JOHNSTON, Stephen F.","62/697,976 13.07.2018 US",
WO2020069517,PCT/US2019/053857,30.09.2019,WO/2020/069517,02.04.2020,WO,INTELLIGENT TRANSPORTATION SYSTEMS,"Transportation systems have artificial intelligence including neural networks for recognition and classification of objects and behavior including natural language processing and computer vision systems. The transportation systems involve sets of complex chemical processes, mechanical systems, and interactions with behaviors of operators. System-level interactions and behaviors are classified, predicted and optimized using neural networks and other artificial intelligence systems through selective deployment, as well as hybrids and combinations of the artificial intelligence systems, neural networks, expert systems, cognitive systems, genetic algorithms and deep learning.",B60W 30/14,"STRONG FORCE INTELLECTUAL CAPITAL, LLC","CELLA, Charles","62/739,335 30.09.2018 US",
WO2008017991,PCT/IB2007/053048,02.08.2007,WO/2008/017991,14.02.2008,WO,METHODS AND APPARATUS TO INTEGRATE SYSTEMATIC DATA SCALING INTO GENETIC ALGORITHM-BASED FEATURE SUBSET SELECTION,"Methods and apparatus for training a system for developing a process of data mining, false positive reduction, computer-aided detection, computer-aided diagnosis and artificial intelligence are provided. A method includes choosing a training set from a set of training cases using systematic data scaling and creating a classifier based on the training set using a classification method. The classifier yields fewer false positives. The method is suitable for use with a variety of data mining techniques including support vector machines, neural networks and decision trees.",G06N 3/12; G06F 19/00,"KONINKLIJKE PHILIPS ELECTRONICS, N.V.; ZHAO, Luyin; BOROCZKY, Lilla; LEE, Kwok Pun","ZHAO, Luyin; BOROCZKY, Lilla; LEE, Kwok Pun","60/822,098 11.08.2006 US",CN-200780029838.1; IN-1271/CHENP/2009; US-12377245; EP-2007805289; JP-2009523398; RU-2009108639
WO2018017467,PCT/US2017/042356,17.07.2017,WO/2018/017467,25.01.2018,WO,"DISTRIBUTED MACHINE LEARNING SYSTEMS, APPARATUS, AND METHODS","A distributed, online machine learning system is presented. Contemplated systems include many private data servers, each having local private data. Researchers can request that relevant private data servers train implementations of machine learning algorithms on their local private data without requiring de-identification of the private data or without exposing the private data to unauthorized computing systems. The private data servers also generate synthetic or proxy data according to the data distributions of the actual data. The servers then use the proxy data to train proxy models. When the proxy models are sufficiently similar to the trained actual models, the proxy data, proxy model parameters, or other learned knowledge can be transmitted to one or more non-private computing devices. The learned knowledge from many private data servers can then be aggregated into one or more trained global models without exposing private data.",G06N 99/00; G06N 5/04,"NANTOMICS, LLC; NANT HOLDINGS IP, LLC","SZETO, Christopher; BENZ, Stephen, Charles; WITCHEY, Nicholas, J.","62/363,697 18.07.2016 US",EP-2017831625; SG-11201900220R; KR-1020197004647; MX-MX/a/2019/000713; AU-2017300259; IL-264281; CA-3031067; JP-2019502045; CN-201780056525.9
