Time:,20.04.2020 21:59:57,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AItechniqueMachineLearningClassificationAndRegressionTrees,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2018125434,PCT/US2017/062504,20.11.2017,WO/2018/125434,05.07.2018,WO,ENTROPY-BASED WEIGHTING IN RANDOM FOREST MODELS,"A weighting value is determined for each of a plurality of decision trees in a random forest model hosted on a particular device, where the weighting is based on entropy of the respective decision tree. A new decision tree is received at the particular device and a weighting value is determined for the new decision tree based on entropy of the new decision tree. Based on the determined weighting value, it is determined whether to add the new the decision tree to the random forest model. A classification for data generated at the particular device is predicted using the random forest model.",G06N 99/00,INTEL CORPORATION,"TSOU, Yu-Lin; YANG, Shao-Wen; CHU, Hong-Min","15/393,825 29.12.2016 US",
WO2018004580,PCT/US2016/040259,30.06.2016,WO/2018/004580,04.01.2018,WO,DEVICE-BASED ANOMALY DETECTION USING RANDOM FOREST MODELS,"Training data generated at a particular device deployed in a machine-to-machine network is used to train a first plurality of decision trees for inclusion in a random forest model for use in anomaly detection. Copies of the trained first plurality of decision trees are sent to at least one other device deployed in the machine-to-machine network and copies of a second plurality of decision trees are received from the other device, which were trained at the other device using training data generated by the other device. The random forest model is generated to include the first and second plurality of decision trees. The random forest model is used by the particular device to detect anomalies in data generated by the particular device.",G06F 15/18; G06F 15/163; G06N 99/00; H04W 4/00,INTEL CORPORATION,"TSOU, Yu-Lin; YANG, Shao-Wen",,
WO1996013830,PCT/US1995/013416,19.10.1995,WO/1996/013830,09.05.1996,WO,DECISION TREE CLASSIFIER DESIGNED USING HIDDEN MARKOV MODELS,"A decision tree classifier (20) is designed using the hidden Markov model to yield a final classifier that can be implemented without using any mathematical operations. The apparatus of this invention moves all of the mathematical calculations to the construction of the decision tree. Once this is completed, the decision tree can be implemented using only logical operations such as memory addressing and binary comparison operations. This simplicity allows the decision tree to be implemented in a simple hardware form using conventional gates.",G10L 15/08; G10L 15/14,DICTAPHONE CORPORATION (U.S.),"SORENSEN, Jeffrey, S.","329,393 26.10.1994 US",CA-2203649; EP-1995937519
WO2017007831,PCT/US2016/041159,06.07.2016,WO/2017/007831,12.01.2017,WO,EFFICIENT DECISION TREE TRAVERSALS IN AN ADAPTIVE BOOSTING (ADABOOST) CLASSIFIER,"In described examples of a method for object classification in a decision tree based adaptive boosting (AdaBoost) classifier implemented on a single-instruction multiple-data (SIMD) processor, the method includes receiving (700) feature vectors extracted from N consecutive window positions in an image in a memory coupled to the SIMD processor and evaluating (708) the N consecutive window positions concurrently by the AdaBoost classifier using the feature vectors and vector instructions of the SIMD processor, in which the AdaBoost classifier concurrently traverses (714) decision trees for the N consecutive window positions until classification is complete (712) for the N consecutive window positions.",G06K 9/62; G06F 15/173,TEXAS INSTRUMENTS INCORPORATED; TEXAS INSTRUMENTS JAPAN LIMITED,"JAGANNATHAN, Shyam; SWAMI, Pramod, Kumar","14/792,596 06.07.2015 US",JP-2018500704; EP-2016821919
WO2004090797,PCT/US2004/010321,02.04.2004,WO/2004/090797,21.10.2004,WO,DECISION TREE ANALYSIS,A method of selecting a decision tree from multiple decision trees includes assigning a Bayesian tree score to each of the decision trees. The Bayesian tree score of each decision tree is compared and a decision tree is selected based on the comparison.,G06F 17/30,ELECTRONIC DATA SYSTEMS CORPORATION,"SMITH, Laurence; TANSLEY, John","10/406,836 04.04.2003 US",CA-2520317; EP-2004758849; AU-2004227881
WO2003075182,PCT/KR2003/000407,03.03.2003,WO/2003/075182,12.09.2003,WO,APPARATUS AND METHOD FOR SELECTING AN OPTIMAL DECISION TREE FOR DATA MINING,"The apparatus for selecting an optimal decision tree for data mining, comprising; input means through which multidimensional data Dn and a plurality of nested decision trees Ti created by using the multidimensional data are inputted; calculating means for calculating a probability Pr(Dn|Ti) of each of the multidimensional data for a given tree by using the multidimensional data and the plurality of nested decision trees inputted through the input means; a prior probability calculating means for calculating a prior probability Pr(Ti) for the given tree; posterior probability calculating means for calculating a posterior probability Pr(Ti|Dn) based on Bayesian theorem by using the probability Pr(Dn|Ti) of each of the multidimensional data for the given tree and the prior probability Pr(Ti) for the given tree; and decision tree selecting means for selecting a decision tree with a largest posterior probability as a single optimal decision tree.",G06F 17/30; G06K 9/62,"BL SYSTEMS INC.; JEON, Jong-Woo; KIM, Yong-Dai","JEON, Jong-Woo; KIM, Yong-Dai",10-2002-0011207 02.03.2002 KR,JP-null
WO2002029614,PCT/CN2000/000299,30.09.2000,WO/2002/029614,11.04.2002,WO,METHOD AND SYSTEM TO SCALE DOWN A DECISION TREE-BASED HIDDEN MARKOV MODEL (HMM) FOR SPEECH RECOGNITION,"A method and system are provided in which a decision tree-based model ('general model') is scaled down ('trim-down') for a given task. The trim-down model can be adapted for the given task using task specific data. The general model can be based on a hidden markov model (HMM). By allowing a decision tree-based acoustic model ('general model') to be scaled according to the vocabulary of the given task, the general model can be configured dynamically into a trim-down model, which can be used to improve speech recognition performance and reduce system resource utilization. Furthermore, the trim-down model can be adapted/adjusted according to task specific data, e.g., task vocabulary, model size, or other like task specific data.",G06F 17/20,"INTEL CORPORATION; GUO, Qing; YAN, Yonghong; YUAN, Baosheng","GUO, Qing; YAN, Yonghong; YUAN, Baosheng",,
WO2004097673,PCT/FI2004/050044,22.04.2004,WO/2004/097673,11.11.2004,WO,LOW MEMORY DECISION TREE,"The invention relates to a management of a low memory treelike data structure. The method according to the invention comprises steps for creating a decision tree consisted of a parent node and at least one leaf node, and steps for searching data from said nodes. The nodes of the decision tree are stored sequentially in such a manner that nodes follow the parent node in storage order, wherein the nodes refining the context of the searchable data can be reached without a link from their parent node. The method can preferable be utilized in speech-recognition systems, in text-to-phoneme mapping.",G06F 17/30; G10L 13/08; G10L 15/187,"NOKIA CORPORATION; SUONTAUSTA, Janne; TIAN, Jilei","SUONTAUSTA, Janne; TIAN, Jilei",20035055 30.04.2003 FI,KR-1020057020316; CN-200480011576.2; EP-2004728830; KR-1020077019768
WO2007113700,PCT/IB2007/050857,14.03.2007,WO/2007/113700,11.10.2007,WO,GENERATING RULES FOR A DECISION TREE,"The present invention provides a method of generating rules for a decision tree, comprising the steps: describing a decision tree to derive at least one decision tree rule containing a plurality of attributes; and grouping said at least one decision tree rule into a plurality of decision tree rule groups that correspond respectively to the plurality of attributes, wherein said plurality of decision tree rule groups can be distributed respectively to a plurality of nodes of a network to form a distributed decision tree. Utilizing the present invention, a distributed decision tree can be formed under the pre-condition of limited communication capability and power supply capacity of the sensor nodes in a wireless sensor network, thus utilizing the network resources more effectively to make decision analysis more efficient.",G06N 5/02,"KONINKLIJKE PHILIPS ELECTRONICS N.V.; CHEN, Ningjiang; CHEN, Xin; WANG, Shuangquan","CHEN, Ningjiang; CHEN, Xin; WANG, Shuangquan",200610068400.1 30.03.2006 CN,
WO2017019155,PCT/US2016/033242,19.05.2016,WO/2017/019155,02.02.2017,WO,DETERMINING INCIDENT CODES USING A DECISION TREE,"A processing device receives a request to create a report. The processing device generates one or more questions pertaining to a decision tree, the decision tree linking one or more attributes to one or more corresponding incident codes. The processing device displays one or more answers corresponding to the one or more questions. The processing device utilizes the one or more answers to traverse the decision tree to arrive at more questions. Responsive to the processing device determining that the traversal of the decision tree results in an arrival at an incident code, the processing device generate a report template using the determined incident code.",G06F 15/18,"MARK43, INC.","POLEGA, Matthew; CROUCH, Scott; MAYR, Florian; OKANO, Stephen; QUIMBY, Alden; DEAN, Matthew","15/157,912 18.05.2016 US; 62/198,363 29.07.2015 US",
WO2019241667,PCT/US2019/037244,14.06.2019,WO/2019/241667,19.12.2019,WO,AUGMENTED REALITY DEEP GESTURE NETWORK,"A computer implemented method for recognizing a hand gesture using a random forest model includes training the random forest model. The method also includes obtaining image data. The method further includes clustering a plurality of pixels from the image data to generate a plurality of clusters. Moreover, the method includes analyzing the plurality of clusters using a rejection cascade to generate a plurality of selected candidates. In addition, the method includes analyzing the plurality of selected candidates using a classification decision tree from the random forest model. The method also includes skeletonizing the plurality of selected candidates to generate a one dimension plus branches hand model. The method further includes analyzing the one dimension plus branches hand model using a regression decision tree from the random forest model.",G06K 9/52; G06K 9/62; G06F 16/35; G06F 16/55; H04N 19/88; H04N 19/182,"MAGIC LEAP, INC.","LEE, Douglas, Bertram","62/685,262 14.06.2018 US",
EP13227743,98303430,01.05.1998,0954140,03.11.1999,EP,Method of managing dynamic decision trees,"A data packet switch includes a decision tree for classifying data packets, which can be dynamically modified. To conserve memory resources nodes which are found during modification to have matching effects are combined. If only a subset of paths to a node are relevant to a modification, the node is split. Prior to implementation of the modifications, temporary nodes are inserted before modified nodes to preserve existing paths. These temporary nodes are controlled by a single memory value which can be changed to effect all the modifications to the decision tree simultaneously. <IMAGE>",G06F 17/30; G06K 9/62; G06N 5/02; H04L 12/751; H04L 12/753,HEWLETT PACKARD CO,EDWARDS ALED JUSTIN; CALAMVOKIS COSTAS,98303430 01.05.1998 EP,
