Time:,20.04.2020 22:09:17,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AItechniqueMachineLearningLatentRepresentations,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2019036127,PCT/US2018/041068,06.07.2018,WO/2019/036127,21.02.2019,WO,FRAMEWORK FOR RAPID ADDITIVE DESIGN WITH GENERATIVE TECHNIQUES,"According to some embodiments, a system may include a design experience data store containing electronic records associated with prior industrial asset item designs. A deep learning model platform, coupled to the design experience data store, may include a communication port to receive constraint and load information from a designer device. The deep learning platform may further include a computer processor adapted to automatically and generatively create boundaries and geometries, using a deep learning model associated with an additive manufacturing process, for an industrial asset item based on the prior industrial asset item designs and the received constraint and load information. According to some embodiments, the deep learning model computer processor is further to receive design adjustments from the designer device. The received design adjustments might be for example, used to execute an optimization process and/or be fed back to continually re-train the deep learning model.",G06N 3/08; B29C 64/386; B33Y 50/00,GENERAL ELECTRIC COMPANY,"SUBRAMANIYAN, Arun Karthi; BARUA, Ananda; ERNO, Daniel","15/678,653 16.08.2017 US",EP-2018846975
WO2019071384,PCT/CN2017/105377,09.10.2017,WO/2019/071384,18.04.2019,WO,"INTELLIGENT SYSTEMS AND METHODS FOR PROCESS AND ASSET HEALTH DIAGNOSIS, ANOMOLY DETECTION AND CONTROL IN WASTEWATER TREATMENT PLANTS OR DRINKING WATER PLANTS","Described herein are systems and methods of analyzing data acquired from a water plant, both historical and in real-time, making determinations about process and asset health diagnosis and anomaly detection using advanced techniques, and controlling the plant and/or providing alerts based on such determinations.",G01N 33/18; G06F 17/30,"BL TECHNOLOGIES, INC.","LU, Su; XIA, Zijun; WAN, Zhaoyang; WANG, Yu; BI, Xijing; WANG, Guoliang; TANG, Chuanyou; ZHU, Zhiping; MA, Wenchao; DONG, Qin; WANG, Sijing; LI, Yisong; LING, Jiajia",,CA-3049807; CN-201780078171.8; EP-2017928507
WO2018017467,PCT/US2017/042356,17.07.2017,WO/2018/017467,25.01.2018,WO,"DISTRIBUTED MACHINE LEARNING SYSTEMS, APPARATUS, AND METHODS","A distributed, online machine learning system is presented. Contemplated systems include many private data servers, each having local private data. Researchers can request that relevant private data servers train implementations of machine learning algorithms on their local private data without requiring de-identification of the private data or without exposing the private data to unauthorized computing systems. The private data servers also generate synthetic or proxy data according to the data distributions of the actual data. The servers then use the proxy data to train proxy models. When the proxy models are sufficiently similar to the trained actual models, the proxy data, proxy model parameters, or other learned knowledge can be transmitted to one or more non-private computing devices. The learned knowledge from many private data servers can then be aggregated into one or more trained global models without exposing private data.",G06N 99/00; G06N 5/04,"NANTOMICS, LLC; NANT HOLDINGS IP, LLC","SZETO, Christopher; BENZ, Stephen, Charles; WITCHEY, Nicholas, J.","62/363,697 18.07.2016 US",EP-2017831625; SG-11201900220R; KR-1020197004647; MX-MX/a/2019/000713; AU-2017300259; IL-264281; CA-3031067; JP-2019502045; CN-201780056525.9
WO2018035073,PCT/US2017/046844,15.08.2017,WO/2018/035073,22.02.2018,WO,DEEP LEARNING FOR CLASSIFICATION OF SWALLOWS,"A method of classifying a swallow of a subject includes obtaining vibration data that is based on and indicative of a number of vibrations resulting from the swallow, and using a computer implemented deep learning classifier to classify the swallow based on the vibration data. Also, a system for classifying a swallow of a subject includes a computing device implementing a deep learning classifier. The computing device includes a processor apparatus structured and configured to receive vibration data that is based on and indicative of a number of vibrations resulting from the swallow, and use the deep learning classifier to classify the swallow based on the vibration data. The deep learning classifier may comprise a single layer or a multi-layer Deep Belief network.",G06N 3/08; G06F 19/00,UNIVERSITY OF PITTSBURGH-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,"SEJDIC, Ervin; EL-JAROUDI, Amro; COYLE, James; DUDIK, Joshua; SUN, Mingui; MAO, Zhi-Hong","62/375,964 17.08.2016 US",
WO2018205922,PCT/CN2018/085987,08.05.2018,WO/2018/205922,15.11.2018,WO,METHODS AND SYSTEMS FOR PULMONARY FUNCTION TEST BASED ON DIAGNOSTIC MEDICAL IMAGING AND MACHINE LEARNING,"Described herein are methods pertaining to perform the pulmonary function test based on diagnostic imaging and machine learning. In an implementation, a set of diagnostic thoracic images are acquired from some imaging device at one or more time phase points in a succession during respiration of a subject; left and right lung are segmented from the images and each lung is segmented into a plurality of regions of interest; the condition of each region of interest is classified into one specific category; a set of features are extracted from the images, reconstructed regions and their categories; and the pulmonary function indicators are derived using machine learning models from these features.",G06T 7/00,SUZHOU COMPLEXIS MEDICAL INC.,"ZHOU, Yin; LIU, Hui; ZHU, Taofeng; ZHU, Meng; HUI, Zhouguang",PCT/CN2017/083431 08.05.2017 CN,
