Time:,20.04.2020 22:11:19,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AItechniqueMachineLearningLogicalAndRelationalLearning,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2017210690,PCT/US2017/035974,05.06.2017,WO/2017/210690,07.12.2017,WO,SPATIAL AGGREGATION OF HOLISTICALLY-NESTED CONVOLUTIONAL NEURAL NETWORKS FOR AUTOMATED ORGAN LOCALIZATION AND SEGMENTATION IN 3D MEDICAL SCANS,"Disclosed are systems and methods for localization and segmentation of organs (especially abnormally shaped, deformable, and/or smaller organs, such as the pancreas and lymph nodes) based on data from 3D medical imaging (e.g., CT and MRI scans) using holistically-nested convolutional neural networks (""HNNs""). Using as an example CT scan data and the pancreas, the methods can include localizing an organ from an entire 3D CT scan, providing a reliable bounding box for the more refined segmentation step. The methods can further comprise introducing a fully deep-learning approach, based on an efficient application of HNNs on the three orthogonal views. The resulting HNN per-pixel probability maps can then be fused using pooling to reliably produce a 3D bounding box of the pancreas that maximizes the recall. An introduced localizer compares favorably to both a conventional non-deep-learning method and a hybrid approach based on spatial aggregation of superpixels using random forest classification. The segmentation phase can operate within the computed bounding box and can integrate semantic mid-level cues of deeply-learned organ interior and boundary maps, obtained by two additional and separate realizations pf HNNs. By integrating these two mid-level cues, the disclosed methods are capable of generating boundary-preserving pixel-wise class label maps that result in exceptional final organ segmentations.",G06K 9/00; G06T 7/00,"THE UNITED STATES OF AMERICA, AS REPRESENTED BY THE SECRETARY, DEPARTMENT OF HEALTH AND HUMAN SERVICES","HARRISON, Adam P.; WANG, Xiaosong; SUMMERS, Ronald; NOGUES, Isabella-Emmanuella; ROTH, Holger; LU, Le","62/450,681 26.01.2017 US; 62/345,606 03.06.2016 US",
WO2018236565,PCT/US2018/035331,31.05.2018,WO/2018/236565,27.12.2018,WO,DYNAMIC SELF-LEARNING MEDICAL IMAGE METHOD AND SYSTEM,"A method and system for creating a dynamic self-learning medical image network system, wherein the method includes receiving, from a first node initial user interaction data pertaining to one or more user interactions with the one or more initially obtained medical images; training a deep learning algorithm based at least in part on the initial user interaction data received from the node; and transmitting an instance of the trained deep learning algorithm to the first node and/or to one or more additional nodes, wherein at each respective node to which the instance of the trained deep learning algorithm is transmitted, the trained deep learning algorithm is applied to respective one or more subsequently obtained medical images in order to obtain a result.",A61B 5/00,"HOLOGIC, INC.","CHUI, Haili; JING, Zhenxue","62/522,241 20.06.2017 US",EP-2018820591
WO2019236894,PCT/US2019/035853,06.06.2019,WO/2019/236894,12.12.2019,WO,DETECTING SUITABILITY OF MACHINE LEARNING MODELS FOR DATASETS,"Apparatuses, systems, program products, and method are disclosed for detecting suitability of machine learning models for datasets 208, 210. An apparatus includes a training evaluation module 302 configured to calculate a first statistical data signature for a training data set 210 of a machine learning system using one or more predefined statistical algorithms. An apparatus includes an inference evaluation module 304 configured to calculate a second statistical data signature for an inference data set 208 of a machine learning system using one or more predefined statistical algorithms. An apparatus includes a score module 306 configured to calculate a suitability score describing the suitability of a training data set 210 to an inference data set 208 as a function of a first and a second statistical data signature. An apparatus includes an action module 308 configured to perform an action related to a machine learning system in response to a suitability score satisfying an unsuitability threshold.",G06K 9/62,"PARALLEL MACHINES, INC.","GHANTA, Sindhu; ROSELLI, Drew; TALAGALA, Nisha; SRIDHAR, Vinay; SUNDARARAMAN, Swaminathan; AMAR, Lior; KHERMOSH, Lior; RAMSUNDAR, Bharath; SUBRAMANIAN, Sriram","16/001,904 06.06.2018 US",
WO2018213841,PCT/US2018/033734,21.05.2018,WO/2018/213841,22.11.2018,WO,MULTI-TASK MULTI-MODAL MACHINE LEARNING MODEL,"Methods, systems, and apparatus, including computer programs encoded on computer storage media for training a machine learning model to perform multiple machine learning tasks from multiple machine learning domains. One system includes a machine learning model that includes multiple input modality neural networks corresponding to respective different modalities and being configured to map received data inputs of the corresponding modality to mapped data inputs from a unified representation space; an encoder neural network configured to process mapped data inputs from the unified representation space to generate respective encoder data outputs; a decoder neural network configured to process encoder data outputs to generate respective decoder data outputs from the unified representation space; and multiple output modality neural networks corresponding to respective different modalities and being configured to map decoder data outputs to data outputs of the corresponding modality.",G06N 3/04; G06N 3/08,GOOGLE LLC,"SHAZEER, Noam M.; GOMEZ, Aidan Nicholas; KAISER, Lukasz Mieczyslaw; USZKOREIT, Jakob D.; JONES, Llion Owen; PARMAR, Niki J.; VASWANI, Ashish Teku","62/509,016 19.05.2017 US",CN-201880028587.3; EP-2018737050
WO2015042496,PCT/US2014/056701,20.09.2014,WO/2015/042496,26.03.2015,WO,A FRAMEWORK FOR DETERMINING THE RELATIVE EFFECT OF GENETIC VARIANTS,"Current methods for annotating and interpreting human genetic variation typically exploit only a single information type (e.g., conservation) and/or are restricted in scope (e.g., to missense changes). Here, a method for objectively integrating many diverse annotations into a single measure (integrated deleteriousness score, or C-score) for each variant is described. The method may be implemented as a support vector machine (SVM) trained to differentiate high-frequency human-derived alleles from simulated variants. C-scores were precomputed for all 8.6 billion possible human single- nucleotide variants and allow scoring of short insertions-deletions. C-scores correlate with allelic diversity, annotations of functionality, pathogenicity, disease severity, experimentally measured regulatory effects and complex trait associations, and they highly rank known pathogenic variants within individual genomes. The ability of CADD to prioritize functional, deleterious and pathogenic variants across many functional categories, effect sizes and genetic architectures is unmatched by any current single-annotation method.",G06F 15/18; G06N 3/00; G06N 3/08; G06N 3/088; C12Q 1/68; G06F 19/20,UNIVERSITY OF WASHINGTON THROUGH ITS CENTER FOR COMMERCIALIZATION; HUDSONALPHA INSTITUTE FOR BIOTECHNOLOGY,"SHENDURE, Jay; COOPER, Gregory, M.; KIRCHER, Martin; WITTEN, Daniela","61/880,286 20.09.2013 US",EP-2014845963; US-15023355
