Time:,20.04.2020 22:29:46,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AItechniqueMachineLearningMultiTaskLearning,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2019090023,PCT/US2018/058855,02.11.2018,WO/2019/090023,09.05.2019,WO,SYSTEM AND METHOD FOR INTERACTIVE REPRESENTATION LEARNING TRANSFER THROUGH DEEP LEARNING OF FEATURE ONTOLOGIES,"A method for interactive representation learning transfer to a convolutional neural network (CNN) is presented. The method includes obtaining at least first and second input image datasets from first and second imaging modalities. Furthermore, the method includes performing at least one of jointly training a first supervised learning CNN based on labels associated with the first input image dataset and a second supervised learning CNN based on labels associated with the second input image dataset to generate one or more common feature primitives and corresponding mapping functions and jointly training a first unsupervised learning CNN and a second unsupervised learning CNN with the first and second input image dataset respectively to learn compressed representations of the input image datasets, including common feature primitives and corresponding mapping functions and storing the common feature primitives and the corresponding mapping functions in a feature primitive repository.",G06N 3/04; G06N 3/08; G06T 7/00; G06K 9/62,GENERAL ELECTRIC COMPANY,"VAIDYA, Vivek Prabhakar; MULLICK, Rakesh; SHRIRAM, Krishna Seetharam; RANJAN, Sohan Rashmi; ANNANGI, Pavan Kumar V; THIRUVENKADAM, Sheshadri; ALADAHALLI, Chandan Kumar Mallappa; SREEKUMARI, Arathi",201741039221 03.11.2017 IN,
WO2020013760,PCT/SG2019/050324,29.06.2019,WO/2020/013760,16.01.2020,WO,ANNOTATION SYSTEM FOR A NEURAL NETWORK,An annotation system for a neural network and a method thereof are disclosed in the present application. The annotation system comprises a memory and a processor operatively coupled to the memory. The memory is configured for storing instructions to cause the process to receive information comprising a first set of unlabeled instances from at least one source; set a learning target of the information; select a second set of unlabeled instances from the first set of unlabeled instances by executing a software algorithm; and annotate the second set of unlabeled instances for generating labeled data. The software algorithm increases an efficiency of annotation in training neural networks for deep-learning-based video analysis by combining semi-supervised learning and transfer learning via a data augmentation method. The software algorithm can increase the efficiency of annotation by reducing an amount of annotation by an order of one magnitude.,G06N 3/08; G06N 3/02; G06F 17/24,XJERA LABS PTE. LTD.,"DING, Lu; ZHANG, JunWu; CHU, XinQi",10201805864P 07.07.2018 SG,SG-11201908315V
WO2020009652,PCT/SE2019/050672,05.07.2019,WO/2020/009652,09.01.2020,WO,METHODS AND SYSTEMS FOR DYNAMIC SERVICE PERFORMANCE PREDICTION USING TRANSFER LEARNING,"Systems and methods are provided for generating a data driven target model associated with a service having a first configuration. The method including: determining if there is an existing data driven source model for the service having a second configuration which is different from the first configuration; wherein if there is an existing data driven source model, determining whether a level of differences between the first configuration and the second configuration enables the existing data driven source model to be used as a source model for the data driven target model being generated; wherein if there is no existing data driven source model or if the level of differences for the existing data driven source model does not enable the existing data driven source model for the first configuration to be used, then requesting a source domain, wherein the source domain is a scaled down version of the target domain and learning the source model using the source domain; obtaining a number of samples from the target domain which is associated with the service; and using transfer learning to learn the data driven target model in the target domain using the source model and the obtained number of samples.",G06F 11/34; G06F 9/50; G06N 3/04; G06N 20/00,TELEFONAKTIEBOLAGET LM ERICSSON (PUBL),"MORADI, Farnaz; JOHNSSON, Andreas; FLINTA, Christofer; AHMED, Jawwad; STADLER, Rolf","62/694,583 06.07.2018 US",
WO2016133699,PCT/US2016/016248,03.02.2016,WO/2016/133699,25.08.2016,WO,PRE-TRAINING AND/OR TRANSFER LEARNING FOR SEQUENCE TAGGERS,"Systems and methods for pre-training a sequence tagger with unlabeled data, such as a hidden layered conditional random field model are provided. Additionally, systems and methods for transfer learning are provided. Accordingly, the systems and methods build more accurate, more reliable, and/or more efficient sequence taggers than previously utilized sequence taggers that are not pre-trained with unlabeled data and/or that are not capable of transfer learning/training.",G06N 7/00; G06N 99/00,"MICROSOFT TECHNOLOGY LICENSING, LLC","KIM, Young-Bum; JEONG, Minwoo; SARIKAYA, Ruhi","14/625,828 19.02.2015 US",
WO2019143538,PCT/US2019/013414,14.01.2019,WO/2019/143538,25.07.2019,WO,QUESTION AND ANSWER PAIR GENERATION USING MACHINE LEARNING,"An interactive question and answer (Q&A) service provides pairs of questions and corresponding answers related to the content of a web page. The service includes pre-configured Q&A pairs derived from a deep learning framework that includes a series of neural networks trained through joint and transfer learning to generate questions for a given text passage. In addition, pre-configured Q&A pairs are generated from historical web access patterns and sources related to the content of the web page.",G06N 3/04; G06N 5/04; G06N 3/08,"MICROSOFT TECHNOLOGY LICENSING, LLC","BAJAJ, Payal; BOLAND, Gearard; GUPTA, Anshul; JIN, Matthew Glenn; NORIEGA DE ARMAS, Eduardo Enrique; SHAVER, Jason; SUNDARESAN, Neelakantan; ZILOUCHIAN MOGHADDAM, Roshanak","62/619,804 21.01.2018 US; 16/101,520 13.08.2018 US",
