Time:,20.04.2020 22:49:57,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AItechniqueMachineLearningReinforcementLearning,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2014100738,PCT/US2013/077260,20.12.2013,WO/2014/100738,26.06.2014,WO,INSTANCE WEIGHTED LEARNING MACHINE LEARNING MODEL,"An instance weighted learning (IWL) machine learning model. In one example embodiment, a method of employing an IWL machine learning model to train a classifier may include determining a quality value that should be associated with each machine learning training instance in a temporal sequence of reinforcement learning machine learning training instances, associating the corresponding determined quality value with each of the machine learning training instances, and training a classifier using each of the machine learning training instances. Each of the machine learning training instances includes a state-action pair and is weighted during the training based on its associated quality value using a weighting factor that weights different quality values differently such that the classifier learns more from a machine learning training instance with a higher quality value than from a machine learning training instance with a lower quality value.",G06F 15/18,"INSIDESALES.COM, INC.","MARTINEZ, Tony, Ramon; ZENG, Xinchuan","13/725,653 21.12.2012 US",JP-2015549832; CA-2896089; AU-2013364041; EP-2013864581
WO2020014712,PCT/US2019/041892,15.07.2019,WO/2020/014712,16.01.2020,WO,DIGITAL ADVERTISING PLATFORM WITH DEMAND PATH OPTIMIZATION,A digital advertising system includes at least one processor configured to execute a plurality of functional modules including an analytics module to receive and analyze client attributes associated with a website visitor and a requested website to define an analytics event. The analytics module ingests and enriches data within the analytics event and provides it to a machine learning module that generates prediction models for potential bids. A management platform receives the bidding prediction and generates candidate configs. An optimization module receives the candidate configs and applies weights and additional features to select a config and generate an optimized script for the selected config. A deployment module receives the optimized script and delivers the script to the website visitor.,G05B 13/02; G06Q 30/02; G06Q 90/00,"PUBWISE, LLLP","JOHNSTON, Stephen F.","62/697,976 13.07.2018 US",
WO2020069517,PCT/US2019/053857,30.09.2019,WO/2020/069517,02.04.2020,WO,INTELLIGENT TRANSPORTATION SYSTEMS,"Transportation systems have artificial intelligence including neural networks for recognition and classification of objects and behavior including natural language processing and computer vision systems. The transportation systems involve sets of complex chemical processes, mechanical systems, and interactions with behaviors of operators. System-level interactions and behaviors are classified, predicted and optimized using neural networks and other artificial intelligence systems through selective deployment, as well as hybrids and combinations of the artificial intelligence systems, neural networks, expert systems, cognitive systems, genetic algorithms and deep learning.",B60W 30/14,"STRONG FORCE INTELLECTUAL CAPITAL, LLC","CELLA, Charles","62/739,335 30.09.2018 US",
WO2019113122,PCT/US2018/063928,04.12.2018,WO/2019/113122,13.06.2019,WO,SYSTEMS AND METHODS FOR IMPROVED MACHINE LEARNING FOR CONVERSATIONS,"Systems and methods for improvements in AI model learning and updating are provided. The model updating may reuse existing business conversations as the training data set. Features within the dataset may be defined and extracted. Models may be selected and parameters for the models defined. Within a distributed computing setting the parameters may be optimized, and the models deployed. The training data may be augmented over time to improve the models. Deep learning models may be employed to improve system accuracy, as can active learning techniques. The models developed and updated may be employed by a response system generally, or may function to enable specific types of AI systems. One such a system may be an AI assistant that is designed to take use cases and objectives, and execute tasks until the objectives are met. Another system capable of leveraging the models includes an automated question answering system utilizing approved answers. Yet another system for utilizing these various classification models is an intent based classification system for action determination. Lastly, it should be noted that any of the above systems may be further enhanced by enabling multiple language analysis.",G06F 15/18,"CONVERSICA, INC.","TERRY, George, Alexis; KOEPF, Werner; JONNALAGADDA, Siddhartha, Reddy; HARRIGER, James, D.; WEBB-PURKIS, William, Dominic; GAINOR, Macgregor, S.; FERGUSON, Collin, C.; SHANKAR, Ravi; SHANKAR, Shashi; MCCANN, Ian; GODFREY, Keith; LONG, Christopher, Allan; KAMINSKI, Brian, Matthew; SANSONE, John; KIRKLAND, Jennifer; GINSTROM, Ryan, Francis; BREDLOW, Caleb, Andrew; SARGENT, Kyle; FORDYCE, Alexander Carmelo, Reid","16/208,478 03.12.2018 US; 16/208,488 03.12.2018 US; 16/208,484 03.12.2018 US; 62/594,415 04.12.2017 US",
WO2014031683,PCT/US2013/055856,20.08.2013,WO/2014/031683,27.02.2014,WO,HIERARCHICAL BASED SEQUENCING MACHINE LEARNING MODEL,"A hierarchical based sequencing (HBS) machine learning model. In one example embodiment, a method of employing an HBS machine learning model to predict multiple interdependent output components of an MOD output decision may include determining an order for multiple interdependent output components of an MOD output decision. The method may also include sequentially training a classifier for each component in the selected order to predict the component based on an input and based on any previous predicted component(s).",G06F 15/18; G06F 17/00,"INSIDESALES.COM, INC.","MARTINEZ, Tony, Ramon; ZENG, Xinchuan; MORRIS, Richard, Glenn","13/590,000 20.08.2012 US",JP-2015528604; AU-2013305922; CA-2882699; EP-2013831372
