Time:,20.04.2020 22:53:32,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AItechniqueMachineLearningRuleLearning,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2019113122,PCT/US2018/063928,04.12.2018,WO/2019/113122,13.06.2019,WO,SYSTEMS AND METHODS FOR IMPROVED MACHINE LEARNING FOR CONVERSATIONS,"Systems and methods for improvements in AI model learning and updating are provided. The model updating may reuse existing business conversations as the training data set. Features within the dataset may be defined and extracted. Models may be selected and parameters for the models defined. Within a distributed computing setting the parameters may be optimized, and the models deployed. The training data may be augmented over time to improve the models. Deep learning models may be employed to improve system accuracy, as can active learning techniques. The models developed and updated may be employed by a response system generally, or may function to enable specific types of AI systems. One such a system may be an AI assistant that is designed to take use cases and objectives, and execute tasks until the objectives are met. Another system capable of leveraging the models includes an automated question answering system utilizing approved answers. Yet another system for utilizing these various classification models is an intent based classification system for action determination. Lastly, it should be noted that any of the above systems may be further enhanced by enabling multiple language analysis.",G06F 15/18,"CONVERSICA, INC.","TERRY, George, Alexis; KOEPF, Werner; JONNALAGADDA, Siddhartha, Reddy; HARRIGER, James, D.; WEBB-PURKIS, William, Dominic; GAINOR, Macgregor, S.; FERGUSON, Collin, C.; SHANKAR, Ravi; SHANKAR, Shashi; MCCANN, Ian; GODFREY, Keith; LONG, Christopher, Allan; KAMINSKI, Brian, Matthew; SANSONE, John; KIRKLAND, Jennifer; GINSTROM, Ryan, Francis; BREDLOW, Caleb, Andrew; SARGENT, Kyle; FORDYCE, Alexander Carmelo, Reid","16/208,478 03.12.2018 US; 16/208,488 03.12.2018 US; 16/208,484 03.12.2018 US; 62/594,415 04.12.2017 US",
WO2014075108,PCT/US2013/069762,12.11.2013,WO/2014/075108,15.05.2014,WO,FORECASTING SYSTEM USING MACHINE LEARNING AND ENSEMBLE METHODS,"Techniques for determining forecast information for a resource using learning algorithms are disclosed. The techniques can include an ensemble of machine learning algorithms. The techniques can also use latent states to generate training data. The techniques can identify actions for managing the resource based on the forecast information. The resource can include energy usage in buildings, distribution facilities, and resources such as Electric Delivery Vehicles. The resource can also include forecasting package volume for businesses.",G06N 5/02,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,"ANDERSON, Roger, N.; BOULANGER, Albert; WU, Leon, L.; BHANDARI, Viabhav; SARKER, Somnath; GAGNEJA, Ashish","61/724,714 09.11.2012 US; 61/755,885 23.01.2013 US",
WO2014204970,PCT/US2014/042754,17.06.2014,WO/2014/204970,24.12.2014,WO,DATA INTELLIGENCE USING MACHINE LEARNING,"Apparatuses, systems, methods, and computer program products are presented for performing data analytics using machine learning 222. An unsupervised learning module 208 is configured to assemble an unstructured data set into multiple versions of an organized data set. A supervised learning module 206 is configured to generate one or more machine learning ensembles 222 based on each version of multiple versions of an organized data set and to determine which machine learning ensemble 222 exhibits a highest predictive performance.",G06F 17/27; G06N 5/02,"PUREPREDICTIVE, INC.","PHILLIPPS, Kelly D.; WELLMAN, Richard W.; RAHMAN, Sardar Monzurur; PHILLIPS, Matthew B.","61/836,135 17.06.2013 US; 14/266,119 30.04.2014 US",
WO2018081751,PCT/US2017/059119,30.10.2017,WO/2018/081751,03.05.2018,WO,VIDEO TAGGING SYSTEM AND METHOD,"An automatic video tagging system which learns from videos, their web context and comments shared on social networks is described. Massive multimedia collections are analyzed by Internet crawling and a knowledge base is maintained that updates in real time with no need of human supervision. As a result, each video is indexed with a rich set of labels and linked with other related contents. Practical applications of video recognition require a label scheme that is appealing to the end-user (i.e. obtained from social curation) and a training dataset that can be updated in real-time to be able to recognize new actions, scenes and people. To create this dataset that evolves in real-time and uses labels that are relevant to the users, a weakly-supervised deep learning approach is utilized combining both a machine-learning pre-processing stage together with a set of keywords obtained from the internet. The resulting tags combined with videos and summaries of videos are used with deep learning to train a neural network in an unsupervised manner that allows the tagging system to go from an image to a set of tags for the image and then to the visual representation of a tag.",G06E 1/00; G06F 17/30; G06N 5/02,"VILYNX, INC.","BOU BALUST, Elisenda; RIVEIRO INSUA, Juan Carlos; FERNANDEZ CAÑELLAS, Delia; ESPADALER RODÉS, Joan; ADURIZ BERASATEGI, Asier; VARAS GONZÁLEZ, David","62/414,308 28.10.2016 US; 62/552,369 30.08.2017 US",EP-2017866015
EP291472781,19162879,14.03.2019,3627399,25.03.2020,EP,SYSTEMS AND METHODS FOR REAL TIME CONFIGURABLE RECOMMENDATION USING USER DATA,"Business to Consumer (B2C) systems face a challenge of engaging users since offers are created using static rules generated using clustering on large transactional data generated over a period of time. Moreover, the offer creation and assignment engine is disjoint to the transactional system which led to significant gap between history used to create offers and current activity of users. Systems and methods of the present disclosure provide a meta-model based configurable auto-tunable recommendation model generated by ensembling optimized machine learning and deep learning models to predict a user's likelihood to take an offer and deployed in real time. Furthermore, the offer given to the user is based on a current context derived from the user's recent behavior that makes the offer relevant and increases probability of conversion of the offer to a sale. The system achieves low recommendation latency and scalable high throughput by virtue of the architecture used.",G06N 3/04; G06N 3/08; G06N 5/02; G06N 5/04; G06N 20/20,TATA CONSULTANCY SERVICES LTD,SINGHAL REKHA; SHROFF GAUTAM; TEWARI VARTIKA; KADARKAR SANKET; VERMA SIDDHARTH; CHOUDHURY SHAROD ROY; VIG LOVEKESH; VIRK RUPINDER,201821035355 19.09.2018 IN,
